id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,8138f2fd,FAIL,0,NO,0,NO,0,2005-11-01 01:22:33 +0000,move to a common trunk,108,10576
1,cd4d0f64,FAIL,0,NO,0,NO,0,2005-11-01 01:54:54 +0000,import site renderer from plexus,113,10901
2,fec0e23e,FAIL,2,NO,0,NO,0,2005-11-01 02:32:15 +0000,setup structure and inheritence,113,10901
3,9e7246b0,FAIL,2,NO,0,NO,0,2005-11-01 02:47:49 +0000,get updates from site renderer I hadn't applied,113,10901
4,7470453b,FAIL,2,NO,0,NO,0,2005-11-01 03:08:54 +0000,PR: DOXIA-25 Submitted by: Vincent Siveton defaultLocale variable instead of the locale parameter,113,10905
5,8bf26074,FAIL,2,NO,0,NO,0,2005-11-03 08:38:14 +0000,[DOXIA-21] Change default value of toplink,113,10905
6,7c65ab63,FAIL,2,NO,0,NO,0,2005-11-07 16:50:29 +0000,o testing commit for the new doxia repo,113,10905
7,3a409e53,FAIL,1,NO,0,NO,0,2005-11-09 07:37:03 +0000,PR: DOXIA-30 Submitted by Juan F. Codagnone,113,10905
8,a4613cd9,FAIL,18,NO,0,NO,0,2005-11-09 09:02:57 +0000,[DOXIA-34] fix packaging,113,10905
9,50ad6a8a,FAIL,6,NO,0,NO,0,2005-11-09 10:01:56 +0000,PR: DOXIA-35 Submited by Johnny R. Ruiz III,113,10907
10,dd8ad222,FAIL,7,NO,0,NO,0,2005-11-09 11:14:02 +0000,[DOXIA-36] remove build part,113,10907
11,b9d5d00c,FAIL,7,NO,0,NO,0,2005-11-09 11:15:04 +0000,"revert, build part must be there",113,10907
12,27679a86,FAIL,5,NO,0,NO,0,2005-11-11 10:45:56 +0000,Fix answer parsing for answers that contains more that one <source>,113,10907
13,a6af8354,FAIL,8,NO,0,NO,0,2005-11-24 01:02:44 +0000,"rename packages, update licenses, add minimal site PR: DOXIA-32, DOXIA-31, DOXIA-33",113,9485
14,caa79c20,FAIL,5,NO,0,NO,0,2005-11-24 01:54:19 +0000,rename packages PR: DOXIA-32,113,9487
15,f7522368,FAIL,5,NO,0,NO,0,2005-11-24 02:06:27 +0000,remove old directories,113,9487
16,20c28cb3,FAIL,6,NO,0,NO,0,2005-11-24 02:34:15 +0000,add css,113,9487
17,2035ebd9,FAIL,6,NO,0,NO,0,2005-11-24 02:34:39 +0000,svn keywords,113,9487
18,51de10f6,FAIL,6,NO,0,NO,0,2005-11-24 05:58:12 +0000,move site to top level,113,9487
19,ca9b4b3a,FAIL,7,NO,0,NO,0,2005-11-24 15:35:24 +0000,[DOXIA-29] Fix link to anchor.,113,9490
20,423150d2,FAIL,6,NO,0,NO,0,2005-11-24 16:31:12 +0000,Use our snapshot repository,113,9490
21,e2efcff5,FAIL,7,NO,0,NO,0,2005-11-27 14:43:10 +0000,o adding twiki module which was submitted by Juan F. Codagnone,153,11275
22,ae2f6751,FAIL,6,NO,0,NO,0,2005-11-27 14:44:33 +0000,o added these by mistake,153,11275
23,31e85631,FAIL,6,NO,0,NO,0,2005-11-27 14:45:18 +0000,"o some more code submitted by Juan F. Codagnone, which I'm using in a confluence parser.",155,11336
24,41f9ba53,FAIL,6,NO,0,NO,0,2005-11-27 14:46:19 +0000,o more code submitted by Juan F. Codagnone.,160,11900
25,c387f163,FAIL,7,NO,0,NO,0,2005-11-27 14:52:27 +0000,"o adding the start of a confluence parser, works for the couple test pages. just need to add the list parsing and more edge case testing and it should be all right. but this is really just the start, as i try and parse more complicated pages i'm sure i'll need to adjust.",182,12334
26,e775735a,FAIL,7,NO,0,NO,0,2005-11-27 15:06:23 +0000,"o links with no text, just the reference.",182,12338
27,a4f09482,FAIL,8,NO,0,NO,0,2005-11-27 19:26:27 +0000,o lists are working and checkpointing the table code,194,12598
28,5d75806d,FAIL,8,NO,0,NO,0,2005-11-27 19:27:43 +0000,o commenting out java5 assert,194,12597
29,c980e29d,FAIL,7,NO,0,NO,0,2005-11-27 20:27:33 +0000,o configuring the compiler or 1.4,194,12597
30,58f1adeb,FAIL,7,NO,0,NO,0,2005-11-27 20:32:04 +0000,o need to set the target level as well which seems wrong,194,12598
31,b22dedda,FAIL,8,NO,0,NO,0,2005-11-27 21:00:12 +0000,o table parsing is now working,191,12562
32,629f7ce8,FAIL,7,NO,0,NO,0,2005-11-27 21:09:01 +0000,o add a couple todos to the parser and that's it for this round.,191,12562
33,ad2f1494,FAIL,7,NO,0,NO,0,2005-11-27 21:38:30 +0000,o changing the accept method to take the source so that we can do some primitive look ahead as i prefer   to do this then embed the parsers in one another (like the twiki parser). in most cases you can peek   ahead a line and figure out what you have and go from there.,191,12562
34,b667c863,FAIL,6,NO,0,NO,0,2005-11-27 21:46:25 +0000,o extracted the latest faq content,191,12562
35,34d4b163,FAIL,7,NO,0,NO,0,2005-11-27 21:58:18 +0000,o adding todo,191,12562
36,848245ee,SUCCESS,8,SUCCESS,9,SUCCESS,9,2005-12-07 22:34:48 +0000,Use released version of plexus-i18n,191,12562
37,de611f03,SUCCESS,7,SUCCESS,5,FAIL,5,2005-12-08 01:12:16 +0000,Removing JDK1.5-specific code.,191,12525
38,0ff702c3,SUCCESS,8,SUCCESS,5,FAIL,5,2005-12-10 01:37:08 +0000,git-svn-id: https://svn.apache.org/repos/asf/maven/doxia/trunk@355685 13f79535-47bb-0310-9956-ffa450edef68,191,12525
39,97a36fbc,SUCCESS,7,SUCCESS,5,FAIL,5,2005-12-10 01:41:22 +0000,Rolling back failed release commit.,191,12525
40,755f583a,SUCCESS,7,SUCCESS,5,FAIL,5,2005-12-11 01:02:23 +0000,[maven-release-plugin] prepare release doxia-1.0-alpha-6,191,12525
41,1df5cb15,SUCCESS,7,SUCCESS,5,FAIL,5,2005-12-11 01:02:39 +0000,[maven-release-plugin] prepare for next development iteration,191,12525
42,7b747081,SUCCESS,7,SUCCESS,5,SUCCESS,5,2005-12-19 04:54:51 +0000,compatibility updates,192,12529
43,da3cb810,SUCCESS,10,SUCCESS,5,SUCCESS,6,2005-12-20 06:04:37 +0000,clean up some stuff that was never used,183,12429
