id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,f1f2cb54,FAIL,0,NO,0,NO,0,2004-04-20 19:05:47 +0000,New repository initialized by cvs2svn.,0,0
1,b772f43e,FAIL,0,NO,0,NO,0,2004-04-20 19:05:47 +0000,Initial revision,136,4766
2,dce64b37,FAIL,0,NO,0,NO,0,2004-04-21 14:33:15 +0000,We must run setupRepository before Repository creation. setupRepository is for RepositoryInfo.,136,4766
3,e55ab7ed,FAIL,0,NO,0,NO,0,2004-04-21 14:33:54 +0000,Fix cvs provider build,136,4765
4,7edb3ef8,FAIL,0,NO,0,NO,0,2004-04-21 17:15:09 +0000,o adjusting testing to pickup a starteam log with localized dates.,136,4767
5,ae263b69,FAIL,0,NO,0,NO,0,2004-04-21 17:16:38 +0000,*** empty log message ***,136,4766
6,34e3f645,FAIL,0,NO,0,NO,0,2004-04-27 14:12:14 +0000,SCM-8. Fix command line failure for windows lesser than win XP.,136,4834
7,d7b27217,FAIL,0,NO,0,NO,0,2004-04-28 13:01:49 +0000,Rework the use of shell. It now transparent for providers.,136,4814
8,99e7ee06,FAIL,0,NO,0,NO,0,2004-05-02 22:10:59 +0000,o moved the cli code to plexus and updated the api and all the providers.   all tests in the api code and in the providers pass. let me know if there   are any problems. PR: Obtained from: Submitted by: Reviewed by:,131,4456
9,fff4846f,FAIL,0,NO,0,NO,0,2004-05-03 12:34:33 +0000,Remove old files due to move of commandLine stuff to plexus,127,4253
10,60bbddb1,FAIL,0,NO,0,NO,0,2004-05-08 10:10:05 +0000,Add missing repository settings,127,4265
11,2269c616,FAIL,0,NO,0,NO,0,2004-05-28 08:45:22 +0000,Use Locale.ENGLISH as date format.,127,4266
12,b04fc29a,FAIL,0,NO,0,NO,0,2004-07-02 16:42:21 +0000,o Adding a CVS repository thats used for testing.,127,4266
13,90ba10ba,FAIL,0,NO,0,NO,0,2004-07-02 16:47:12 +0000,o Adding maven 2 pom. o Added getWorkingDirectory() that the test cases should use as their base   directory for testing. o AbstractCommand will throw a exception if the return code is non 0.   Can be overridden by implementing afterExecute( int exitCode ). o Removed throws Exception from getName() and getDisplayName(). o Removed some exception eating and made the methods throw ScmExceptions   instead.,127,4285
14,57954319,FAIL,0,NO,0,NO,0,2004-07-02 16:48:11 +0000,o Adding maven2 pom.,127,4285
15,35096ff9,FAIL,0,NO,0,NO,0,2004-07-02 16:51:21 +0000,"o Updating the commands re the latest changed in the API. o parseConnection() now handles ""local"" cvs repositories. o Renaming CvsScmTest to AbstractCvsScmTest as a base class for all CVS tests. o Added more of the common stuff from the test to the base test class.",127,4249
