id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,51b1681a,FAIL,0,NO,0,NO,0,2004-01-30 22:03:57 +0000,New repository initialized by cvs2svn.,0,0
1,1c5d283b,FAIL,0,NO,0,NO,0,2004-01-30 22:03:57 +0000,Initial revision,34,1593
2,e38be9c3,FAIL,0,NO,0,NO,0,2004-01-30 22:03:57 +0000,Initial revision,34,1593
3,c9a115f1,FAIL,0,NO,0,NO,0,2004-01-31 03:29:16 +0000,o adding messages to surefire proper and out of the booter,34,1593
4,abbf9814,FAIL,0,NO,0,NO,0,2004-01-31 03:29:16 +0000,o adding messages to surefire proper and out of the booter,34,1593
5,8915a496,FAIL,0,NO,0,NO,0,2004-01-31 03:40:55 +0000,o cleaning out resources,34,1593
6,32b11f03,FAIL,0,NO,0,NO,0,2004-01-31 03:40:55 +0000,o cleaning out resources,34,1593
7,49569a92,FAIL,0,NO,0,NO,0,2004-01-31 04:11:45 +0000,o removing deps on plexus to make sure fire completely self contained.,37,2676
8,5b3730fc,FAIL,0,NO,0,NO,0,2004-01-31 04:11:45 +0000,o removing deps on plexus to make sure fire completely self contained.,37,2676
9,1ffe6a27,FAIL,0,NO,0,NO,0,2004-01-31 06:04:53 +0000,*** empty log message ***,37,2692
10,08cc66e1,FAIL,0,NO,0,NO,0,2004-01-31 06:04:53 +0000,*** empty log message ***,37,2692
11,66c30842,FAIL,0,NO,0,NO,0,2004-02-01 21:39:00 +0000,o adding booter,38,2777
12,d0802320,FAIL,0,NO,0,NO,0,2004-02-01 21:39:00 +0000,o adding booter,38,2777
13,264e171c,FAIL,0,NO,0,NO,0,2004-02-09 20:40:15 +0000,o making failures more visually prominment,38,2778
14,45372ddb,FAIL,0,NO,0,NO,0,2004-02-09 20:40:15 +0000,o making failures more visually prominment,38,2778
15,afcc7e4c,FAIL,0,NO,0,NO,0,2004-02-12 05:39:02 +0000,Fix Surefire class name,38,2778
16,37ca969b,FAIL,0,NO,0,NO,0,2004-02-12 05:39:02 +0000,Fix Surefire class name,38,2778
17,fc160771,FAIL,0,NO,0,NO,0,2004-02-12 06:03:28 +0000,Add surefire dependency and fix import.,38,2778
18,43e4b4ae,FAIL,0,NO,0,NO,0,2004-02-12 06:03:28 +0000,Add surefire dependency and fix import.,38,2778
19,2d210aba,FAIL,0,NO,0,NO,0,2004-02-12 09:14:10 +0000,Fix class definition.,38,2779
20,81152b3b,FAIL,0,NO,0,NO,0,2004-02-12 09:14:10 +0000,Fix class definition.,38,2779
21,328de475,FAIL,0,NO,0,NO,0,2004-02-15 15:39:17 +0000,o if the specified basedir doesn't exist do nothing.,38,2785
22,f97b3ff9,FAIL,0,NO,0,NO,0,2004-02-15 15:39:17 +0000,o if the specified basedir doesn't exist do nothing.,38,2785
23,78519e54,FAIL,0,NO,0,NO,0,2004-03-14 17:51:17 +0000,initial checkin,38,2785
24,a02eb80c,FAIL,0,NO,0,NO,0,2004-03-14 17:51:17 +0000,initial checkin,38,2785
25,bfd5d063,FAIL,0,NO,0,NO,0,2004-03-14 17:56:53 +0000,update checkoutlist,38,2785
26,4ff3b209,FAIL,0,NO,0,NO,0,2004-05-03 12:03:08 +0000,o adding log_accum goodies,38,2785
27,40bb9e6d,FAIL,0,NO,0,NO,0,2004-06-26 13:59:48 +0000,- Separate failures and errors - Remove output for battery with no tests,37,2746
28,faade9f1,FAIL,0,NO,0,NO,0,2004-06-26 13:59:48 +0000,- Separate failures and errors - Remove output for battery with no tests,37,2746
29,de297802,FAIL,0,NO,0,NO,0,2004-06-26 14:06:29 +0000,Add a resume at the end of tests.,37,2753
30,67f0d29d,FAIL,0,NO,0,NO,0,2004-06-26 14:06:29 +0000,Add a resume at the end of tests.,37,2753
31,9c63d77b,FAIL,0,NO,0,NO,0,2004-06-27 13:11:25 +0000,End of surefire 1.1: - Fix the resume output - Fix output when there are no test to run.,37,2758
32,1ead3bb9,FAIL,0,NO,0,NO,0,2004-06-27 13:11:25 +0000,End of surefire 1.1: - Fix the resume output - Fix output when there are no test to run.,37,2758
33,002a3093,FAIL,0,NO,0,NO,0,2004-06-27 13:21:06 +0000,*** empty log message ***,37,2758
34,d4f75e9e,FAIL,0,NO,0,NO,0,2004-06-27 13:21:06 +0000,*** empty log message ***,37,2758
35,698b9f64,FAIL,0,NO,0,NO,0,2004-08-16 12:40:35 +0000,"Fix the tests counter that print ""There are no test to run."" when we have tests to run.",37,2758
36,b42040b0,FAIL,0,NO,0,NO,0,2004-08-16 12:40:35 +0000,"Fix the tests counter that print ""There are no test to run."" when we have tests to run.",37,2758
37,6f272ccc,FAIL,0,NO,0,NO,0,2004-08-31 21:28:09 +0000,- Use inheritance for maven1 - Add pom.xml files for m2,37,2758
38,f1536215,FAIL,2,NO,0,NO,0,2004-08-31 21:28:09 +0000,- Use inheritance for maven1 - Add pom.xml files for m2,37,2758
