error,count
Component descriptor cannot be found in the component repository       role: org.apache.maven.wagon.Wagon   roleHint: dav classRealm: none specified,33
/home/bugs/projects/maven/maven-project/src/test/resources-project-builder/plugin-order (No such file or directory),1
"Missing: ---------- 1) org.apache.maven:maven-core:jar:2.1.0    Try downloading the file manually from the project website.    Then, install it using the command:        mvn install:install-file -DgroupId=org.apache.maven -DartifactId=maven-core -Dversion=2.1.0 -Dpackaging=jar -Dfile=/path/to/file    Alternatively, if you host your own repository you can deploy the file there:        mvn deploy:deploy-file -DgroupId=org.apache.maven -DartifactId=maven-core -Dversion=2.1.0 -Dpackaging=jar -Dfile=/path/to/file -Durl=[url] -DrepositoryId=[id]  ---------- 1 required artifact is missing.  for artifact:    org.apache.maven:maven-core:jar:2.1.0  from the specified remote repositories:   central (http://repo1.maven.org/maven2, releases=true, snapshots=false) ",52
java.util.zip.ZipException: error in opening zip file,150
Plugin or one of its dependencies could not be resolved: Unable to read local copy of metadata: Cannot read metadata from &#x27;/root/.m2/repository/org/apache/maven/its/plugins/maven-it-plugin-class-loader/2.1-SNAPSHOT/maven-metadata-maven.it.xml&#x27;: end tag name &lt;/body&gt; must match start tag name &lt;hr&gt; from line 5 (position: TEXT seen ...&lt;/center&gt;\r\n&lt;/body&gt;... @6:8)    org.apache.maven.its.plugins:maven-it-plugin-class-loader:maven-plugin:2.1-SNAPSHOT     org.apache.maven.its.plugins:maven-it-plugin-class-loader:maven-plugin:2.1-SNAPSHOT  ,28
"Missing: ---------- 1) org.apache.maven.its:maven-core-it-support:jar:1.3    Try downloading the file manually from the project website.    Then, install it using the command:        mvn install:install-file -DgroupId=org.apache.maven.its -DartifactId=maven-core-it-support -Dversion=1.3 -Dpackaging=jar -Dfile=/path/to/file    Alternatively, if you host your own repository you can deploy the file there:        mvn deploy:deploy-file -DgroupId=org.apache.maven.its -DartifactId=maven-core-it-support -Dversion=1.3 -Dpackaging=jar -Dfile=/path/to/file -Durl=[url] -DrepositoryId=[id]    Path to dependency:     1) org.apache.maven.test:maven-test:pom:pom:1.0    2) org.apache.maven.its:maven-core-it-support:jar:1.3  ---------- 1 required artifact is missing.  for artifact:    org.apache.maven.test:maven-test:pom:1.0  from the specified remote repositories:   central (http://repo1.maven.org/maven2, releases=true, snapshots=false) ",47
Failed to parse plugin descriptor for org.codehaus.plexus:plexus-component-metadata:1.0-beta-3.0.7 (/root/.m2/repository/org/codehaus/plexus/plexus-component-metadata/1.0-beta-3.0.7/plexus-component-metadata-1.0-beta-3.0.7.jar): error in opening zip file,110
Failed to parse plugin descriptor for org.apache.maven.plugins:maven-plugin-plugin:2.5 (/root/.m2/repository/org/apache/maven/plugins/maven-plugin-plugin/2.5/maven-plugin-plugin-2.5.jar): error in opening zip file,22
Plugin org.apache.maven.its.plugins:maven-it-plugin-class-loader:2.1-SNAPSHOT or one of its dependencies could not be resolved: Unable to read local copy of metadata: Cannot read metadata from &#x27;/root/.m2/repository/org/apache/maven/its/plugins/maven-it-plugin-class-loader/2.1-SNAPSHOT/maven-metadata-maven.it.xml&#x27;: end tag name &lt;/body&gt; must match start tag name &lt;hr&gt; from line 5 (position: TEXT seen ...&lt;/center&gt;\r\n&lt;/body&gt;... @6:8)    org.apache.maven.its.plugins:maven-it-plugin-class-loader:maven-plugin:2.1-SNAPSHOT     org.apache.maven.its.plugins:maven-it-plugin-class-loader:maven-plugin:2.1-SNAPSHOT  ,19
"Plugin org.apache.maven.its.plugins:maven-it-plugin:0.1 or one of its dependencies could not be resolved: Missing: ---------- 1) org.apache.maven.its.mng3586:tools:jar:1.5.0    Try downloading the file manually from the project website.    Then, install it using the command:        mvn install:install-file -DgroupId=org.apache.maven.its.mng3586 -DartifactId=tools -Dversion=1.5.0 -Dpackaging=jar -Dfile=/path/to/file    Alternatively, if you host your own repository you can deploy the file there:        mvn deploy:deploy-file -DgroupId=org.apache.maven.its.mng3586 -DartifactId=tools -Dversion=1.5.0 -Dpackaging=jar -Dfile=/path/to/file -Durl=[url] -DrepositoryId=[id]  ---------- 1 required artifact is missing.  for artifact:    org.apache.maven.its.plugins:maven-it-plugin:maven-plugin:0.1  from the specified remote repositories:   central (file:///home/bugs/projects/maven/maven-core/src/test/remote-repo/, releases=true, snapshots=true) ",1
Source directory doesn&#x27;t exists (/home/bugs/projects/maven/maven-core/src/test/projects/lifecycle-executor/mojo-configuration).,1
,6
