id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,3db476f1,FAIL,0,NO,0,NO,0,2003-09-01 16:05:50 +0000,New repository initialized by cvs2svn.,0,0
1,d5a0360d,FAIL,0,NO,0,NO,0,2003-09-01 16:05:50 +0000,Initial revision,0,0
2,ffc84b48,FAIL,0,NO,0,NO,0,2003-09-01 16:24:28 +0000,*** empty log message ***,0,0
3,323c57d2,FAIL,0,NO,0,NO,0,2003-09-02 14:33:48 +0000,*** empty log message ***,0,0
4,e38393af,FAIL,0,NO,0,NO,0,2003-09-02 14:41:48 +0000,*** empty log message ***,0,0
5,350f20f3,FAIL,0,NO,0,NO,0,2003-09-10 13:09:19 +0000,added to respository,0,0
6,4db238d7,FAIL,0,NO,0,NO,0,2003-09-17 19:40:57 +0000,added to CVS,0,0
7,d95effc6,FAIL,0,NO,0,NO,0,2003-09-24 18:03:38 +0000,excluding broken project,0,0
8,f821fbcd,FAIL,0,NO,0,NO,0,2003-09-24 18:07:05 +0000,o little hack shell script to build everything.,0,0
9,3be841ab,FAIL,0,NO,0,NO,0,2003-09-24 18:09:27 +0000,o adding maven and compiler,0,0
10,1ba3c3fe,FAIL,0,NO,0,NO,0,2003-09-24 18:26:46 +0000,spaces are not allowed,0,0
11,6a459431,FAIL,0,NO,0,NO,0,2003-10-12 00:30:52 +0000,Add initial cut of notes from mailing list. Can be converted into better docs later,0,0
12,f286de1d,FAIL,0,NO,0,NO,0,2003-10-12 00:54:18 +0000,Update script to reflect new project,0,0
13,1f82999b,FAIL,0,NO,0,NO,0,2003-10-12 01:14:52 +0000,Revert all the changes done today,0,0
14,24efec4c,FAIL,0,NO,0,NO,0,2003-10-12 04:07:05 +0000,Readd NOTES email,0,0
15,6e8a9bd2,FAIL,0,NO,0,NO,0,2003-10-12 18:01:01 +0000,o testing,0,0
16,bafe0257,FAIL,0,NO,0,NO,0,2003-10-12 18:14:59 +0000,o another test,0,0
17,757e3bd9,FAIL,0,NO,0,NO,0,2003-10-14 16:00:01 +0000,o here's the list,0,0
18,a37a2207,FAIL,0,NO,0,NO,0,2003-10-14 16:08:12 +0000,typo,0,0
19,7c925364,FAIL,0,NO,0,NO,0,2003-10-14 17:19:55 +0000,o more ideas/requirements.,0,0
20,627abf7e,FAIL,0,NO,0,NO,0,2003-10-15 19:36:51 +0000,more usecases,0,0
21,f8d8348e,FAIL,0,NO,0,NO,0,2003-10-15 19:44:42 +0000,correction of some obvious spelling mistakes and typos.,0,0
22,4fa0df78,FAIL,0,NO,0,NO,0,2003-10-17 03:56:41 +0000,Start adding some comments,0,0
23,8248bceb,FAIL,0,NO,0,NO,0,2003-10-17 04:03:16 +0000,Blah blah blah,0,0
24,4a7b5dda,FAIL,0,NO,0,NO,0,2003-10-17 04:38:09 +0000,More use cases,0,0
25,38b049c0,FAIL,0,NO,0,NO,0,2003-10-21 00:47:16 +0000,My weak use-cases.. Lots of laziness and not wanting to take the time to split up an existing large project ;),0,0
26,fba7b5d8,FAIL,0,NO,0,NO,0,2003-12-08 04:41:51 +0000,o cleaning up top-level directory o formatting PR: Obtained from: Submitted by: Reviewed by:,0,0
27,4977a944,FAIL,0,NO,0,NO,0,2003-12-09 06:21:34 +0000,o moving docs into individual components PR: Obtained from: Submitted by: Reviewed by:,0,0
28,f646e34f,FAIL,0,NO,0,NO,0,2004-01-03 05:33:25 +0000,Initial revision,2,458
29,406b0caa,FAIL,0,NO,0,NO,0,2004-01-03 05:54:28 +0000,o remove debug info,2,458
30,3d4fde10,FAIL,0,NO,0,NO,0,2004-01-03 06:30:41 +0000,o cvsignore,2,458
31,505a51e0,FAIL,0,NO,0,NO,0,2004-01-03 06:32:24 +0000,o do the project.xml check after the processing of arguments. user might   just want the version or usage.,2,458
32,5981ffd9,FAIL,0,NO,0,NO,0,2004-01-03 06:40:22 +0000,o add a little bit of help,2,458
33,c0b81cb3,FAIL,0,NO,0,NO,0,2004-01-03 07:01:15 +0000,o strip ${basedir} out of the sourceDirectory if it exists.,2,458
34,5d3c736b,FAIL,0,NO,0,NO,0,2004-01-03 23:48:28 +0000,run from installation directory,2,458
35,99c5b6cc,FAIL,0,NO,0,NO,0,2004-01-03 23:49:18 +0000,"cygwin fixes, and improve POM reading of versions and artifacts - wasn't working for jar plugin",2,458
36,fb659f9b,FAIL,0,NO,0,NO,0,2004-01-03 23:49:46 +0000,improve installation/build,2,458
37,02e654b2,FAIL,0,NO,0,NO,0,2004-01-03 23:52:03 +0000,update instructions to match,2,458
38,15209dd9,FAIL,0,NO,0,NO,0,2004-01-09 10:29:33 +0000,Fix NullPointerException if build.properties file doesn't exist in user.home,2,457
39,6e809cc4,FAIL,0,NO,0,NO,0,2004-01-09 11:49:29 +0000,Fix MAVEN-1113. Support CSV remote repositories in build.properties,2,488
40,343b9d0b,FAIL,0,NO,0,NO,0,2004-01-10 08:24:01 +0000,o dump the local repo setting,2,491
41,aac35562,FAIL,0,NO,0,NO,0,2004-01-10 13:53:10 +0000,Fix The default local repository location,2,491
42,5d51e1c5,FAIL,0,NO,0,NO,0,2004-01-12 17:14:43 +0000,Add tests compilation,2,491
43,1f34a967,FAIL,0,NO,0,NO,0,2004-01-13 17:38:30 +0000,Complete refactoring of mboot. We can now add easily tests execution with includes and excludes,5,601
44,4d2d34f5,FAIL,0,NO,0,NO,0,2004-01-14 10:54:52 +0000,Add tests run to mboot.,5,681
45,4ce99cda,FAIL,0,NO,0,NO,0,2004-01-14 10:59:44 +0000,Clean import,5,677
46,af8d88d9,FAIL,0,NO,0,NO,0,2004-01-14 11:06:03 +0000,Add some traces.,5,677
47,852b5384,FAIL,0,NO,0,NO,0,2004-01-14 15:56:01 +0000,Add maven.log,5,677
48,9a10ff55,FAIL,0,NO,0,NO,0,2004-01-16 17:35:08 +0000,o tiny script for trygvis PR: Obtained from: Submitted by: Reviewed by:,5,677
49,8b479998,FAIL,0,NO,0,NO,0,2004-01-16 17:47:06 +0000,o pushing in some tweaks for trygvis PR: Obtained from: Submitted by: Reviewed by:,5,601
50,feeeacc1,FAIL,0,NO,0,NO,0,2004-01-20 08:53:39 +0000,Revert Jason commit,5,677
51,2cf87001,FAIL,0,NO,0,NO,0,2004-01-25 00:27:01 +0000,o account for there being no tests,5,678
52,7cbde03d,FAIL,0,NO,0,NO,0,2004-01-26 07:16:16 +0000,"o add shebang, just helps with my jed for syntax hilighting.",5,678
53,0abaebbe,FAIL,0,NO,0,NO,0,2004-01-27 18:58:11 +0000,o general cleanup o add the ability to deal with test resources,5,692
54,4dab452c,FAIL,0,NO,0,NO,0,2004-01-27 19:07:04 +0000,o remove debug,5,692
55,ca1a69cf,FAIL,0,NO,0,NO,0,2004-01-27 23:13:01 +0000,o remove test resources file,5,692
56,9a7650eb,FAIL,0,NO,0,NO,0,2004-01-31 03:13:03 +0000,o fixing test resoruces file,5,692
57,f9404ad2,FAIL,0,NO,0,NO,0,2004-01-31 05:28:06 +0000,o using wget for the initial build to grab the things required by mboot   itself which are junit and surefire.,5,692
58,e3525e1e,FAIL,0,NO,0,NO,0,2004-02-02 13:46:14 +0000,o fixing problems where foo() was being used when foo is all that's needed   as far as bash functions. o corrected construction of mboot classpath,5,692
59,c07f1c4e,FAIL,0,NO,0,NO,0,2004-02-04 07:19:38 +0000,*** empty log message ***,5,692
60,2b8fc42e,FAIL,0,NO,0,NO,0,2004-02-04 15:10:57 +0000,*** empty log message ***,5,692
61,f2ee2549,FAIL,0,NO,0,NO,0,2004-02-06 20:18:43 +0000,*** empty log message ***,5,692
62,ec59035a,FAIL,0,NO,0,NO,0,2004-02-07 16:10:24 +0000,*** empty log message ***,5,692
63,85700523,FAIL,0,NO,0,NO,0,2004-02-07 16:17:49 +0000,o making the build.properties generally available to the bootstrapper and   just passing in those properties to the artifact downloader.,5,688
