id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,0a1a6240,FAIL,0,NO,0,NO,0,2011-05-11 10:14:58 +0700,Fix typo.,42,2572
1,a46fdbea,FAIL,0,NO,0,NO,0,2011-05-11 10:15:13 +0700,Note the version of Ehcache used in the README.,42,2572
2,1e8af33c,FAIL,0,NO,0,NO,0,2011-05-10 20:50:59 -0700,Merge pull request #21 from datafueled/ehcache,42,2572
3,0e43b3b0,FAIL,0,NO,0,NO,0,2011-05-11 10:18:37 +0700,Fix minor typos.,42,2572
4,ca7114e9,FAIL,0,NO,0,NO,0,2011-05-10 20:54:58 -0700,Merge pull request #22 from datafueled/graphite,42,2572
5,9ea7848c,FAIL,0,NO,0,NO,0,2011-05-09 18:17:44 -0700,Merge branch 'release/2.0.0-BETA12' into development,41,2098
6,1d7fc909,FAIL,0,NO,0,NO,0,2011-05-09 18:18:28 -0700,Bump to 2.0.0-BETA13-SNAPSHOT.,41,2098
7,16f4a489,FAIL,0,NO,0,NO,0,2011-05-09 18:50:18 -0700,Fix some deprecated references.,41,2098
8,cc4f638d,FAIL,0,NO,0,NO,0,2011-05-09 21:20:33 -0700,Added Sphinx docs.,41,2098
9,63c31d75,FAIL,0,NO,0,NO,0,2011-05-10 14:10:27 -0700,Stop being so eager about updating JMX.,41,2098
10,6c933fab,FAIL,0,NO,0,NO,0,2011-05-10 17:41:28 -0700,Added metrics-ehcache.,42,2179
11,a2e09116,FAIL,0,NO,0,NO,0,2011-05-10 17:46:29 -0700,Stop using my own deprecated methods.,42,2180
12,1c4483c4,FAIL,0,NO,0,NO,0,2011-05-10 18:38:21 -0700,Rejiggering the Ehcache interface.,42,2571
13,19451e44,FAIL,0,NO,0,NO,0,2011-05-10 19:04:07 -0700,More Ehcache work.,42,2572
14,a3f05fc7,FAIL,0,NO,0,NO,0,2011-05-11 11:19:39 +0700,Typo fix.,42,2572
15,328abcea,FAIL,0,NO,0,NO,0,2011-05-10 21:22:04 -0700,Merge pull request #23 from datafueled/docs,42,2572
16,d870a0f6,FAIL,0,NO,0,NO,0,2011-05-10 11:08:09 +0200,Initial stab at Eclipse support,42,2572
17,49271b86,FAIL,0,NO,0,NO,0,2011-05-11 03:02:10 -0700,Fixed typo in metric name 'reponses' -> 'responses',42,2572
18,055b302d,FAIL,0,NO,0,NO,0,2011-05-11 13:41:24 -0700,Merge pull request #24 from jamesc/development,42,2572
19,7ca0b4bc,FAIL,0,NO,0,NO,0,2011-05-12 09:00:22 +0700,Rename to match existing name usage.,42,2572
20,81b17d2c,FAIL,0,NO,0,NO,0,2011-05-11 19:57:16 -0700,Merge pull request #25 from datafueled/mscl,42,2572
21,ed51c31d,FAIL,0,NO,0,NO,0,2011-05-12 09:20:14 +0700,Support using a prefix on all metric names sent to Graphite.,42,2584
22,68ff5359,FAIL,0,NO,0,NO,0,2011-05-11 20:13:01 -0700,Merge pull request #26 from datafueled/graphite_prefix,42,2584
23,8f92ca7a,FAIL,0,NO,0,NO,0,2011-04-27 14:57:22 -0700,Merge branch 'release/2.0.0-BETA11' into development,37,1774
24,d9f810f4,FAIL,0,NO,0,NO,0,2011-04-27 14:57:58 -0700,Bump version.,37,1774
25,68013fd2,FAIL,0,NO,0,NO,0,2011-05-01 12:57:38 -0700,"Break metrics project into core, guice, jetty, and servlet.",37,1774
26,0075869e,FAIL,0,NO,0,NO,0,2011-05-01 13:51:17 -0700,Update docs.,37,1774
27,8171659a,FAIL,0,NO,0,NO,0,2011-05-01 13:54:26 -0700,Merge branch 'feature/devolution' into development,37,1774
28,cf05b40d,FAIL,0,NO,0,NO,0,2011-05-01 15:02:01 -0700,Firm up sbt project.,37,1774
