id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,9da9334f,FAIL,8,NO,0,NO,0,2005-12-28 07:54:25 +0000,added mina top level build pom and uber top level build pom,0,0
1,56875ea0,FAIL,1,NO,0,NO,0,2005-12-28 08:41:18 +0000,including other projects which now build correctly and massaging SSL pom,0,0
2,d72e566d,FAIL,2,NO,0,NO,0,2005-12-28 20:56:45 +0000,changes ...,0,0
3,3a4e89c1,FAIL,1,NO,0,NO,0,2005-12-28 21:26:22 +0000,fixed bug in build ... can not have mina-build build asn1 and have parent do it too,0,0
4,5f2f44be,FAIL,1,NO,0,NO,0,2006-01-03 00:55:29 +0000,reverting this since modules section does not allow us to point to a file,0,0
5,3d4406c0,FAIL,1,NO,0,NO,0,2006-01-03 07:07:25 +0000,made all groupIds reside under org.apache.directory,0,0
6,5a0b1f78,FAIL,2,NO,0,NO,0,2006-01-09 01:17:38 +0000,moving trunk to trunks,0,0
7,f562722a,FAIL,1,NO,0,NO,0,2006-01-13 17:48:24 +0000,temp move of all mina subprojects into mina-build which I shall rename into mina in a minute,202,11914
8,11dc3bfb,FAIL,1,NO,0,NO,0,2006-01-13 17:53:34 +0000,moving mina-build to mina and fixing poms,202,11914
9,60c30dca,FAIL,1,NO,0,NO,0,2006-01-13 19:51:24 +0000,no need to qualify mina build with mina-build anymore if it is within the mina groupId folder,202,11914
10,853c331a,FAIL,2,NO,0,NO,0,2006-01-13 19:58:42 +0000,no need to qualify mina build with mina-build anymore if it is within the mina groupId folder,202,11914
11,6e28cb05,FAIL,1,NO,0,NO,0,2006-01-15 14:32:53 +0000,The filters for the client-side session was added to the server-side session's filter chain. Changed so that they are added to the client-side session's chain as expected.,202,11914
12,40e72b42,FAIL,1,NO,0,NO,0,2006-01-15 14:38:09 +0000,Fix for DIRMINA-159. SocketTrafficControlTest and DatagramTrafficControlTest will work better now.,202,11937
13,e5387cf6,FAIL,1,NO,0,NO,0,2006-01-15 15:34:10 +0000,Applied Niklas\' suggestion to fix DIRMINA-163,202,11937
