error,count
Could not set property &#x27;favouriteSection&#x27; of &#x27;class domain.blog.Author&#x27; with value &#x27;test&#x27; Cause: java.lang.IllegalArgumentException: argument type mismatch,1
 ### Error building SqlSession. ### The error may exist in SQL Mapper Configuration ### Cause: org.apache.ibatis.builder.BuilderException: Error parsing SQL Mapper Configuration. Cause: java.io.IOException: Could not find resource org/apache/ibatis/builder/mapper.properties,1
Invalid bound statement (not found): org.apache.ibatis.submitted.selectkey.AnnotatedMapper.insertTable2WithGeneratedKeyXml,1
Invalid bound statement (not found): org.apache.ibatis.submitted.selectkey.AnnotatedMapper.insertTable2WithSelectKeyWithKeyMapXml,2
Invalid bound statement (not found): org.apache.ibatis.submitted.selectkey.AnnotatedMapper.insertTable2WithSelectKeyWithKeyObjectXml,2
 ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: No constructors match ### The error may exist in org/apache/ibatis/submitted/call_setters_on_nulls/Mapper.xml ### The error may involve defaultParameterMap ### The error occurred while setting parameters ### SQL: select name from users2 ### Cause: org.apache.ibatis.reflection.ReflectionException: No constructors match,2
 ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: No constructors match ### The error may exist in org/apache/ibatis/submitted/call_setters_on_nulls/Mapper.xml ### The error may involve defaultParameterMap ### The error occurred while setting parameters ### SQL: select * from users ### Cause: org.apache.ibatis.reflection.ReflectionException: No constructors match,2
 ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: No constructors match ### The error may exist in org/apache/ibatis/submitted/dynsql/DynSql.xml ### The error may involve org.apache.ibatis.submitted.dynsql.select_simple-Inline ### The error occurred while setting parameters ### SQL: select * from ibtest.names where id = ?      union        select * from ibtest.names where id = ?      union        select * from ibtest.names where id = ? ### Cause: org.apache.ibatis.reflection.ReflectionException: No constructors match,1
 ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: No constructors match ### The error may exist in org/apache/ibatis/submitted/dynsql/DynSql.xml ### The error may involve org.apache.ibatis.submitted.dynsql.ognlStaticMethodCall-Inline ### The error occurred while setting parameters ### SQL: SELECT *     FROM ibtest.names     WHERE description LIKE &#x27;Rock &#x27;&#x27;n Roll&#x27;     ORDER BY id ### Cause: org.apache.ibatis.reflection.ReflectionException: No constructors match,1
 ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: No constructors match ### The error may exist in org/apache/ibatis/submitted/dynsql/DynSql.xml ### The error may involve org.apache.ibatis.submitted.dynsql.select-Inline ### The error occurred while setting parameters ### SQL: select * from ibtest.names where id = ?                            union            select * from ibtest.names where id = ?                            union            select * from ibtest.names where id = ? ### Cause: org.apache.ibatis.reflection.ReflectionException: No constructors match,1
