id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,e357f36a,FAIL,36,NO,0,NO,0,2010-05-17 05:34:34 +0000,updated pom to new mybatis configurations added a new developers sections,779,34822
1,eeafe0b9,FAIL,13,NO,0,NO,0,2010-05-17 05:35:54 +0000,ignore netbeans project files,779,34822
2,796932ae,FAIL,12,NO,0,NO,0,2010-05-17 15:43:50 +0000,removed jeff from the developers section,779,34822
3,5cac0f19,FAIL,13,NO,0,NO,0,2010-05-17 16:08:03 +0000,changed JTA dependency to use geronimo spec to avoid having to download and install JTA manually,779,34822
4,72c9b320,FAIL,15,NO,0,NO,0,2010-05-18 06:03:42 +0000,more maven release configurations,779,34822
5,aa2ce210,FAIL,13,NO,0,NO,0,2010-05-18 14:26:30 +0000,renamed documentation,779,34822
6,bd82b374,FAIL,14,NO,0,NO,0,2010-05-18 14:28:49 +0000,re-printed pdf guides,779,34822
7,9d3d49ae,FAIL,13,NO,0,NO,0,2010-05-18 16:14:05 +0000,"deprecated IbatisException, replaced with PersistenceException.  Implemented new DTDs into EntityResolver",780,34845
8,abadb925,FAIL,13,NO,0,NO,0,2010-05-18 17:50:12 +0000,changed current version to 3.0.1,780,34845
9,fa137f57,FAIL,13,NO,0,NO,0,2010-05-19 13:16:22 +0000,corrected typo,780,34845
10,7730fd1a,FAIL,13,NO,0,NO,0,2010-05-19 14:08:33 +0000,re-published user guide,780,34845
11,41b899bd,FAIL,11,NO,0,NO,0,2010-05-19 14:10:16 +0000,re-published user guide to correct HUGE ms word pdf export,780,34845
12,e3b46cee,FAIL,13,NO,0,NO,0,2010-05-19 19:26:27 +0000,Adding package level configuration API.,782,35104
13,e4839267,FAIL,13,NO,0,NO,0,2010-05-20 04:23:32 +0000,added a space,782,35104
14,d929486d,FAIL,13,NO,0,NO,0,2010-05-20 04:31:05 +0000,[maven-release-plugin] prepare release mybatis-3.0.1,782,35104
15,fe89fcc3,FAIL,13,NO,0,NO,0,2010-05-20 04:31:15 +0000,[maven-release-plugin] prepare for next development iteration,782,35104
16,c721cd0a,FAIL,14,NO,0,NO,0,2010-05-20 05:36:12 +0000,rolled back version to 3.0.1,782,35104
17,273c52c3,FAIL,13,NO,0,NO,0,2010-05-20 05:48:03 +0000,added configuration for the maven release plugin,782,35104
18,2fbf38cd,FAIL,13,NO,0,NO,0,2010-05-20 05:51:05 +0000,[maven-release-plugin] prepare release mybatis-3.0.1,782,35104
19,1d7846ce,FAIL,12,NO,0,NO,0,2010-05-20 05:51:18 +0000,[maven-release-plugin] prepare for next development iteration,782,35104
20,6ca2dd10,FAIL,13,NO,0,NO,0,2010-05-20 06:26:42 +0000,rolled back to 3.0.1,782,35104
21,cdf97247,FAIL,16,NO,0,NO,0,2010-05-20 15:22:42 +0000,added the url configuration to the scm section,782,35104
22,2bb7d63d,FAIL,14,NO,0,NO,0,2010-05-20 15:27:19 +0000,[maven-release-plugin] prepare release mybatis-3.0.1,782,35104
23,6ae075f1,FAIL,13,NO,0,NO,0,2010-05-20 15:27:30 +0000,[maven-release-plugin] prepare for next development iteration,782,35104
24,199d0e08,FAIL,15,NO,0,NO,0,2010-05-29 14:52:36 +0000,Added closeConnection property to ManagedTransactionFactory to avoid closing managed connections for some application servers.,782,35125
25,44a8d069,FAIL,16,NO,0,NO,0,2010-05-29 23:32:21 +0000,Corrected pg 7 selectOne typo,782,35125
