id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,03b577b,FAIL,0,NO,0,NO,0,2012-08-10 14:52:42 -0700,Initial commit,0,0
1,91696c9,FAIL,0,NO,0,NO,0,2003-04-03 15:34:03 +0000,First import. Version 1.01.,1,335
2,ac80878,FAIL,0,NO,0,NO,0,2005-07-08 19:49:50 +0000,Bugfix for buffering. Version 1.02.,1,336
3,3bdf03a,FAIL,0,NO,0,NO,0,2006-03-30 12:18:01 +0000,Better support for large POSTs. Version 1.05.,1,349
4,164e060,FAIL,0,NO,0,NO,0,2007-02-09 09:03:57 +0000,Lowercase parameters for better browsers support. Version 1.1.,1,349
5,f84ac3c,FAIL,0,NO,0,NO,0,2008-04-21 20:17:45 +0000,URI decode fix. Version 1.11,1,350
6,854c661,FAIL,0,NO,0,NO,0,2010-12-30 23:36:22 +0000,"Stop support, fix for broken requests, explicit imports. Version 1.14",1,376
7,6e946e0,FAIL,0,NO,0,NO,0,2010-12-31 00:38:58 +0000,File upload support by ktogias. Version 1.2,1,554
8,f771225,FAIL,0,NO,0,NO,0,2010-12-31 00:42:51 +0000,Renamed file-upload-test.html to .htm,1,554
9,3aded75,FAIL,0,NO,0,NO,0,2011-01-02 22:06:13 +0000,Accumulation of small bugfixes. Version 1.21,1,537
10,303b50f,FAIL,0,NO,0,NO,0,2011-07-21 21:03:45 +0000,Configurable file server root. Version 1.22.,1,540
11,53a4de2,FAIL,0,NO,0,NO,0,2011-08-02 14:05:26 +0000,Better content-range support. Version 1.23.,1,562
12,0f5d07d,FAIL,0,NO,0,NO,0,2011-08-04 20:12:24 +0000,"Etag support, more A/V mime types for streaming. Version 1.24.",1,572
13,0f1f9ec,FAIL,0,NO,0,NO,0,2012-02-12 18:39:02 +0000,"Configurable log streams and buffer size, crude PUT support, better etag support. Version 1.25.",1,582
14,bbde9b2,FAIL,0,NO,0,NO,0,2012-08-11 02:04:28 +0300,"Fixed HelloServer, updated github readme",2,606
15,0587be1,FAIL,0,NO,0,NO,0,2012-08-11 02:07:17 +0300,"Fixed HelloServer, updated github readme",2,606
16,8230f66,FAIL,0,NO,0,NO,0,2012-11-28 01:43:50 +0200,Fix for requests sent in parts: read until we find a full header or stream is closed.,2,613
17,269baff,FAIL,0,NO,0,NO,0,2013-01-04 16:29:59 -0600,First cut of some cleanup and move to newer Java,2,617
18,d79e15a,FAIL,0,NO,0,NO,0,2013-01-04 16:33:15 -0600,Update README.md,2,617
19,fc9fcfc,FAIL,0,NO,0,NO,0,2013-01-04 16:33:34 -0600,Update README.md,2,617
20,3f2aa2e,FAIL,0,NO,0,NO,0,2013-01-04 16:38:19 -0600,Update fi/iki/elonen/NanoHTTPD.java,2,618
21,b5e00c4,FAIL,0,NO,0,NO,0,2013-01-05 10:40:21 -0600,Project meta-data,2,618
22,d22b56d,FAIL,0,NO,0,NO,0,2013-01-05 10:40:49 -0600,Updates - runs nicely now.,2,613
23,7b88819,FAIL,0,NO,0,NO,0,2013-01-05 11:20:57 -0600,Static code inspection - cleanup.,2,618
24,a6619fe,FAIL,0,NO,0,NO,0,2013-01-05 11:24:54 -0600,Added missing Javadoc,2,618
25,fc243fe,FAIL,0,NO,0,NO,0,2013-01-05 11:26:06 -0600,Added project,2,618
26,239c97b,FAIL,0,NO,0,NO,0,2013-01-05 15:17:49 -0600,meta data files,2,618
27,0277bbd,FAIL,0,NO,0,NO,0,2013-01-05 16:31:55 -0600,Fixed NPE and introduced some useful enums for method and http status values.,2,635
28,0cb0846,FAIL,0,NO,0,NO,0,2013-01-05 16:46:23 -0600,Added cleanup and polish,2,635
29,9f11fbe,FAIL,0,NO,0,NO,0,2013-01-07 07:38:17 -0600,Pulled out example code from main nanohttpd file for clarity.,3,650
30,7fa1416,FAIL,0,NO,0,NO,0,2013-01-07 09:02:38 -0600,Cleanup,3,651
31,9a5230b,SUCCESS,12,SUCCESS,2,SUCCESS,6,2013-01-07 09:27:16 -0600,Added maven build,3,651
32,df674ca,SUCCESS,3,SUCCESS,2,SUCCESS,2,2013-01-12 14:21:03 -0600,Code cleanup,3,642
33,01ecef8,SUCCESS,2,SUCCESS,2,SUCCESS,2,2013-01-12 14:26:47 -0600,Code cleanup,3,644
34,8e74cc2,SUCCESS,2,SUCCESS,2,SUCCESS,2,2013-01-21 10:46:14 -0600,Updated classpath for eclipse,3,644
35,a038998,SUCCESS,3,SUCCESS,2,SUCCESS,2,2013-02-22 22:22:54 -0600,Fixing and testing - Issue #4 (make content type parsing lenient),4,684
36,bed8449,SUCCESS,2,SUCCESS,2,SUCCESS,5,2013-01-07 10:39:38 -0600,Snapshot version,4,684
37,8d7af5a,SUCCESS,2,SUCCESS,2,SUCCESS,2,2013-01-07 10:40:09 -0600,[maven-release-plugin] prepare release nanohttpd-1.0.0,4,684
38,3dc8918,SUCCESS,2,SUCCESS,2,SUCCESS,2,2013-02-25 09:20:18 -0600,Content type now supports comma separators,4,684
39,1827716,SUCCESS,3,SUCCESS,2,SUCCESS,2,2013-02-25 07:26:04 -0800,Merge pull request #5 from psh/issue_4,4,684
40,2b54eda,SUCCESS,2,SUCCESS,2,SUCCESS,2,2013-02-26 15:19:04 -0600,Fixed file-uploads from external sensor,4,692
41,57e947a,SUCCESS,3,SUCCESS,1,SUCCESS,2,2013-03-06 12:51:39 -0800,Merge pull request #6 from psh/bug_4896,4,692
42,d837e6f,SUCCESS,3,SUCCESS,2,SUCCESS,2,2013-03-08 21:13:47 -0600,Removed project meta-data,4,692
43,8fa8e5a,SUCCESS,2,SUCCESS,2,SUCCESS,2,2013-03-08 21:14:40 -0600,Removed Eclipse meta-data,4,692
44,c31b377,SUCCESS,3,SUCCESS,2,SUCCESS,2,2013-03-08 21:16:34 -0600,More meta-data cleanup,4,692
45,48f1d0f,SUCCESS,2,SUCCESS,2,SUCCESS,2,2013-03-08 21:19:07 -0600,Cleanup - moved test data to a more maven-friendly location,4,692
46,47b3e36,SUCCESS,2,SUCCESS,2,SUCCESS,2,2013-03-08 21:43:35 -0600,"Project cleanup - broke out ""samples"" and ""core"" maven modules to reduce the production JAR file footprint and remove clutter.",4,691
47,9788c5b,SUCCESS,3,SUCCESS,2,SUCCESS,1,2013-03-08 22:02:46 -0600,Implemented fix for missing equals in get parameters.,6,687
48,86b4db5,SUCCESS,2,SUCCESS,2,SUCCESS,2,2013-03-08 20:05:36 -0800,Merge pull request #8 from psh/optional-equals-in-query-parms,6,687
49,2c48103,SUCCESS,3,SUCCESS,1,SUCCESS,2,2013-03-08 22:13:45 -0600,Fixes NPE when content-type header is missing,6,689
50,19454b6,SUCCESS,3,SUCCESS,2,SUCCESS,2,2013-03-08 20:15:04 -0800,Merge pull request #9 from psh/fix-npe-for-missing-content-type,6,689
51,fa460da,SUCCESS,3,SUCCESS,1,SUCCESS,2,2013-03-09 00:42:26 -0600,Cleanup,5,659
52,4e1ae19,SUCCESS,3,SUCCESS,2,SUCCESS,2,2013-03-09 00:42:58 -0600,Created strategy for temp file and thread execution.,5,723
53,43e6f0f,SUCCESS,3,SUCCESS,2,SUCCESS,2,2013-03-08 22:44:53 -0800,Merge pull request #11 from psh/temp-file-management-strategy,5,723
54,1d08f5f,SUCCESS,3,SUCCESS,1,SUCCESS,2,2013-03-09 00:57:26 -0600,Example showing temp file management,6,757
55,6200253,SUCCESS,3,SUCCESS,2,SUCCESS,2,2013-03-09 15:14:06 -0600,"Refactoring of HTTPSession to make it testable, prior to starting to write unit tests for everything.  TEST ALL THE THINGS!!!!!",6,765
56,7f07277,SUCCESS,4,SUCCESS,1,SUCCESS,2,2013-03-09 18:20:52 -0600,Refactoring,6,778
57,f29e141,SUCCESS,4,SUCCESS,3,SUCCESS,3,2013-03-10 20:38:06 -0500,"Create test suite for GET requests, and in the process fixed the issue of parameters having multiple values.",9,988
58,bcb535e,SUCCESS,4,SUCCESS,2,SUCCESS,2,2013-03-10 21:03:31 -0500,Slowly increasing test coverage,10,1002
59,342152f,SUCCESS,4,SUCCESS,2,SUCCESS,2,2013-03-11 07:47:28 -0500,Test for parsing,10,1005
60,afd3338,SUCCESS,2,SUCCESS,3,SUCCESS,2,2013-03-11 09:03:11 -0500,Update README.md,10,1005
61,f639f20,SUCCESS,3,SUCCESS,3,SUCCESS,2,2013-03-26 22:31:22 -0500,"Manual merge of pull request submitted by @gitgrimbo, allowing hostname to be bound for NanoHttpd server.",10,1014
