id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,6594b2a8,FAIL,0,NO,0,NO,0,2011-05-25 05:18:01 +0000,Initial directory structure.,0,0
1,0c4790da,FAIL,0,NO,0,NO,0,2011-05-25 05:40:16 +0000,Initial checkin of MockWebServer.,4,404
2,7cabedc0,FAIL,0,NO,0,NO,0,2011-05-25 06:07:42 +0000,Tests for MockWebServer.,5,426
3,972a2f75,FAIL,0,NO,0,NO,0,2011-05-25 06:25:22 +0000,Test for redirect,5,447
4,62177b80,FAIL,0,NO,0,NO,0,2011-05-25 06:35:43 +0000,Add Javadoc,5,447
5,739cb3ec,FAIL,0,NO,0,NO,0,2011-06-04 00:34:50 +0000,More interesting example tests,5,487
6,f003d226,FAIL,0,NO,0,NO,0,2011-12-14 21:59:58 +0000,Add an API to expose the server's cookie domain.,5,490
7,7bb99fd0,FAIL,0,NO,0,NO,0,2011-12-20 01:07:46 +0000,Support SSL handshake failures.,5,534
8,4ebac265,SUCCESS,16,SUCCESS,3,SUCCESS,6,2012-01-27 21:57:40 +0000,Upgrade from ant to maven.,5,534
9,263a22e0,SUCCESS,5,SUCCESS,3,SUCCESS,5,2012-04-01 18:52:44 +0000,"More header manipulation, limit bytes-per-second.",5,574
10,cdf6c305,SUCCESS,7,SUCCESS,4,SUCCESS,5,2012-04-01 18:53:26 +0000,More maven boilerplate.,5,574
11,d9f5a075,SUCCESS,5,SUCCESS,4,SUCCESS,5,2012-05-10 17:52:36 +0000,Fix NPE in RecordedRequest Constructor,5,578
12,06396421,FAIL,0,NO,0,NO,0,2012-07-23 06:42:55 -0700,Initial commit,0,0
13,ea63463c,SUCCESS,10,SUCCESS,6,FAIL,7,2012-07-23 10:02:28 -0400,Initial import.,61,6783
14,eba4ae53,SUCCESS,7,SUCCESS,5,FAIL,7,2012-07-23 07:10:24 -0700,Merge pull request #1 from square/jwilson/initialimport,61,6783
15,0ea4c8fc,SUCCESS,7,SUCCESS,6,FAIL,7,2012-07-23 10:16:56 -0400,Give the in-progress code a SNAPSHOT version number.,61,6783
16,4e80e466,SUCCESS,6,SUCCESS,6,FAIL,8,2012-07-23 07:18:29 -0700,Merge pull request #2 from square/jwilson/snapshot,61,6783
17,fc01d7e5,SUCCESS,8,SUCCESS,5,FAIL,9,2012-07-23 10:45:10 -0400,Enforce javac version 1.7 or better.,61,6783
18,7781c070,SUCCESS,8,SUCCESS,6,FAIL,9,2012-07-23 07:57:26 -0700,Merge pull request #3 from square/jwilson/java7,61,6783
19,4425f3ec,SUCCESS,7,SUCCESS,6,SUCCESS,7,2012-07-23 12:20:21 -0400,Don't connect to external hosts in unit tests.,61,6782
20,92845164,SUCCESS,8,SUCCESS,6,SUCCESS,6,2012-07-23 09:21:53 -0700,Merge pull request #4 from square/jwilson/example,61,6782
21,53ef23ea,SUCCESS,8,SUCCESS,6,SUCCESS,7,2012-07-23 12:27:30 -0400,Don't sign artifacts in the default configuration.,61,6782
22,7e6015ba,SUCCESS,7,SUCCESS,5,SUCCESS,7,2012-07-23 09:28:53 -0700,Merge pull request #5 from square/jwilson/nosign,61,6782
23,ea19431b,SUCCESS,7,SUCCESS,6,SUCCESS,7,2012-07-23 18:14:06 -0400,Use Square's regular groupId for okhttp.,61,6782
24,077ba76f,SUCCESS,7,SUCCESS,7,SUCCESS,7,2012-07-23 15:15:20 -0700,Merge pull request #6 from square/jwilson/group,61,6782
25,0a1d49b2,SUCCESS,7,SUCCESS,6,SUCCESS,7,2012-07-23 15:39:43 -0700,Remove duplicate plugin definitions.,61,6782
26,0b007391,SUCCESS,6,SUCCESS,6,SUCCESS,6,2012-07-23 15:42:10 -0700,Merge pull request #7 from square/remove-duplicate-plugins,61,6782
27,f984c394,SUCCESS,7,SUCCESS,6,SUCCESS,7,2012-07-24 18:53:34 -0700,Don't use jarjar to strip unused classes.,61,6782
28,28518d74,SUCCESS,7,SUCCESS,5,SUCCESS,7,2012-07-24 18:55:43 -0700,Merge pull request #8 from square/jwilson/pool,61,6782
29,2b67e706,SUCCESS,5,SUCCESS,5,SUCCESS,6,2012-07-27 22:59:24 +0000,Don't exit the server just because the response queue is empty.,5,588
30,08b1d7f3,SUCCESS,9,SUCCESS,5,SUCCESS,9,2012-07-28 00:08:05 -0700,General project clean-up and tweaks.,61,6785
31,3608deb8,SUCCESS,6,SUCCESS,6,SUCCESS,7,2012-07-28 10:53:11 -0700,Merge pull request #9 from square/project-cleanup,61,6785
32,e9e2f742,SUCCESS,6,SUCCESS,4,SUCCESS,6,2012-07-31 14:39:09 +0000,Fix a bug where we were still exiting without an explicit shutdown(),5,586
33,daa9c93c,SUCCESS,5,SUCCESS,5,SUCCESS,7,2012-07-31 15:32:16 +0000,Fix some ergonomic issues in the API. This adds some missing methods and removes some unnecessary exceptions.,5,653
34,ec1f3e90,SUCCESS,5,SUCCESS,4,SUCCESS,7,2012-07-31 15:37:03 +0000,Rebuild Javadoc,5,653
35,abb3ab4f,SUCCESS,5,SUCCESS,5,SUCCESS,7,2012-07-31 15:39:34 +0000,New Javadocs.,5,653
36,33a0c620,SUCCESS,8,SUCCESS,5,FAIL,7,2012-08-01 12:50:04 -0400,Use bouncy castle to generate certs for TLS.,62,6873
37,54439c26,SUCCESS,6,SUCCESS,5,FAIL,8,2012-08-01 10:01:23 -0700,Merge pull request #10 from square/jwilson/ssl,62,6873
38,3ff6ca14,SUCCESS,8,SUCCESS,6,FAIL,7,2012-08-01 14:41:29 -0400,Uncomment more HTTPS tests.,62,7091
39,cb31fab7,SUCCESS,6,SUCCESS,6,FAIL,7,2012-08-01 11:45:09 -0700,Merge pull request #11 from square/jwilson/tests,62,7091
40,b5f749f2,SUCCESS,5,SUCCESS,6,SUCCESS,7,2012-08-02 00:00:02 +0000,Support Froyo.,5,650
41,66220f81,SUCCESS,7,SUCCESS,6,FAIL,7,2012-08-01 19:57:37 -0400,Support Froyo.,62,7126
42,434c4c69,SUCCESS,7,SUCCESS,5,FAIL,7,2012-08-01 17:18:39 -0700,Merge pull request #12 from square/jwilson/froyo,62,7126
43,df2e128c,SUCCESS,6,SUCCESS,6,FAIL,7,2012-08-02 16:40:09 -0400,Fill out known issues in the OkHttp README.,62,7126
44,d6ac2b98,SUCCESS,6,SUCCESS,6,FAIL,9,2012-08-02 13:42:41 -0700,Merge pull request #13 from square/jwilson/style,62,7126
45,187d3306,SUCCESS,6,SUCCESS,6,FAIL,7,2012-08-09 14:51:32 -0400,Add a missing copyright header for Libcore.,62,7126
46,2a05f0e1,SUCCESS,6,SUCCESS,5,FAIL,7,2012-08-09 11:52:39 -0700,Merge pull request #14 from square/jwilson/copyright,62,7126
47,43a332bc,SUCCESS,7,SUCCESS,6,FAIL,7,2012-08-15 15:51:38 -0400,Fail gracefully on a 401 response code with no WWW-Authenticate header.,62,7165
48,ec91ca01,SUCCESS,7,SUCCESS,6,FAIL,7,2012-08-15 12:57:43 -0700,Merge pull request #16 from square/jwilson/authheader,62,7165
49,57edb21a,SUCCESS,6,SUCCESS,6,SUCCESS,7,2012-08-17 21:39:29 +0000,Adding support for custom dispatchers.  This allows for non-linear response ordering.,8,706
50,a9686122,SUCCESS,6,SUCCESS,6,SUCCESS,7,2012-08-20 05:03:06 +0000,New javadoc,8,706
51,c71fb83d,SUCCESS,6,SUCCESS,6,SUCCESS,8,2012-08-20 05:03:55 +0000,New javadoc,8,706
52,88946374,SUCCESS,6,SUCCESS,6,SUCCESS,8,2012-08-20 05:15:49 +0000,Documentation cleanup.,8,729
53,1742e1ee,SUCCESS,6,SUCCESS,6,SUCCESS,8,2012-08-20 05:16:06 +0000,New javadoc,8,729
54,47e5ea23,SUCCESS,5,SUCCESS,6,SUCCESS,7,2012-08-20 05:17:05 +0000,New javadoc,8,729
55,3748484f,SUCCESS,5,SUCCESS,5,SUCCESS,7,2012-08-23 03:05:56 +0000,Fix the DISCONNECT_AT_START logic,8,739
