id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,6594b2a,FAIL,0,NO,0,NO,0,2011-05-25 05:18:01 +0000,Initial directory structure.,0,0
1,a5391b2,FAIL,0,NO,0,NO,0,2012-07-23 06:42:55 -0700,Initial commit,0,0
2,c465c1d,FAIL,0,NO,0,NO,0,2013-08-04 09:03:29 -0400,Merge branch 'mockwebserver' into jwilson/import_mockwebserver,0,0
3,d2bf883,FAIL,0,NO,0,NO,0,2013-08-05 15:05:17 -0700,Merge pull request #263 from square/jwilson/import_mockwebserver,0,0
4,2d3cdc9,FAIL,0,NO,0,NO,0,2014-01-26 11:31:23 -0500,OkBuffer API sketch.,8,260
5,254bb05,FAIL,0,NO,0,NO,0,2014-01-26 16:07:35 -0800,Merge pull request #485 from square/okbuffer,8,260
6,f121c2a,FAIL,0,NO,0,NO,0,2014-01-26 23:46:30 -0500,Implement moving bytes between OkBuffers.,8,392
7,891bd7a,FAIL,0,NO,0,NO,0,2014-01-26 21:49:04 -0800,Merge pull request #487 from square/jwilson_0126_buffer_to_buffer,8,392
8,0ae4952,FAIL,0,NO,0,NO,0,2014-01-27 06:27:21 -0800,Merge pull request #486 from adriancole/window-update,8,392
9,54aa769,FAIL,0,NO,0,NO,0,2014-01-27 06:27:45 -0800,Merge pull request #488 from jgilfelt/patch-1,8,392
10,b36fc99,FAIL,0,NO,0,NO,0,2014-01-27 21:38:55 -0500,"More buffer stuff: deadlines, indexOf and read.",8,464
11,c01603c,FAIL,0,NO,0,NO,0,2014-01-27 20:00:24 -0800,Merge pull request #492 from square/jwilson_0127_indexof,8,464
12,bece94f,FAIL,0,NO,0,NO,0,2014-01-28 22:56:24 -0500,Adapters for sources and sinks.,9,542
13,afe1f1f,FAIL,0,NO,0,NO,0,2014-01-28 21:04:23 -0800,Merge pull request #493 from square/jwilson_0128_okbuffers,9,542
14,10d0fae,FAIL,0,NO,0,NO,0,2014-01-29 00:08:27 -0500,"Read/write access for byte, short and int.",9,699
15,29aec9b,FAIL,0,NO,0,NO,0,2014-01-28 21:52:01 -0800,Merge pull request #494 from square/jwilson_0128_data_in_buffers,9,699
16,e8cbadb,FAIL,0,NO,0,NO,0,2014-01-30 22:20:55 -0500,"Adapters that go the other way, to java.io.",9,802
17,bb4c290,FAIL,0,NO,0,NO,0,2014-01-30 22:30:10 -0800,Merge pull request #496 from square/jwilson_0130_adapters,9,802
18,88b2592,FAIL,0,NO,0,NO,0,2014-02-02 17:53:43 -0500,InflaterSource. Like InflaterInputStream.,11,937
19,cf9e8fd,FAIL,0,NO,0,NO,0,2014-02-02 22:21:26 -0800,Merge pull request #508 from square/jwilson_0202_inflater_source,11,937
