id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,c23e82b6,FAIL,0,NO,0,NO,0,2006-11-15 21:07:53 +0100,Initial import (OpenGrok 0.3.1),88,11697
1,ecf9ab2b,FAIL,0,NO,0,NO,0,2006-11-15 21:10:25 +0100,Applied patch from Chris Elving,88,11704
2,fbc60824,FAIL,0,NO,0,NO,0,2006-11-15 21:13:58 +0100,Added patch from Ben Ravago,88,11714
3,227f3e81,FAIL,0,NO,0,NO,0,2006-11-15 21:19:30 +0100,Added Java analyser provided by Martin Englund,92,12606
4,3f3e158a,FAIL,0,NO,0,NO,0,2006-11-15 22:09:31 +0100,Fixed warnings reported by PMD,92,12593
5,a322ed1d,FAIL,0,NO,0,NO,0,2006-11-15 22:13:54 +0100,Applied patch for how arguments are passed to the editor.,92,12600
6,feed422d,FAIL,0,NO,0,NO,0,2006-11-15 22:21:57 +0100,Applied patch for error.jsp submitted by Chris Elving,92,12600
7,217ac9cc,FAIL,0,NO,0,NO,0,2006-11-15 22:28:45 +0100,Improved error handling for corrupt web.xml in error.jsp,92,12600
8,090c0a68,FAIL,0,NO,0,NO,0,2006-11-15 22:49:16 +0100,Added experimental support for Mercurial,98,13020
9,7844262e,FAIL,0,NO,0,NO,0,2006-11-15 22:52:50 +0100,Add space and exception information,98,13020
10,192b5262,FAIL,0,NO,0,NO,0,2006-11-21 22:57:09 +0100,"Added clean target and moved the ""dist-targets"" to a directory named dist",98,13020
11,b7977776,FAIL,0,NO,0,NO,0,2006-11-21 23:00:48 +0100,Replaced -m with -S to scan and add repositories automatically.,98,13019
12,210600cf,FAIL,0,NO,0,NO,0,2006-11-22 22:21:59 +0100,added -Xlint:unchecked,98,13019
13,2bc45bd0,FAIL,0,NO,0,NO,0,2006-11-22 22:23:04 +0100,added requirement note for JFlex,98,13019
14,465852da,FAIL,0,NO,0,NO,0,2006-11-22 22:25:04 +0100,fixed 'unchecked' warnings,98,13016
15,7e88f47a,FAIL,0,NO,0,NO,0,2006-11-22 23:00:24 +0100,removed Java only keywords and sorted the remaining C and C++ keywords,98,13012
16,fcb0a548,FAIL,0,NO,0,NO,0,2006-12-05 14:52:14 +0100,Apply patch provided by Gustav Gunnarsson,98,13012
17,f2b63c88,FAIL,0,NO,0,NO,0,2006-12-05 14:53:11 +0100,Update build.xml for release of OpenGrok v0.4,98,13012
18,eaa48a36,FAIL,0,NO,0,NO,0,2006-12-06 08:47:51 +0100,Added tag opengrok_0.4 for changeset 06caf5c465cd598afcdf159307f83588c22fb87d,98,13012
19,3f07d1cb,FAIL,0,NO,0,NO,0,2006-12-08 08:53:00 +0100,Apply patch provided by Nathan Beyer,98,13012
20,24b9e74a,FAIL,0,NO,0,NO,0,2006-12-08 13:52:44 +0100,Update changelog with all of the changes for version 0.4,98,13012
21,b714a7f6,FAIL,0,NO,0,NO,0,2006-12-08 13:56:46 +0100,Added tag OpenGrok-0.4-final for changeset 69f8d73bbc0664daf8325afd41e3c4435bf227eb,98,13012
22,4f873413,FAIL,0,NO,0,NO,0,2006-12-14 12:22:09 +0100,Fixed typo in SubversionGet.,98,13012
23,955cab3b,FAIL,0,NO,0,NO,0,2006-12-15 12:13:19 +0100,Fixed the comment for how to specify Mercurial repositories,98,13012
24,f588284a,FAIL,0,NO,0,NO,0,2006-12-15 12:16:11 +0100,Implemented socket access for Mercurial,98,13067
25,ebb9f739,FAIL,0,NO,0,NO,0,2006-12-17 20:22:32 +0100,"Refactored the HistoryReaders so that the history could be cached for other systems than Mercurial. Now, the results from all svn and hg history commands that take more than 300 ms are cached.",100,12901
26,4a1bb6fb,FAIL,0,NO,0,NO,0,2006-12-18 13:10:56 +0100,Make Subversion history come out in the same order as other systems.,100,12901
27,d05277b4,FAIL,0,NO,0,NO,0,2006-12-22 08:17:01 +0100,Fix problem with IllegalStateException.,100,12901
28,c4774ba4,FAIL,0,NO,0,NO,0,2006-12-22 08:19:21 +0100,Remove Java files generated from lex source,86,7018
29,87360066,FAIL,0,NO,0,NO,0,2006-12-22 08:21:49 +0100,Ignore the Java files generated from lex source,86,7018
30,bf425aba,FAIL,0,NO,0,NO,0,2006-12-22 12:38:53 +0100,Replaced the use of system properties with a RuntimeEnvironment object,87,7115
31,568a4484,FAIL,0,NO,0,NO,0,2006-12-22 12:39:22 +0100,Moved .ogcache to the DATA_ROOT directory,87,7138
32,396c32e8,FAIL,0,NO,0,NO,0,2006-12-25 02:29:09 +0100,Print more stack traces and don't print exception messages twice.,87,7127
33,f4496250,FAIL,0,NO,0,NO,0,2006-12-25 14:32:45 +0100,Fix ArrayIndexOutOfBoundsException when history contains non-ascii characters.,87,7127
34,4870d0bd,FAIL,0,NO,0,NO,0,2006-12-26 01:29:59 +0100,"Fixed NullPointerException when searching history in Swing GUI. Since the history cache uses RuntimeEnvironment, the GUI needs to set RuntimeEnvironment's data root and source root.",87,7131
35,2b46c6c3,FAIL,0,NO,0,NO,0,2006-12-27 16:16:29 +0100,Removed double printing of exception messages.,87,7131
36,ebfa744b,FAIL,0,NO,0,NO,0,2006-12-27 18:33:55 +0100,"Fixed ""unchecked"" warnings.",87,7143
