id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,b57cd757,FAIL,0,NO,0,NO,0,2006-05-02 15:02:17 +0000,Moving to trunk/branches type infrastructure,392,34414
1,20679480,FAIL,0,NO,0,NO,0,2006-05-02 15:02:17 +0000,Moving to trunk/branches type infrastructure,392,34414
2,7d03b757,FAIL,0,NO,0,NO,0,2006-05-03 13:56:09 +0000,Merged trunk with alpha,393,34613
3,7f526ec8,FAIL,0,NO,0,NO,0,2006-05-03 13:56:09 +0000,Merged trunk with alpha,393,34613
4,716ed642,FAIL,0,NO,0,NO,0,2006-05-08 11:49:27 +0000,Add targets to build for war/lib separation,393,34613
5,03e1493c,FAIL,0,NO,0,NO,0,2006-05-08 11:49:27 +0000,Add targets to build for war/lib separation,393,34613
6,4fad78b8,FAIL,0,NO,0,NO,0,2006-05-22 19:02:29 +0000,Merged alpha changes [671]:[722] into the trunk.,378,35675
7,16d61282,FAIL,0,NO,0,NO,0,2006-05-22 19:02:29 +0000,Merged alpha changes [671]:[722] into the trunk.,378,35675
8,266ee2fd,FAIL,0,NO,0,NO,0,2006-05-22 19:12:43 +0000,Notification datamodel script fix,378,35675
9,db89d71d,FAIL,0,NO,0,NO,0,2006-05-22 19:12:43 +0000,Notification datamodel script fix,378,35675
10,65aa920b,FAIL,0,NO,0,NO,0,2006-05-22 19:37:29 +0000,Notification datamodel script fix,378,35675
11,7bfc09b8,FAIL,0,NO,0,NO,0,2006-05-22 19:37:29 +0000,Notification datamodel script fix,378,35675
12,e9e77f5f,FAIL,0,NO,0,NO,0,2006-05-23 12:02:46 +0000,addPatient.jsp bug fixes,378,35675
13,fadd8693,FAIL,0,NO,0,NO,0,2006-05-23 12:02:46 +0000,addPatient.jsp bug fixes,378,35675
14,42370ba5,FAIL,0,NO,0,NO,0,2006-05-24 21:00:56 +0000,Tightened getSimilarPatients algorithm -- added soundex Added numpad ascii values as valid numbers to openmrs search,378,35724
15,aa5d72b7,FAIL,0,NO,0,NO,0,2006-05-24 21:00:56 +0000,Tightened getSimilarPatients algorithm -- added soundex Added numpad ascii values as valid numbers to openmrs search,378,35724
16,ec347676,FAIL,0,NO,0,NO,0,2006-05-24 21:28:42 +0000,ConceptProposal form added in admin section - [110],379,35832
17,518b2702,FAIL,0,NO,0,NO,0,2006-05-24 21:28:42 +0000,ConceptProposal form added in admin section - [110],379,35832
18,8ff415a7,FAIL,0,NO,0,NO,0,2006-05-30 12:54:33 +0000,getPatientAttributes fix,379,35838
19,3eb1f0ee,FAIL,0,NO,0,NO,0,2006-05-30 12:54:33 +0000,getPatientAttributes fix,379,35838
20,6351639d,FAIL,0,NO,0,NO,0,2006-05-31 17:45:39 +0000,Fix log file date output,379,35838
21,7204a749,FAIL,0,NO,0,NO,0,2006-05-31 17:45:39 +0000,Fix log file date output,379,35838
22,3831be9b,FAIL,0,NO,0,NO,0,2006-07-11 15:10:03 +0000,MERGE alpha w/ trunk.  [723]:[789],383,36991
23,ef09dec6,FAIL,0,NO,0,NO,0,2006-07-11 15:10:03 +0000,MERGE alpha w/ trunk.  [723]:[789],383,36991
24,f2f66095,FAIL,0,NO,0,NO,0,2006-07-11 19:07:32 +0000,hl7 PID segment fix. (temporary),383,36996
25,135cc730,FAIL,0,NO,0,NO,0,2006-07-11 19:07:32 +0000,hl7 PID segment fix. (temporary),383,36996
26,aa9e1bfc,FAIL,0,NO,0,NO,0,2007-04-02 15:57:39 +0000,Add license.txt,383,36996
27,d0b70137,FAIL,0,NO,0,NO,0,2007-04-02 15:57:39 +0000,Add license.txt,383,36996
28,81d6774a,FAIL,0,NO,0,NO,0,2007-05-07 19:35:27 +0000,Moving /trunk/* to /openmrs/trunk/*,383,36996
29,b36f04ec,FAIL,0,NO,0,NO,0,2007-05-09 17:53:02 +0000,Merged alpha to trunk [791]:[1775].  Trunk currently represents OpenMRS 1.1,614,56233
30,e059dac0,FAIL,0,NO,0,NO,0,2007-05-09 17:53:02 +0000,Merged alpha to trunk [791]:[1775].  Trunk currently represents OpenMRS 1.1,614,56233
31,cf4e614a,FAIL,0,NO,0,NO,0,2007-12-31 16:21:18 +0000,Merging alpha to trunk [1776]:[2964] for OpenMRS 1.2 release,644,59491
32,852f793c,FAIL,0,NO,0,NO,0,2007-12-31 16:21:18 +0000,Merging alpha to trunk [1776]:[2964] for OpenMRS 1.2 release,644,59491
33,83b97435,FAIL,0,NO,0,NO,0,2007-12-31 18:51:44 +0000,Updated database sql scripts to 1.2.0,644,59491
34,0b5da0fa,FAIL,0,NO,0,NO,0,2007-12-31 18:51:44 +0000,Updated database sql scripts to 1.2.0,644,59491
35,3626984d,FAIL,0,NO,0,NO,0,2008-01-02 13:45:16 +0000,Renaming sql diff file for consistency,644,59491
36,57bc0f99,FAIL,0,NO,0,NO,0,2008-01-02 13:45:16 +0000,Renaming sql diff file for consistency,644,59491
37,e551943e,FAIL,0,NO,0,NO,0,2008-01-03 17:29:59 +0000,Added missing table values to base mysql data - #528,644,59491
38,b4bac5a9,FAIL,0,NO,0,NO,0,2008-01-03 17:29:59 +0000,Added missing table values to base mysql data - #528,644,59491
39,a9f1fa85,FAIL,0,NO,0,NO,0,2008-01-04 15:59:19 +0000,Fixed service methods that set the changedBy and dateChanged attributes on objects during creation - #468,644,59496
40,f0316422,FAIL,0,NO,0,NO,0,2008-01-04 15:59:19 +0000,Fixed service methods that set the changedBy and dateChanged attributes on objects during creation - #468,644,59496
41,a075a451,FAIL,0,NO,0,NO,0,2008-01-04 16:44:27 +0000,Added default text to the spring messages for labels of custom PersonAttributeTypes - #531,644,59496
42,2d9103d6,FAIL,0,NO,0,NO,0,2008-01-04 16:44:27 +0000,Added default text to the spring messages for labels of custom PersonAttributeTypes - #531,644,59496
