id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,a3e5b77,SUCCESS,17,SUCCESS,4,SUCCESS,8,2012-06-18 19:52:05 -0700,Initial import.,14,827
1,1295b6b,SUCCESS,4,SUCCESS,5,SUCCESS,5,2012-06-18 19:54:47 -0700,Bump version to 1.0.0.,14,827
2,f8b1aec,SUCCESS,5,SUCCESS,5,SUCCESS,6,2012-06-18 19:55:18 -0700,[maven-release-plugin] prepare release eventbus-1.0.0,14,827
3,89990de,SUCCESS,5,SUCCESS,5,SUCCESS,6,2012-06-18 19:55:20 -0700,[maven-release-plugin] prepare for next development iteration,14,827
4,d6ece26,SUCCESS,5,SUCCESS,5,SUCCESS,6,2012-06-19 00:09:30 -0700,Add @Producer functionality to the event bus.,17,1020
5,02f5300,SUCCESS,5,SUCCESS,5,SUCCESS,5,2012-06-20 23:09:55 +0000,Merge pull request #1 from square/jw/producer,17,1020
6,1e4f4da,SUCCESS,5,SUCCESS,6,SUCCESS,6,2012-06-20 17:36:50 -0700,Impose restrictions on how the class hierarchy of events is treated.,17,833
7,1f48bf3,SUCCESS,6,SUCCESS,5,SUCCESS,7,2012-06-21 00:58:55 +0000,Merge pull request #3 from square/jw/no-hierarchy,17,833
8,a71c710,SUCCESS,6,SUCCESS,5,SUCCESS,8,2012-06-21 00:51:26 -0700,Put test dependencies in test scope.,17,833
9,ce9a830,SUCCESS,5,SUCCESS,6,SUCCESS,5,2012-06-21 15:44:46 -0700,Skip checking all handlers present when unregistering.,17,834
10,c6cef45,SUCCESS,5,SUCCESS,5,SUCCESS,7,2012-06-21 22:46:20 +0000,Merge pull request #5 from square/jw/quickerize,17,834
11,ef728f3,SUCCESS,5,SUCCESS,5,SUCCESS,6,2012-06-21 18:36:43 -0700,"Rename package to ""otto"".",17,834
12,73aaebd,SUCCESS,6,SUCCESS,5,SUCCESS,6,2012-06-22 02:13:57 +0000,Merge pull request #6 from square/jw/package,17,834
13,07a78f5,SUCCESS,4,SUCCESS,6,SUCCESS,6,2012-06-21 19:19:05 -0700,Add thread enforcement to public API calls.,19,887
14,1e59e95,SUCCESS,5,SUCCESS,4,SUCCESS,7,2012-06-22 16:51:20 -0700,Bump version to 1.1.0.,17,834
15,3021588,SUCCESS,5,SUCCESS,5,SUCCESS,7,2012-06-22 16:51:55 -0700,[maven-release-plugin] prepare release otto-1.1.0,17,834
16,951aedd,SUCCESS,5,SUCCESS,5,SUCCESS,6,2012-06-22 16:52:03 -0700,[maven-release-plugin] prepare for next development iteration,17,834
