id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,513df7d3,FAIL,0,NO,0,NO,0,2012-03-20 20:27:43 +0000,added trunk level to proton hierarchy,191,9121
1,63f97985,FAIL,0,NO,0,NO,0,2012-03-21 05:11:12 +0000,switched to cmake,191,9121
2,d86ab90e,FAIL,0,NO,0,NO,0,2012-03-21 21:17:40 +0000,NO-JIRA : [Proton] Reorganized proton-j source tree,186,8969
3,be756be2,FAIL,0,NO,0,NO,0,2012-03-21 21:19:16 +0000,NO-JIRA : [Proton] Reorganized proton-j source tree,186,8969
4,be4216cb,FAIL,0,NO,0,NO,0,2012-03-22 14:45:38 +0000,API updates based on swig experience,186,8969
5,884423d7,FAIL,0,NO,0,NO,0,2012-03-22 14:59:57 +0000,initialize next incoming id as supplied in begin,186,8969
6,6bb21481,FAIL,0,NO,0,NO,0,2012-03-22 15:25:04 +0000,further swigging,186,8969
7,4a98c9e1,FAIL,0,NO,0,NO,0,2012-03-22 16:13:47 +0000,changed bitmask enums to #defines,186,8969
8,37b537b2,FAIL,0,NO,0,NO,0,2012-03-23 14:25:13 +0000,Add const declaration for src in pn_message_data,186,8969
9,876d6b80,FAIL,0,NO,0,NO,0,2012-03-24 12:08:21 +0000,modified driver interface to avoid callbacks; expanded swig interface,186,8969
10,d35b5d0d,FAIL,0,NO,0,NO,0,2012-03-26 18:36:10 +0000,updated driver interface,186,8969
11,8f147df0,FAIL,0,NO,0,NO,0,2012-03-29 19:29:57 +0000,Add const qualifier to signature for pn_read_datum,186,8969
12,9c27b56f,FAIL,0,NO,0,NO,0,2012-04-05 19:03:42 +0000,updated sasl interface to permit full challenge/response sequence,186,8969
13,a5463a61,FAIL,0,NO,0,NO,0,2012-04-05 19:20:57 +0000,updated driver interface to allow fine grained locking,186,8969
14,57d1d0b0,FAIL,0,NO,0,NO,0,2012-04-11 22:39:33 +0000,added tests and fixed various bugs found along the way,186,8969
15,3a4d3c3c,FAIL,0,NO,0,NO,0,2012-04-13 14:46:40 +0000,modified swig mapping for pn_input,186,8969
16,0059390b,FAIL,0,NO,0,NO,0,2012-04-19 17:36:35 +0000,added arg checking; fixed delivery-id init; only create transport delivery state after session and link are open,186,8969
17,53706824,FAIL,0,NO,0,NO,0,2012-04-19 20:37:39 +0000,include php binding courtesy of ken giusti,186,8969
18,dbd2e03d,FAIL,0,NO,0,NO,0,2012-04-20 15:06:56 +0000,added more arg checking,186,8969
19,4836f06c,FAIL,0,NO,0,NO,0,2012-04-20 15:08:52 +0000,"fixed handling of null wchar strings; fixed OUTPUT_BUFFER, OUTPUT_LEN typemap to return error codes properly",186,8969
20,10434fcf,FAIL,0,NO,0,NO,0,2012-04-20 15:48:20 +0000,pn_dirty -> pn_updated; pn_clean -> pn_clear,186,8969
21,ebfc0d57,FAIL,0,NO,0,NO,0,2012-04-20 15:48:55 +0000,"oops, forgot engine.h",186,8969
22,d1170f80,FAIL,0,NO,0,NO,0,2012-04-24 16:53:01 +0000,fix decoding of empty values,186,8969
23,453ca5e5,FAIL,0,NO,0,NO,0,2012-04-24 16:54:07 +0000,switched argument order for pn_message_data,186,8969
24,e7e4658c,FAIL,0,NO,0,NO,0,2012-04-24 16:54:58 +0000,only return listeners with activity,186,8969
25,ba6f0c2b,FAIL,0,NO,0,NO,0,2012-04-24 16:55:39 +0000,added pn_credit; several flow control fixes,186,8969
26,1ddd87c7,FAIL,0,NO,0,NO,0,2012-04-24 17:03:51 +0000,make settling clear from the work queue,186,8969
27,d1fc1bb7,FAIL,0,NO,0,NO,0,2012-04-27 15:55:14 +0000,added info to asserts,186,8969
28,914f862c,FAIL,0,NO,0,NO,0,2012-04-27 16:12:46 +0000,improved state matching to allow querying of local and remote state independent of each other; added session flow control state; added timeout to pn_driver_wait; fixed bug in pn_driver_rebuild,186,8969
29,51e8928c,FAIL,0,NO,0,NO,0,2012-04-27 16:13:52 +0000,added -threads flag to swig build,186,8969
30,fe29e64f,FAIL,0,NO,0,NO,0,2012-04-28 21:03:00 +0000,fixed off by one error in pn_quote_data,186,8969
31,47cdfe39,FAIL,0,NO,0,NO,0,2012-04-30 13:55:21 +0000,added stub for setting socket options; use MSG_NOSIGNAL,186,8969
32,7f72a8be,FAIL,0,NO,0,NO,0,2012-05-01 20:56:28 +0000,fixed bugs in socket shutdown; improved transport interface,186,8969
33,ed59386d,FAIL,0,NO,0,NO,0,2012-05-01 21:21:06 +0000,added php examples,186,8969
34,0768f52d,FAIL,0,NO,0,NO,0,2012-05-02 13:19:01 +0000,removed wchar in favor of utf8,186,8969
35,373411ab,FAIL,0,NO,0,NO,0,2012-05-03 17:06:47 +0000,added arg checking; fixed shutdown for sasl failure; removed pn_connector_eos; fixed driver bug,186,8969
36,9771ea7b,FAIL,0,NO,0,NO,0,2012-05-03 17:24:17 +0000,cleaned up header file,186,8969
37,eb3a6451,FAIL,0,NO,0,NO,0,2012-05-03 17:34:29 +0000,added process after callback,186,8969
38,47b4d0f1,FAIL,0,NO,0,NO,0,2012-05-09 12:41:38 +0000,allow threads in pythong binding during pn_driver_wait,186,8969
39,4687d056,FAIL,0,NO,0,NO,0,2012-05-09 12:46:07 +0000,added pn_error,186,8969
40,b90a8701,FAIL,0,NO,0,NO,0,2012-05-09 13:39:49 +0000,added new codec impl,186,8969
41,91c5ec13,FAIL,0,NO,0,NO,0,2012-05-15 04:09:50 +0000,switched to simpler codec,186,8969
42,ba77dbe7,FAIL,0,NO,0,NO,0,2012-05-16 19:24:14 +0000,use inttypes.h for uint64_t format codes,186,8969
43,0b1537fe,FAIL,0,NO,0,NO,0,2012-05-16 19:30:19 +0000,fixed bad printf,186,8969
44,0d0ca3d9,FAIL,0,NO,0,NO,0,2012-05-16 19:45:24 +0000,driver/engine diagram,186,8969
45,c6bcfd84,FAIL,0,NO,0,NO,0,2012-05-16 22:21:36 +0000,added accessors for hostname and container; made connection construction external to the connector,186,8969
46,466129aa,FAIL,0,NO,0,NO,0,2012-05-28 11:50:52 +0000,Proton-J : fix input method to return consumed rather than unconsumed bytes,186,8970
47,8a75fb98,FAIL,0,NO,0,NO,0,2012-05-28 12:28:02 +0000,test harness for proton,186,8970
48,ee95407c,FAIL,0,NO,0,NO,0,2012-05-28 16:58:44 +0000,"added buffer and dbuf; added json parser; renamed pn_datum_t -> pn_atom_t, pn_data_t -> pn_atoms_t",186,8970
49,a063721f,FAIL,0,NO,0,NO,0,2012-05-28 17:05:52 +0000,renamed dbuf -> data,186,8970
50,9c3a714f,FAIL,0,NO,0,NO,0,2012-05-28 18:09:19 +0000,Add constant definition for Proton end of stream,186,8971
