id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,17886a10,FAIL,0,NO,0,NO,0,2010-09-06 17:30:14 -0500,First commit.,0,0
1,0404ce4a,FAIL,0,NO,0,NO,0,2010-10-11 14:00:17 -0500,"Initial code drop, includes Ant buildfile and QueueFile",3,503
2,cd88b195,FAIL,0,NO,0,NO,0,2010-10-11 15:02:32 -0500,put the revision into a properties file; included the SNAPSHOT tag,3,503
3,8219befc,FAIL,0,NO,0,NO,0,2010-10-11 16:17:36 -0500,incorporated code review feedback,3,503
4,e0b33872,FAIL,0,NO,0,NO,0,2010-10-11 20:34:28 -0500,added ability to publish to a local Ivy repository,3,503
5,fb98822a,FAIL,0,NO,0,NO,0,2010-10-13 14:40:44 -0500,"moved util to android, added ShakeDetector",4,656
6,ad96fb93,FAIL,0,NO,0,NO,0,2010-10-13 15:36:59 -0500,Merge branch 'shake',4,656
7,42dba217,FAIL,0,NO,0,NO,0,2010-10-13 16:57:53 -0500,"added core, io, and http modules",27,1405
8,fc89b1ad,FAIL,0,NO,0,NO,0,2010-10-13 16:58:12 -0500,Merge branch 'restadapter',27,1405
9,3679d90d,FAIL,0,NO,0,NO,0,2010-10-25 15:12:59 -0700,Introduced some tests,30,1444
10,84665377,FAIL,0,NO,0,NO,0,2010-10-25 15:57:57 -0700,Merge branch 'fix-tests',30,1444
11,11da2563,FAIL,0,NO,0,NO,0,2010-10-28 17:07:54 -0700,bumped revision to 0.2-SNAPSHOT,30,1444
12,44e798e2,FAIL,0,NO,0,NO,0,2010-11-04 15:42:13 -0500,added ability to inject a server call profiling interface,31,1486
13,e14a77a4,FAIL,0,NO,0,NO,0,2010-11-08 18:10:19 -0600,Merge branch 'server-call-logging',31,1486
14,57a57d2c,FAIL,0,NO,0,NO,0,2010-11-23 17:09:12 -0600,We weren't syncing the file length metadata. Added syncing code. Added code to constructor to detect files corrupted by this bug and throw an exception.,31,1490
15,1eab56aa,FAIL,0,NO,0,NO,0,2010-11-23 17:23:16 -0600,Cleaned up code.,31,1490
16,ab26b8b0,FAIL,0,NO,0,NO,0,2010-12-05 20:27:40 -0600,"introduced the ClientMessage class so client errors can include title, message, and button text.",32,1520
17,128ffb7c,FAIL,0,NO,0,NO,0,2010-12-06 06:37:45 -0600,Removed button label and renamed ClientMessage to ErrorResponse,32,1515
18,e32d8b2a,FAIL,0,NO,0,NO,0,2010-12-06 07:05:58 -0600,added toString() to ErrorResponse.java,32,1519
19,8cd9bde3,FAIL,0,NO,0,NO,0,2010-12-07 08:44:58 -0600,renamed message_title to title,32,1519
20,63e66c67,FAIL,0,NO,0,NO,0,2010-12-07 09:06:38 -0600,Merge branch 'message-title',32,1519
21,01804848,FAIL,0,NO,0,NO,0,2010-12-07 09:09:26 -0600,incremented version to 0.3,32,1519
22,9259e3ad,FAIL,0,NO,0,NO,0,2010-12-12 14:14:45 -0600,TypedFile gets its length from the underlying file now,32,1538
23,cd2285b4,FAIL,0,NO,0,NO,0,2010-12-12 17:06:26 -0600,Merge branch 'android-346-length',32,1538
24,ab2cf4a5,FAIL,0,NO,0,NO,0,2011-01-20 10:09:21 -0800,ANDROID-477: Add MainThread.executeSynchronously().,32,1541
25,00a2db87,FAIL,0,NO,0,NO,0,2011-01-20 12:44:53 -0600,Adding GET support to RestAdapter,33,1607
26,97ad14dc,FAIL,0,NO,0,NO,0,2011-01-20 11:30:58 -0800,Merge branch 'android-477-in-app-activation-deadlock',33,1610
27,fe0d2bbf,FAIL,0,NO,0,NO,0,2011-01-20 23:55:16 -0600,Refactoring RestAdapter HTTP request construction.,34,1683
28,845efaa1,FAIL,0,NO,0,NO,0,2011-02-21 14:39:23 -0600,bumped version from 0.3-SNAPSHOT to 0.4-SNAPSHOT,34,1683
29,320d18e7,FAIL,0,NO,0,NO,0,2011-03-31 15:47:50 -0500,Ensure ByteSinks and Files use FileDescriptor.sync(),34,1684
30,b535f099,FAIL,0,NO,0,NO,0,2011-04-05 09:24:15 -0500,bumped revision to 0.4,34,1684
31,f093fc07,FAIL,0,NO,0,NO,0,2011-04-26 15:12:41 -0500,Changing Callback clientError response type to match call type.,33,1659
32,26d74c38,FAIL,0,NO,0,NO,0,2011-04-21 14:57:23 -0500,Some additional java.io.File utilities in Files,33,1671
33,949c73e4,FAIL,0,NO,0,NO,0,2011-04-26 16:20:07 -0500,Merge branch 'files',33,1671
34,352bdcb4,FAIL,0,NO,0,NO,0,2011-04-26 17:28:12 -0500,Fixing clientError handling -- constructing BufferedHttpEntity so that entity may be consumed multiple times.,33,1661
35,a67ba2b2,FAIL,0,NO,0,NO,0,2011-04-26 17:28:29 -0500,Merge branch 'master' of github.com:square/retrofit,33,1673
36,9e61b687,FAIL,0,NO,0,NO,0,2011-04-27 16:02:39 -0700,Added a delete() method to Files utility,34,1705
37,2e35fda8,FAIL,0,NO,0,NO,0,2011-04-19 09:19:02 -0700,"Add PUT, DELETE support to RestAdapter",36,1754
38,331d1f6d,FAIL,0,NO,0,NO,0,2011-04-19 10:41:46 -0700,support for path parameters,36,1763
39,bb0ab4c9,FAIL,0,NO,0,NO,0,2011-04-19 11:24:05 -0700,Code review feedback,38,2037
40,e6a1aa83,FAIL,0,NO,0,NO,0,2011-04-19 17:53:17 -0700,"Consolidate two enums, extract classes from RestAdapter",42,2034
41,759d454e,FAIL,0,NO,0,NO,0,2011-05-04 15:37:32 -0700,Add fixed query parameter support,44,2111
42,84b9b605,FAIL,0,NO,0,NO,0,2011-05-04 18:45:53 -0700,Code review feedback,44,2109
43,ef8a2442,FAIL,0,NO,0,NO,0,2011-05-05 08:33:49 -0700,Merge pull request #3 from square/more-http-methods,44,2109
44,9c195d37,FAIL,0,NO,0,NO,0,2011-05-06 11:58:37 -0700,Added support for fsyncing a directory.,45,2144
45,289f3bc7,FAIL,0,NO,0,NO,0,2011-05-06 14:26:56 -0700,Moved echo up.,45,2144
46,325ece29,FAIL,0,NO,0,NO,0,2011-06-05 20:04:47 -0500,Repackage gson into retrofit.internal.gson,45,2144
47,3d90eb78,FAIL,0,NO,0,NO,0,2011-06-05 18:42:46 -0700,Merge pull request #5 from square/repackage-gson,45,2144
48,0ffc0279,FAIL,0,NO,0,NO,0,2011-06-06 10:50:22 -0500,Logging unexpected errors in RestAdapter.,33,1674
49,87fda275,FAIL,0,NO,0,NO,0,2011-06-06 08:53:33 -0700,Merge pull request #6 from square/rest-adapter-logging,45,2145
50,44654cc4,FAIL,0,NO,0,NO,0,2011-08-25 20:45:52 -0500,Allow Server extensions; improved FilesTest,45,2146
51,826721c6,FAIL,0,NO,0,NO,0,2011-08-26 06:40:46 -0700,Merge pull request #7 from square/mutable-server,45,2146
