id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,4ed1fc08,FAIL,0,NO,0,NO,0,2009-08-22 19:07:13 -0700,initial checkin,18,458
1,0fb94b2c,FAIL,0,NO,0,NO,0,2009-08-22 19:30:03 -0700,remove redundant onStops that crept in,18,446
2,dada3915,FAIL,0,NO,0,NO,0,2009-08-31 10:19:09 -0700,nullpointer bug fix,18,446
3,1007ced6,FAIL,7,NO,0,NO,0,2009-08-31 16:12:04 -0700,reorganize to allow building from maven2,18,446
4,b2cf541e,FAIL,4,NO,0,NO,0,2009-08-31 16:29:18 -0700,add maven builder to eclipse project,18,446
5,ed81861f,FAIL,4,NO,0,NO,0,2009-08-31 17:59:05 -0700,don't depend on dependency injection for scope since the injector may not have been set up yet,18,442
6,26d3adb2,FAIL,3,NO,0,NO,0,2009-09-03 13:10:49 -0700,change default behavior of onRetainNonConfigurationInstance,18,454
7,5951ce38,FAIL,4,NO,0,NO,0,2009-09-15 14:03:36 -0700,Added tag 0.1 for changeset d04a8ef4ccb0,18,454
8,d777fe57,FAIL,5,NO,0,NO,0,2009-09-25 14:49:05 -0700,add inject to shared preferences provider constructor,18,456
9,2c5f61f3,FAIL,3,NO,0,NO,0,2009-10-16 15:12:06 -0400,switch to using context scoping switch to keeping the injector in Application instead of module,20,506
10,eea1efd4,FAIL,4,NO,0,NO,0,2009-10-16 19:55:39 -0400,don't try to make injector until onCreate,20,506
11,757373bc,FAIL,2,NO,0,NO,0,2009-10-22 10:30:18 -0700,initial checking of sample application,23,561
12,33e1055d,FAIL,3,NO,0,NO,0,2009-10-22 10:35:47 -0700,inject resources,23,566
13,1a8bfa40,FAIL,4,NO,0,NO,0,2009-10-22 10:51:24 -0700,move most of framework configuration to GuiceApplication add sample usage,23,576
14,c65c43f2,FAIL,3,NO,0,NO,0,2009-10-22 10:53:12 -0700,minor,23,576
15,59e74f7e,FAIL,4,NO,0,NO,0,2009-10-23 14:36:52 -0700,Added tag 0.2 for changeset aa491af82d9a,23,576
16,6460b48f,FAIL,4,NO,0,NO,0,2009-10-23 14:37:22 -0700,change way i do modules to make testcases (which don't run inside a GuiceApplication) work,24,588
17,bfcae879,FAIL,3,NO,0,NO,0,2009-10-23 21:54:15 -0700,don't crash when running inside android test runner,24,591
18,e1e49e8b,FAIL,3,NO,0,NO,0,2009-10-26 09:30:37 -0700,update pom to 0.2,23,576
19,09a04ead,FAIL,4,NO,0,NO,0,2009-10-26 09:30:47 -0700,Added tag 0.2 for changeset f241352a0b11,23,576
20,007870f6,FAIL,3,NO,0,NO,0,2009-10-26 09:32:14 -0700,update pom,23,576
21,2d93c5d5,FAIL,4,NO,0,NO,0,2009-10-26 10:31:15 -0700,update pom.xml,24,591
22,b047e74d,FAIL,3,NO,0,NO,0,2009-10-27 10:05:55 -0700,fix for #11,24,593
23,5c00c3a5,FAIL,4,NO,0,NO,0,2009-10-27 11:52:53 -0700,"took injection out of GuiceApplication, and moved it to a new class called GuiceInjectableApplication. GuiceInjectableApplication is identical to the old GuiceApplicaiton.",25,596
