id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,bfbe5368,SUCCESS,20,SUCCESS,6,FAIL,10,2010-09-05 17:01:30 -0300,Initial commit,56,1244
1,9300baaf,SUCCESS,8,SUCCESS,7,FAIL,7,2010-09-05 17:18:07 -0300,Formatted readme,56,1244
2,0a5b8177,SUCCESS,9,SUCCESS,7,FAIL,6,2010-09-05 17:38:05 -0300,Renamed specs to examples.,56,1244
3,bf79459d,SUCCESS,8,SUCCESS,7,FAIL,6,2010-09-05 17:42:00 -0300,Even more readme formatting,56,1244
4,5dfa1cf8,SUCCESS,7,SUCCESS,7,FAIL,6,2010-09-05 22:38:58 -0300,Added timeout to Request,56,1248
5,26cbb06d,SUCCESS,7,SUCCESS,6,FAIL,7,2010-09-05 22:38:58 -0300,Added timeout to Request,56,1248
6,75353ec3,SUCCESS,8,SUCCESS,7,FAIL,7,2010-09-06 14:57:01 -0300,Fixed NPE for timeout,56,1248
7,928a32d1,SUCCESS,6,SUCCESS,7,FAIL,8,2010-09-06 15:01:34 -0300,Changed old-lib name,56,1248
8,45a0f968,SUCCESS,7,SUCCESS,7,FAIL,6,2010-09-06 15:02:10 -0300,Added Foursquare example,57,1291
9,0222f08f,SUCCESS,7,SUCCESS,8,FAIL,7,2010-09-06 15:24:15 -0300,Removed salesforce api (no support yet),56,1283
10,f5517799,SUCCESS,8,SUCCESS,7,FAIL,7,2010-09-06 15:33:57 -0300,Added Google information,56,1283
11,fa8e9369,SUCCESS,8,SUCCESS,6,FAIL,8,2010-09-06 20:24:32 -0300,Extracted Verb to it's own file and made Request package-private,57,1271
12,facc73a5,SUCCESS,7,SUCCESS,6,FAIL,6,2010-09-07 21:47:08 -0300,Fixed typo,57,1271
13,ab57cf47,SUCCESS,8,SUCCESS,8,FAIL,6,2010-09-09 10:46:04 -0300,isEmpty is 1.6 only,57,1271
14,129d368d,SUCCESS,8,SUCCESS,8,FAIL,8,2010-09-09 10:47:07 -0300,Changed version number for new release,57,1271
15,b2147de2,SUCCESS,7,SUCCESS,8,FAIL,8,2010-09-15 10:57:14 -0300,Removed last isEmpty for < 1.6 compatibility,57,1271
16,608f56d5,SUCCESS,8,SUCCESS,7,FAIL,8,2010-09-16 20:44:12 -0300,Added MIT license,57,1271
17,8c8f26e1,SUCCESS,7,SUCCESS,8,FAIL,7,2010-09-17 22:43:54 -0300,Improved string concatenation algorithm,57,1270
18,50c35bc6,SUCCESS,7,SUCCESS,7,FAIL,8,2010-09-17 23:22:16 -0300,Changed whitespace encoding to %21 instead of '+',57,1275
19,36aeaeed,SUCCESS,6,SUCCESS,6,FAIL,7,2010-09-21 19:41:16 -0700,Fix reversed URLs.,57,1275
20,94df2504,SUCCESS,6,SUCCESS,6,FAIL,6,2010-09-22 11:11:22 -0300,Changed version number,57,1275
21,f59c9543,SUCCESS,6,SUCCESS,7,FAIL,6,2010-10-07 15:48:03 -0700,Added vimeo support,58,1283
22,fbee85ec,SUCCESS,7,SUCCESS,6,FAIL,6,2010-10-07 20:29:19 -0300,Fixed google-api urls.,58,1283
23,ffb10421,SUCCESS,5,SUCCESS,6,FAIL,5,2010-10-07 21:09:51 -0300,Added support for custom URIs,58,1290
24,91c64ff0,SUCCESS,6,SUCCESS,6,FAIL,6,2010-10-14 14:19:53 -0300,Added support for dash/underscore in custom URLs,58,1290
25,32b08788,SUCCESS,7,SUCCESS,7,FAIL,6,2010-10-14 14:30:48 -0300,Changed version number for release,58,1290
26,c3f113f3,SUCCESS,8,SUCCESS,6,FAIL,5,2010-10-20 10:25:03 -0300,Added required config for publishing bundle to maven central,58,1290
27,1f949971,SUCCESS,7,SUCCESS,7,FAIL,7,2010-10-20 10:25:26 -0300,Added support for Google's 'scope' param,58,1307
28,5d869824,SUCCESS,7,SUCCESS,9,FAIL,7,2010-10-20 10:43:38 -0300,Added check for invalid scope,58,1308
