id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,28485d93,FAIL,0,NO,0,NO,0,2008-06-23 21:12:19 +0000,Create bundles tree,0,0
1,8e1d6df8,FAIL,13,NO,0,NO,0,2008-06-23 21:24:26 +0000,Add convenient build pom,0,0
2,bc73d86e,FAIL,3,NO,0,NO,0,2008-06-24 06:59:13 +0000,Fix version,0,0
3,80f5ebba,FAIL,5,NO,0,NO,0,2008-06-24 07:27:21 +0000,"Disable tests, add a missing repo for jaxb-impl",0,0
4,df69a459,FAIL,7,NO,0,NO,0,2008-06-24 07:38:12 +0000,Use latest bundle plugin,0,0
5,e9072c51,FAIL,5,NO,0,NO,0,2008-06-24 07:47:50 +0000,Require maven 2.0.9,0,0
6,d9f9d521,FAIL,5,NO,0,NO,0,2008-06-24 09:51:43 +0000,"Add beanutils, fix some bundles, add missing META-INF/services entries for saaj-impl",0,0
7,d27608fe,FAIL,4,NO,0,NO,0,2008-06-25 07:34:41 +0000,Add saxon 9.0 bundle,0,0
8,bf3e6ad0,FAIL,5,NO,0,NO,0,2008-06-25 08:10:40 +0000,Fix typo,0,0
9,c731fc0e,FAIL,5,NO,0,NO,0,2008-07-03 08:05:30 +0000,added target directory to ignore list,0,0
10,5c215fb1,FAIL,5,NO,0,NO,0,2008-07-03 08:25:36 +0000,added .classpath to ignore list,0,0
11,6574de96,FAIL,5,NO,0,NO,0,2008-07-03 08:43:25 +0000,"Add some bundles for commons-httpclient, wss4j and xmlsec",0,0
12,6459f84a,FAIL,5,NO,0,NO,0,2008-07-03 12:00:07 +0000,Fixing the bundles build,0,0
13,49c64cba,FAIL,5,NO,0,NO,0,2008-07-04 06:39:01 +0000,Add a few more bundles for servicemix-mail,0,0
14,a668e31f,FAIL,4,NO,0,NO,0,2008-07-04 14:09:02 +0000,SMX4-49: Add a Camel features.xml (bundle additional dependencies),0,0
15,0af68e7f,FAIL,5,NO,0,NO,0,2008-07-04 14:58:21 +0000,SMX4-49: Adding commons-codec (dependency for camel-http),0,0
16,e9d8d9a5,FAIL,5,NO,0,NO,0,2008-07-07 14:35:55 +0000,"Add fastinfoset, ignore target dirs",0,0
17,a8aa5760,FAIL,5,NO,0,NO,0,2008-07-08 09:51:49 +0000,Setting svn:ignore for Eclipse project descriptors,0,0
18,1a3dee12,FAIL,3,NO,0,NO,0,2008-07-09 14:00:23 +0000,SMX4-49: Adding Camel features for camel-saxon and camel-jetty,0,0
19,f05b082a,FAIL,5,NO,0,NO,0,2008-07-10 20:51:07 +0000,[maven-release-plugin] prepare release bundles-pom-1,0,0
20,aa7e2540,FAIL,6,NO,0,NO,0,2008-07-10 20:52:20 +0000,[maven-release-plugin] prepare for next development iteration,0,0
21,fe059f62,FAIL,6,NO,0,NO,0,2008-07-10 20:58:41 +0000,Prepare pom for release,0,0
22,bc606a97,FAIL,5,NO,0,NO,0,2008-07-10 21:01:22 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.ant-1.7.0_1,0,0
23,b6a89d09,FAIL,5,NO,0,NO,0,2008-07-10 21:02:00 +0000,Prepare pom for release,0,0
24,cb1dc014,FAIL,6,NO,0,NO,0,2008-07-10 21:03:14 +0000,[maven-release-plugin] prepare for next development iteration,0,0
25,19c28123,FAIL,4,NO,0,NO,0,2008-07-10 21:03:55 +0000,Prepare pom for release,0,0
26,809df82b,FAIL,4,NO,0,NO,0,2008-07-10 21:04:30 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.aopalliance-1.0_1,0,0
27,af0618e8,FAIL,5,NO,0,NO,0,2008-07-10 21:05:03 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.asm-2.2.3_1,0,0
28,89c68c32,FAIL,4,NO,0,NO,0,2008-07-10 21:05:45 +0000,[maven-release-plugin] prepare for next development iteration,0,0
29,98c40f5d,FAIL,4,NO,0,NO,0,2008-07-10 21:06:20 +0000,[maven-release-plugin] prepare for next development iteration,0,0
30,0d924915,FAIL,5,NO,0,NO,0,2008-07-10 21:07:54 +0000,Prepare pom for release,0,0
31,352df910,FAIL,5,NO,0,NO,0,2008-07-10 21:08:54 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.commons-io-1.3.2_1,0,0
32,a278614e,FAIL,5,NO,0,NO,0,2008-07-10 21:09:11 +0000,Prepare pom for release,0,0
33,4201c626,FAIL,4,NO,0,NO,0,2008-07-10 21:09:43 +0000,[maven-release-plugin] prepare for next development iteration,0,0
34,6d066eed,FAIL,5,NO,0,NO,0,2008-07-10 21:10:00 +0000,Prepare pom for release,0,0
35,a42c15ae,FAIL,5,NO,0,NO,0,2008-07-10 21:10:23 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.junit-4.4_1,0,0
36,95773127,FAIL,3,NO,0,NO,0,2008-07-10 21:11:27 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.mina-1.1.6_1,0,0
37,75f9ed51,FAIL,4,NO,0,NO,0,2008-07-10 21:12:40 +0000,[maven-release-plugin] prepare for next development iteration,0,0
38,c1a01ebf,FAIL,5,NO,0,NO,0,2008-07-10 21:13:03 +0000,[maven-release-plugin] prepare for next development iteration,0,0
39,afe84a42,FAIL,5,NO,0,NO,0,2008-07-10 21:26:36 +0000,Prepare pom for release,0,0
40,930f7a29,FAIL,6,NO,0,NO,0,2008-07-10 21:28:08 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.cglib-2.1_3_1,0,0
41,ab7124d7,FAIL,5,NO,0,NO,0,2008-07-10 21:28:56 +0000,[maven-release-plugin] prepare for next development iteration,0,0
42,10354aa9,FAIL,4,NO,0,NO,0,2008-07-11 07:35:29 +0000,Remove released bundles from  build,0,0
43,c484da81,FAIL,3,NO,0,NO,0,2008-07-11 07:38:07 +0000,Adding a bundle for Saxon 8.7,0,0
44,d85e610f,FAIL,301,NO,0,NO,0,2008-07-15 10:33:43 +0000,Using the released version of bundles-pom,0,0
45,59a8316a,FAIL,301,NO,0,NO,0,2008-07-24 14:19:56 +0000,"SMX4-49: Adding bundles for jline, junit 3.8 and saxon 9.1.0.1",0,0
46,d95d3e19,FAIL,300,NO,0,NO,0,2008-07-28 14:48:01 +0000,Add quartz 1.5.2 osgi bundle,0,0
47,36082ed4,FAIL,300,NO,0,NO,0,2008-07-29 14:33:24 +0000,Add needed bundles for servicemix-osworkflow,0,0
48,658ee6f9,FAIL,21,NO,0,NO,0,2008-08-01 19:14:53 +0000,Add a few bundles,0,0
49,191f3606,FAIL,15,NO,0,NO,0,2008-08-08 10:32:02 +0000,SM4-83: Removing an import that is wrongfully generated in the Groovy bundle OSGi manifest,0,0
