id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,a06b6d7,FAIL,0,NO,0,NO,0,2011-05-05 13:52:34 +0200,first commit,0,0
1,3ffb473,SUCCESS,22,SUCCESS,7,SUCCESS,8,2011-05-05 13:59:08 +0200,Moved to new repo,12,357
2,0317f40,SUCCESS,6,SUCCESS,4,SUCCESS,5,2011-05-05 14:00:17 +0200,removed test files,12,357
3,cb43579,SUCCESS,7,SUCCESS,5,SUCCESS,5,2011-05-05 14:11:41 +0200,removed strange jetty config,12,357
4,ab78b56,FAIL,0,NO,0,NO,0,2011-05-06 14:30:39 +0200,first commit,0,0
5,263a0ec,SUCCESS,7,SUCCESS,3,SUCCESS,5,2011-05-06 14:31:23 +0200,Merge branch 'master' of github.com:perwendel/spark,12,357
6,f64148d,SUCCESS,5,SUCCESS,4,SUCCESS,5,2011-05-06 15:11:36 +0200,execution work,12,357
7,ff55049,SUCCESS,6,SUCCESS,4,SUCCESS,4,2011-05-06 15:13:55 +0200,improved ignite script,12,357
8,e08012e,SUCCESS,6,SUCCESS,4,SUCCESS,5,2011-05-10 13:19:30 +0200,WebContext dev.,13,378
9,a41e1da,SUCCESS,6,SUCCESS,5,SUCCESS,4,2011-05-10 15:39:03 +0200,added ascii art header,13,378
10,9eb7ef1,SUCCESS,7,SUCCESS,5,SUCCESS,5,2011-05-10 15:46:25 +0200,added logo graphics,13,378
11,fd65e55,SUCCESS,7,SUCCESS,4,SUCCESS,5,2011-05-10 16:20:59 +0200,"fixes in RouteMatcher, half ass validation added",13,411
12,849e30e,SUCCESS,6,SUCCESS,5,SUCCESS,4,2011-05-10 16:29:41 +0200,"refactoring, package protection",13,411
13,05c2118,SUCCESS,7,SUCCESS,4,SUCCESS,5,2011-05-10 16:47:25 +0200,refac.,13,411
14,d9274c0,SUCCESS,7,SUCCESS,4,SUCCESS,5,2011-05-10 16:52:01 +0200,todos added,13,411
15,5ad9ee4,SUCCESS,6,SUCCESS,5,SUCCESS,5,2011-05-10 16:57:54 +0200,added todos,13,419
16,39262ab,SUCCESS,7,SUCCESS,4,SUCCESS,4,2011-05-11 10:39:08 +0200,redirect partly implemented,13,425
17,9597ec8,SUCCESS,7,SUCCESS,4,SUCCESS,4,2011-05-11 10:51:35 +0200,added validation of method modifiers,13,432
18,b060ed0,FAIL,6,NO,0,NO,0,2011-05-11 10:57:32 +0200,refac.,12,366
19,956e16f,FAIL,5,NO,0,NO,0,2011-05-11 17:00:14 +0200,Alot of changed when trying to make tha annatition scanning better,12,380
20,a1ef3d7,SUCCESS,6,SUCCESS,4,SUCCESS,4,2011-05-11 17:00:31 +0200,Alot of changed when trying to make tha annatition scanning better,28,1077
21,4bdbb49,SUCCESS,8,SUCCESS,4,SUCCESS,4,2011-05-11 17:05:21 +0200,stuff,28,1076
22,d9d6e97,SUCCESS,8,SUCCESS,5,SUCCESS,5,2011-05-11 17:11:09 +0200,added one more forname,28,1086
23,3d7ef96,SUCCESS,9,SUCCESS,16,SUCCESS,7,2011-05-12 11:11:09 +0200,transformed to maven-plugin,29,1094
24,75944d2,SUCCESS,6,SUCCESS,8,SUCCESS,7,2011-05-12 11:14:03 +0200,refac.,29,1094
25,fde38a3,SUCCESS,6,SUCCESS,8,SUCCESS,7,2011-05-12 11:47:59 +0200,major refac yo,31,1027
26,74c8866,SUCCESS,6,SUCCESS,8,SUCCESS,7,2011-05-12 12:09:44 +0200,refac. cont.,32,1042
27,32a5458,SUCCESS,7,SUCCESS,7,SUCCESS,7,2011-05-12 14:50:55 +0200,refac.,32,1042
28,3049134,SUCCESS,7,SUCCESS,7,SUCCESS,7,2011-05-12 16:37:48 +0200,WebContext - increased func. refac.,33,1327
29,908c37f,SUCCESS,7,SUCCESS,6,SUCCESS,7,2011-05-12 16:52:53 +0200,More stuff in WebContext,33,1349
30,b7f86b9,SUCCESS,7,SUCCESS,6,SUCCESS,6,2011-05-12 16:58:11 +0200,more stuff in WebContext,33,1352
31,97d53b8,SUCCESS,6,SUCCESS,5,SUCCESS,7,2011-05-12 16:59:14 +0200,added comment,33,1352
32,842445d,SUCCESS,7,SUCCESS,7,SUCCESS,9,2011-05-12 17:06:03 +0200,untested bat-script,33,1352
33,ea347d1,FAIL,0,NO,0,NO,0,2011-05-13 12:29:32 +0200,remake of plugin,34,1360
34,c73c5d4,SUCCESS,8,SUCCESS,4,SUCCESS,5,2011-05-16 15:23:21 +0200,"refactoring, works with new paradigm but complete",19,815
35,2d463c5,SUCCESS,8,SUCCESS,4,SUCCESS,5,2011-05-16 15:37:58 +0200,more refac.,18,825
36,2107a2b,SUCCESS,7,SUCCESS,5,SUCCESS,6,2011-05-16 15:44:54 +0200,refac.,18,821
37,4695842,SUCCESS,6,SUCCESS,4,SUCCESS,5,2011-05-16 15:50:55 +0200,moved param from spark methods to Route constructor,18,826
38,b530abc,SUCCESS,6,SUCCESS,4,SUCCESS,4,2011-05-16 15:52:37 +0200,added simple example to readme,18,826
