id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,0a78a10,FAIL,14,NO,0,NO,0,2011-06-03 13:53:11 -0400,first commit,32,800
1,1ee076d,FAIL,4,NO,0,NO,0,2011-06-03 14:27:26 -0400,mvc-showcase update for 3.1 and latest jquery,31,802
2,14f5c72,FAIL,4,NO,0,NO,0,2011-06-03 14:34:43 -0400,simplified ajax utils,31,802
3,2d3a3f3,FAIL,4,NO,0,NO,0,2011-06-03 14:57:01 -0400,updated readme,31,802
4,a6d0fd8,FAIL,4,NO,0,NO,0,2011-06-03 14:57:32 -0400,updated readme,31,802
5,0639b59,FAIL,5,NO,0,NO,0,2011-06-03 14:58:09 -0400,updated readme,31,802
6,e159e42,FAIL,5,NO,0,NO,0,2011-06-08 12:35:37 -0400,upgrade to m2,31,802
7,880c5d1,FAIL,4,NO,0,NO,0,2011-06-08 12:47:19 -0400,SPR-8361,31,802
8,d249e27,FAIL,4,NO,0,NO,0,2011-06-09 08:12:36 -0400,polish,31,802
9,311cae8,FAIL,3,NO,0,NO,0,2011-06-16 09:35:07 -0400,updated README to provide more links for new users,31,802
10,8c1425c,FAIL,4,NO,0,NO,0,2011-06-16 15:53:28 -0400,polish,31,802
11,659b8c8,FAIL,5,NO,0,NO,0,2011-06-23 23:41:07 -0400,Simplified dependencies; updated artifact name to spring-mvc-showcase for consistency,31,802
12,65fa25d,FAIL,3,NO,0,NO,0,2011-08-24 15:48:22 +0100,Add examples of mapping by consumes/produces conditions.,32,832
13,cba02da,FAIL,3,NO,0,NO,0,2011-08-25 15:34:44 +0100,Add '@PathVariables available in the model when rendering' and 'Data binding with URI variables' under the Views tab,33,853
14,18f744b,FAIL,3,NO,0,NO,0,2011-08-31 10:38:55 +0100,Add example of annotating method argument with @Valid @RequestBody. Switch to using @ModelAttribute for application/x-www-form-urlencoded data (instead of MultiValueMap).,33,865
15,80ec02a,FAIL,3,NO,0,NO,0,2011-09-16 11:22:49 +0100,Add links on 'Writing Responses' tab with response containing UTF-8 characters.,32,841
