id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,349fdef,FAIL,0,NO,0,NO,0,2013-01-09 01:05:18 -0800,Initial commit,0,0
1,f09d67c,FAIL,0,NO,0,NO,0,2009-05-05 17:22:49 +0000,petclinic 3 initial commit - wip,12,131
2,7ff5e85,FAIL,0,NO,0,NO,0,2009-05-05 17:30:38 +0000,app deploys and runs - initial commit,14,149
3,556824d,FAIL,0,NO,0,NO,0,2009-05-05 22:00:59 +0000,styles,14,149
4,d5cf151,FAIL,0,NO,0,NO,0,2009-05-05 22:12:23 +0000,will add css later,14,151
5,e7a6c22,FAIL,0,NO,0,NO,0,2009-05-05 22:14:54 +0000,logging,14,151
6,d8014ae,FAIL,0,NO,0,NO,0,2009-05-06 16:37:16 +0000,petclinic tiles,14,151
7,098cfb6,FAIL,0,NO,0,NO,0,2009-05-06 17:50:03 +0000,upgrade to spring 3.0.0.m3,14,151
8,24ea3e9,FAIL,0,NO,0,NO,0,2009-05-06 17:55:57 +0000,artifact id update,14,151
9,775e85d,FAIL,0,NO,0,NO,0,2009-05-06 18:02:27 +0000,polish,14,151
10,cc199a7,FAIL,0,NO,0,NO,0,2009-05-06 18:06:20 +0000,polish,14,151
11,2742ccb,FAIL,0,NO,0,NO,0,2009-05-06 18:18:31 +0000,moved pets under owners,14,151
12,9106b83,FAIL,0,NO,0,NO,0,2009-05-06 18:22:37 +0000,polish,14,151
13,75504b8,FAIL,0,NO,0,NO,0,2009-05-06 19:28:19 +0000,polish,14,151
14,d4fc5b0,FAIL,0,NO,0,NO,0,2009-05-06 19:28:33 +0000,polish,15,160
15,0901364,FAIL,0,NO,0,NO,0,2009-05-06 21:43:08 +0000,owner pages,16,198
16,2781809,FAIL,0,NO,0,NO,0,2009-05-07 20:39:59 +0000,appointments,21,292
17,9dd07f0,FAIL,0,NO,0,NO,0,2009-11-25 16:53:14 +0000,SPR-6447 + added basic files,21,292
18,521d01d,FAIL,9,NO,0,NO,0,2009-11-25 18:45:52 +0000,SPR-6447 SPR-6448 + commit the gross of the files + added maven pom,73,1798
19,c0b90bf,FAIL,3,NO,0,NO,0,2009-11-25 19:27:08 +0000,SPR-6447 + move jdbc scripts from META-INF into /resources,73,1798
20,d109fdd,FAIL,4,NO,0,NO,0,2009-11-25 19:37:20 +0000,SPR-6447 SPR-6449 + fix the packaging of some libraries to prevent weird class loading problems from occuring,73,1798
21,50b87ef,FAIL,4,NO,0,NO,0,2009-11-26 16:46:54 +0000,SPR-6447 + moved db files around + moved JPA/AOP META-INF/ files into the webapp classpath,73,1798
22,8291c80,FAIL,4,NO,0,NO,0,2009-11-26 16:47:32 +0000,SPR-6447 + added on the fly db configuration to all contexts + removed schema numbers to always pick the latest version,73,1798
23,d077058,FAIL,3,NO,0,NO,0,2009-11-26 16:51:12 +0000,SPR-6447 + moved JPA/AOP META-INF/ files into the webapp classpath,73,1798
24,c9c939d,FAIL,5,NO,0,NO,0,2009-11-26 16:53:18 +0000,SPR-6447 + add more clarifications,73,1798
