id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,c131aab1,FAIL,0,NO,0,NO,0,2010-07-08 23:28:19 +0100,Added .gitignore,0,0
1,03d924d8,FAIL,17,NO,0,NO,0,2010-07-08 01:15:21 -0600,initial commit from HEAD of codehaus,195,8071
2,c44c59a4,FAIL,5,NO,0,NO,0,2010-07-14 16:14:56 -0600,"changing of groupid, version",195,8071
3,46da5c5a,FAIL,7,NO,0,NO,0,2010-07-15 11:54:16 -0600,"distribution management, extentions for deploy to s3",195,8071
4,1eef88ab,FAIL,8,NO,0,NO,0,2010-08-16 15:45:36 -0600,removing OAuthTokenLifecycleRegistryPostProcessor,194,8053
5,fc1aa2c2,FAIL,4,NO,0,NO,0,2010-09-06 22:02:40 -0600,initial take on oauth2 consumer-side logic.,216,8216
6,a434e02b,FAIL,5,NO,0,NO,0,2010-09-06 22:08:30 -0600,modified files to support initial oauth consumer flow,216,8668
7,00bf52a0,FAIL,4,NO,0,NO,0,2010-09-07 13:50:05 -0600,"final touch-ups, security config, and tonr2",224,9033
8,0938d496,FAIL,4,NO,0,NO,0,2010-09-07 13:52:31 -0600,tonr2 example,229,9148
9,63e936b6,FAIL,4,NO,0,NO,0,2010-09-07 14:10:20 -0600,adding an example facebook resource,229,9148
10,3e48e529,FAIL,4,NO,0,NO,0,2010-09-09 15:14:51 -0600,treating empty realm the same as missing realm,229,9149
11,561d8cf1,FAIL,3,NO,0,NO,0,2010-09-10 12:10:28 -0600,usability cleanup and bug fixes submitted by Ken Dombeck,229,9153
12,18077688,FAIL,4,NO,0,NO,0,2010-09-22 17:31:35 -0600,splitting out the oauth 1 logic into a context filter and an access filter,235,9308
13,a8ff2aac,FAIL,4,NO,0,NO,0,2010-09-22 18:42:43 -0600,"creating an OAuthRestTemplate, and updating the tonr code to support it",238,9361
14,b912853c,FAIL,4,NO,0,NO,0,2010-09-23 18:33:33 -0600,updating some docs on the new OAuth1 context.,238,9361
15,1c9f0bab,FAIL,4,NO,0,NO,0,2010-09-24 16:50:34 -0600,applying some suggestions by David Lewis for simplifying the token services for database storage,238,9358
16,5a8489b6,FAIL,6,NO,0,NO,0,2010-09-25 20:18:12 +0100,Update code to compile with Spring Security 3.0.3 and Spring 3.0.4.,238,9312
17,6b360480,FAIL,7,NO,0,NO,0,2010-10-01 14:01:09 -0600,big refactor to support latest oauth2 changes,247,9504
18,95d67fb4,FAIL,6,NO,0,NO,0,2010-10-08 14:55:25 -0600,"SECOAUTH-4, jdbc support for token services",256,9957
19,7de8495b,FAIL,5,NO,0,NO,0,2010-10-08 14:58:44 -0600,"SECOAUTH-5, javadoc cleanup",256,9957
20,32f5e61a,FAIL,4,NO,0,NO,0,2010-10-08 16:48:04 -0600,OAUTHSS-68 integer overflow calculation,256,9957
21,231fb4ba,FAIL,5,NO,0,NO,0,2010-10-12 19:21:58 -0600,fixing the build for java 5,256,9957
22,3e4b15a2,FAIL,4,NO,0,NO,0,2010-10-14 22:03:38 -0600,updating documentation for oauth2 support,256,9957
23,a50627c0,FAIL,6,NO,0,NO,0,2010-10-15 13:41:34 -0600,SECOAUTH-6: support for creating client details from a property file,257,10023
24,84d4efe1,FAIL,4,NO,0,NO,0,2010-10-15 14:13:48 -0600,SECOAUTH-13: security vulnerability fix,257,10032
25,8f1f2353,FAIL,4,NO,0,NO,0,2010-10-16 21:52:45 -0600,"SECOAUTH-1, consumer-side exceptions shouldn't extend AuthenticationException so users don't get logged out.",257,10048
26,f4fc0b37,FAIL,4,NO,0,NO,0,2010-10-18 11:51:01 -0600,"refresh token support for oauth2 provider, client",261,10167
27,6892c1f8,FAIL,3,NO,0,NO,0,2010-10-19 13:03:56 -0600,example code for facebook integration for oauth2,262,10233
28,406ffde5,FAIL,3,NO,0,NO,0,2010-10-20 10:02:54 -0600,removing the version from the reference to the schema,262,10233
29,8f5f2cf7,FAIL,8,NO,0,NO,0,2010-11-08 13:30:07 -0700,SECOAUTH-16,262,10233
30,6714c81c,FAIL,4,NO,0,NO,0,2010-11-16 09:55:47 -0700,adding an example picasa tab to tonr example,265,10304
31,1ffd25fa,FAIL,4,NO,0,NO,0,2010-11-23 15:05:00 -0700,"SECOAUTH-18, SECOAUTH-19",265,10308
32,e9e06556,FAIL,5,NO,0,NO,0,2010-11-23 15:20:09 -0700,SECOAUTH-15,265,10308
