id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,71ee99d5,FAIL,0,NO,0,NO,0,2012-02-23 18:12:36 +0800,first commit,0,0
1,2e41a206,SUCCESS,7,SUCCESS,3,SUCCESS,3,2012-02-23 19:31:54 +0800,migrate from svn,38,1200
2,aa219d04,SUCCESS,3,SUCCESS,3,SUCCESS,3,2012-02-23 20:45:12 +0800,add a REAMME.txt for github,38,1200
3,585f8aa3,SUCCESS,3,SUCCESS,3,SUCCESS,3,2012-02-23 20:48:28 +0800,add a REAMME.txt for github,38,1200
4,1cd6efc5,SUCCESS,3,SUCCESS,3,SUCCESS,3,2012-02-23 23:45:38 +0800,输出Jsonp 实现跨域Ajax调用.,38,1200
5,caf50c7f,SUCCESS,3,SUCCESS,3,SUCCESS,3,2012-02-24 00:00:39 +0800,"更新 web.xml 的root节点, 使得Eclipse保存web.xml时不用等一大轮时间。",38,1200
6,9ee75d28,SUCCESS,3,SUCCESS,3,SUCCESS,2,2012-02-24 01:14:48 +0800,"一些清理工作, 如Sitemesh3的配置改进",37,1166
7,4b21d1c7,SUCCESS,4,SUCCESS,2,SUCCESS,3,2012-02-24 10:18:38 +0800,add gitignore file,37,1166
8,2f7cd58b,SUCCESS,3,SUCCESS,3,SUCCESS,3,2012-02-24 11:14:16 +0800,remove SVN tags in code header,37,1166
9,7d6f5279,SUCCESS,3,SUCCESS,4,SUCCESS,3,2012-02-24 12:02:56 +0800,又来无聊的Package Refactory.,37,1165
10,ae0a801e,SUCCESS,3,SUCCESS,2,SUCCESS,3,2012-02-24 13:22:54 +0800,又来无聊的Package Refactory.,37,1165
11,d6fcfcea,SUCCESS,4,SUCCESS,3,SUCCESS,2,2012-02-24 20:08:22 +0800,让quick-start.bat跑利索了,37,1165
12,bb45579a,SUCCESS,4,SUCCESS,3,SUCCESS,2,2012-02-24 21:55:23 +0800,"所以UnitTest顺畅运行, 将放在jenkinshosting.com上执行",37,1165
13,019b530b,SUCCESS,3,SUCCESS,3,SUCCESS,2,2012-02-24 22:44:02 +0800,Fix Jenkins dependency problem,37,1165
