id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,9edcf177,FAIL,0,NO,0,NO,0,2011-09-15 22:20:45 -0700,storm starter,5,216
1,c80b0886,FAIL,0,NO,0,NO,0,2011-09-16 12:06:14 -0700,add license,5,216
2,9d91adbd,FAIL,0,NO,0,NO,0,2011-09-17 00:48:10 -0700,release commit,82,2699
3,5fab34e1,FAIL,0,NO,0,NO,0,2011-09-19 02:10:11 -0500,added mike as contributor,82,2699
4,2c77528c,FAIL,0,NO,0,NO,0,2011-09-20 10:46:14 -0500,updated README with more introductory resources,82,2699
5,e1a66154,FAIL,0,NO,0,NO,0,2011-09-21 11:51:04 -0500,add clojure dependencies so people can try out storm-starter from repl,5,216
6,1469557e,FAIL,0,NO,0,NO,0,2011-09-21 14:55:41 -0500,remove generic from ISerialization#accept,82,2699
7,d5fdf94b,FAIL,0,NO,0,NO,0,2011-09-21 16:39:32 -0500,improve the javadocs on serialization and allow Config class to be used as a helper for typed configs,82,2731
8,c2a5bf1e,FAIL,0,NO,0,NO,0,2011-09-21 16:54:13 -0500,bump version,82,2731
9,2a022ae9,FAIL,0,NO,0,NO,0,2011-09-21 19:16:15 -0500,javadoc for tuple,82,2731
10,c47e1054,FAIL,0,NO,0,NO,0,2011-09-21 19:54:18 -0700,0.5.1 release,82,2731
11,433caaaf,FAIL,0,NO,0,NO,0,2011-09-21 20:15:48 -0700,upgrade to 0.5.1 API,5,215
12,2ae64459,FAIL,0,NO,0,NO,0,2011-09-21 21:18:01 -0700,bump version,82,2731
13,f775c09e,FAIL,0,NO,0,NO,0,2011-09-24 00:16:18 -0700,initial implementation of messaging abstraction,82,2732
14,3e84ddf3,FAIL,0,NO,0,NO,0,2011-09-24 00:25:30 -0700,make it possible to lookup metadata from Tuples in clojure using keywords,82,2753
15,2ce3acf2,FAIL,0,NO,0,NO,0,2011-09-24 00:47:08 -0700,restructured messaging to delay loading ZMQ until it's actually being used,82,2732
16,25e8d8a5,FAIL,0,NO,0,NO,0,2011-09-24 01:33:53 -0700,finished extracting zmq code so that local mode can be run without native deps,82,2732
17,969df632,FAIL,0,NO,0,NO,0,2011-09-24 02:59:41 -0700,no zmq local mode finished,82,2732
18,a8d85e4d,FAIL,0,NO,0,NO,0,2011-09-24 03:00:09 -0700,Merge branch 'no-zmq-local',82,2754
19,1130376b,FAIL,0,NO,0,NO,0,2011-09-24 03:33:34 -0700,"fix logging to use rolling file in production, console everywhere else",82,2754
20,095ce14e,FAIL,0,NO,0,NO,0,2011-09-24 12:07:38 -0700,release 0.5.2,82,2754
21,7027ea9c,FAIL,0,NO,0,NO,0,2011-09-24 12:13:27 -0700,bump storm dependency for no zmq local mode,5,215
22,23617033,FAIL,0,NO,0,NO,0,2011-09-24 12:20:53 -0700,starting 0.5.3-SNAPSHOT,82,2754
23,35772e8f,FAIL,0,NO,0,NO,0,2011-09-25 01:01:42 -0700,test that local mode works with zeromq and without,82,2754
24,4e7a187c,FAIL,0,NO,0,NO,0,2011-09-25 19:52:54 -0700,Relax parameter type of Config.addSerialization() so it can actually be called,82,2754
25,2fd62d9e,FAIL,0,NO,0,NO,0,2011-09-25 23:13:19 -0700,Merge pull request #9 from samstokes/patch-1,82,2754
26,3cee68bd,FAIL,0,NO,0,NO,0,2011-09-27 01:24:08 -0700,increase default start timeouts,82,2754
27,f02533bd,FAIL,0,NO,0,NO,0,2011-09-27 01:24:25 -0700,debug logging,82,2754
28,2ec6631a,FAIL,0,NO,0,NO,0,2011-09-27 01:24:38 -0700,formatting,82,2754
29,e1bbcd81,FAIL,0,NO,0,NO,0,2011-09-27 01:31:33 -0700,increase zookeeper timeout,82,2754
30,b3b4b715,FAIL,0,NO,0,NO,0,2011-09-27 02:09:43 -0700,make supervisor log when a worker fails to start within the start timeout,82,2754
31,2937dc08,FAIL,0,NO,0,NO,0,2011-09-27 20:29:19 -0700,remade clojure DSL to be much cleaner and clojurey,82,2743
32,aa3f8292,FAIL,0,NO,0,NO,0,2011-09-27 20:44:20 -0700,insert type hints automatically for clojure dsl,82,2743
33,0c8d942b,FAIL,0,NO,0,NO,0,2011-09-27 20:54:00 -0700,added emit and acking helpers to clojure dsl,82,2743
34,daf093da,FAIL,0,NO,0,NO,0,2011-09-27 23:29:13 -0700,initial defspout implementation,83,2818
35,1fea7a49,FAIL,0,NO,0,NO,0,2011-09-28 00:02:47 -0700,"worked kinks out of clojure DSL, finished defspout",83,2818
36,ed8729ea,FAIL,0,NO,0,NO,0,2011-09-28 00:12:47 -0700,"improvements to clojure DSL: p for specifying parallelism, and access to shell bolts",83,2818
37,7fa873d1,FAIL,0,NO,0,NO,0,2011-09-28 00:35:52 -0700,added example of clojure DSL,5,215
38,59998cfc,FAIL,0,NO,0,NO,0,2011-09-28 12:24:47 -0700,add repl and confvalue commands to storm script,83,2818
39,2c0b7510,FAIL,0,NO,0,NO,0,2011-09-28 12:45:44 -0700,allow nimbus and supervisor to share local dir,83,2818
40,0e57b733,FAIL,0,NO,0,NO,0,2011-09-28 12:45:55 -0700,added classpath command to bin/storm,83,2818
41,8336885d,FAIL,0,NO,0,NO,0,2011-09-28 12:58:17 -0700,check that nimbus host is set,83,2820
42,8d236fcf,FAIL,0,NO,0,NO,0,2011-09-28 16:15:29 -0700,release 0.5.3,83,2820
43,028d76c5,FAIL,0,NO,0,NO,0,2011-09-28 16:16:00 -0700,starting 0.5.4-SNAPSHOT,83,2820
44,3c4f437f,FAIL,0,NO,0,NO,0,2011-09-28 16:30:20 -0700,update storm dependency,5,215
45,feaafd4b,FAIL,0,NO,0,NO,0,2011-09-28 23:47:35 -0700,don't die on a user report error,83,2820
46,6a3f94e1,FAIL,0,NO,0,NO,0,2011-09-29 01:55:26 -0700,add bolt-execute helper,83,2820
47,14680ff5,FAIL,0,NO,0,NO,0,2011-09-29 17:01:06 -0700,more Clojure DSL helpers,83,2820
48,476e9101,FAIL,0,NO,0,NO,0,2011-09-29 17:01:37 -0700,change how Storm looks for configs to play nicely with sbt,83,2820
49,4aa082db,FAIL,0,NO,0,NO,0,2011-09-29 18:42:35 -0700,formatting,5,215
50,ef3020a4,FAIL,0,NO,0,NO,0,2011-09-29 18:43:02 -0700,example of doing scalable streaming rolling top N,9,432
51,9d267e8d,FAIL,0,NO,0,NO,0,2011-09-30 13:50:45 -0700,tuple() -> new Values(),9,432
52,a95b418f,FAIL,0,NO,0,NO,0,2011-10-01 21:38:01 -0700,comment about Utils.class usage,83,2820
53,57ddaae5,FAIL,0,NO,0,NO,0,2011-10-01 21:38:25 -0700,better error messages when problem with multilang subprocess,83,2820
54,26125afa,FAIL,0,NO,0,NO,0,2011-10-01 21:38:41 -0700,better documentation about nextTuple,83,2820
55,084bbbbe,FAIL,0,NO,0,NO,0,2011-10-01 21:39:03 -0700,another shellspoutconstructor,83,2822
56,5aa6e3d9,FAIL,0,NO,0,NO,0,2011-10-02 23:15:44 -0700,make storm client work on windows under cygwin,83,2822
57,d353e6be,FAIL,0,NO,0,NO,0,2011-10-04 03:38:02 -0700,fix TwitterSampleSpout,9,433
58,6fd04ab7,FAIL,0,NO,0,NO,0,2011-10-04 12:20:00 -0700,expose get*ByField methods in Tuple,83,2849
59,ccbf578c,FAIL,0,NO,0,NO,0,2011-10-04 16:42:44 -0700,make storm ui port configurable,83,2850
60,0699624e,FAIL,0,NO,0,NO,0,2011-10-04 22:49:29 -0700,fix javadoc for TOPOLOGY_MAX_SPOUT_PENDING,83,2850
61,fa9e007c,FAIL,0,NO,0,NO,0,2011-10-05 00:00:25 -0700,improve javadoc,83,2850
62,31f06a9a,FAIL,0,NO,0,NO,0,2011-10-10 17:42:28 +0200,Add Tuple.__repr__,83,2850
63,2e410513,FAIL,0,NO,0,NO,0,2011-10-11 00:26:20 -0700,note,83,2850
64,3226a1ce,FAIL,0,NO,0,NO,0,2011-10-11 00:26:34 -0700,print usage if no arguments given to storm script,83,2850
65,26409830,FAIL,0,NO,0,NO,0,2011-10-11 00:32:53 -0700,Merge pull request #20 from twpayne/python-debug-support,83,2850
66,98072862,FAIL,0,NO,0,NO,0,2011-10-12 15:30:50 -0700,friendlier error message when emitting to undeclared stream,83,2854
67,18dd7423,FAIL,0,NO,0,NO,0,2011-10-12 15:31:17 -0700,Merge branch 'master' of github.com:nathanmarz/storm,83,2854
68,f597bb12,FAIL,0,NO,0,NO,0,2011-10-18 02:05:29 -0700,clojure 1.3 changes except for various long/int issues,83,2856
69,fe268549,FAIL,0,NO,0,NO,0,2011-10-18 15:48:32 -0700,comment,83,2854
70,fbe24e6c,FAIL,0,NO,0,NO,0,2011-10-18 15:48:43 -0700,log when local mode copies resource directory,83,2854
71,c89270bb,FAIL,0,NO,0,NO,0,2011-10-18 19:35:54 -0700,upgraded to thrift 7,83,2857
72,4eb94223,FAIL,0,NO,0,NO,0,2011-10-18 22:06:49 -0700,fix setting up hshaserver args,83,2857
73,8615889b,FAIL,0,NO,0,NO,0,2011-10-19 00:23:39 -0700,use org.apache.thrift7 so that Storm's thrift is independent from other thrifts,83,2857
74,44825be9,FAIL,0,NO,0,NO,0,2011-10-19 19:09:16 -0700,"added active/killed statuses for topologies, implemented custom wait amounts when killing",83,2857
75,b419a6b2,FAIL,0,NO,0,NO,0,2011-10-19 19:26:35 -0700,add status to UI,83,2857
76,02cfd6b1,FAIL,0,NO,0,NO,0,2011-10-19 20:52:16 -0700,fix log message,83,2857
