id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,d8c0f69a,FAIL,0,NO,0,NO,0,2011-07-06 07:45:16 -0700,first commit,83,5338
1,b8b8b419,FAIL,0,NO,0,NO,0,2011-07-13 09:37:03 -0700,correct dependency reference,83,5338
2,f73ef03c,FAIL,0,NO,0,NO,0,2011-07-20 02:00:38 +0530,Swagr code-gen: Deserializing new api changes,88,5684
3,e2e83023,FAIL,0,NO,0,NO,0,2011-07-20 10:41:58 +0530,Swagr code-gen: Changes to support 'ok' as return type and removing an unused reference,88,5685
4,7adc4e32,FAIL,0,NO,0,NO,0,2011-07-20 22:59:30 +0530,Swagr code-gen: Changes to ignore methods that do not have model apis supplied and CodeGenConfig value added for models to be ignored,88,5703
5,4e7fdd9e,FAIL,0,NO,0,NO,0,2011-07-21 09:36:09 +0530,"Swagr code-gen: Reading baseurl, apikey and apiList resource from config and creating resource list from response of apiList resource",88,5770
6,590abe83,FAIL,0,NO,0,NO,0,2011-07-21 10:02:05 +0530,Swagr code-gen: Making base class in models generated configurable,88,5777
7,af04c243,FAIL,0,NO,0,NO,0,2011-07-22 09:02:50 +0530,"Swagr code-gen: Removing Output wrappers, removed dependency on WordnikObject in test execution and renamed WordnikXXX classes to more generic",87,5714
8,63c7932a,FAIL,0,NO,0,NO,0,2011-07-22 11:35:00 +0530,Swagr code-gen: Refactoring class names of classes used in code generation,86,5660
9,5ec7c8b4,FAIL,0,NO,0,NO,0,2011-07-23 07:57:46 +0530,Swagr code-gen: Refactoring method names in mapper and generator interfaces,86,5660
10,643971c0,FAIL,0,NO,0,NO,0,2011-07-23 08:22:39 +0530,Swagr code-gen: Split config options into gen related config and env related,88,5673
11,ad1a670b,FAIL,0,NO,0,NO,0,2011-07-25 12:00:55 +0530,Lang package created for files to copy to generated folder,100,5937
12,18b06fd8,FAIL,0,NO,0,NO,0,2011-07-25 12:03:18 +0530,"Swagr code-gen: Refactoring tasks, imports configurable, enum classes generation, sets handled and allowMultiple handling for params",100,6053
13,1f738486,FAIL,0,NO,0,NO,0,2011-07-25 22:13:28 +0530,"Swagr Codegen: Updates to generate comments properly for return type of void and for allowed values, other minor updates",100,6056
14,b61d3b29,FAIL,0,NO,0,NO,0,2011-07-27 10:20:59 +0530,Swagr Codegen: Updates to generate comments properly for models,100,6057
15,851e916b,FAIL,0,NO,0,NO,0,2011-07-27 22:28:24 +0530,Swagger Codegen: Extract out deserializing code into new class - SwaggerApi; renamed swagr to swagger where used,101,6079
16,7ca4482a,FAIL,0,NO,0,NO,0,2011-07-29 07:14:05 +0530,Swagger Codegen: Made location of model and resource classes to be generated as one single output directory command line parameter for code generator,101,6085
17,f6c1a91d,FAIL,0,NO,0,NO,0,2011-07-29 07:34:05 +0530,Swagger Codegen: Moving com.wordnik.codegen.java TO com.wordnik.codegen.config.java,101,6082
18,ddb8eff5,FAIL,0,NO,0,NO,0,2011-07-29 21:54:47 +0530,"Swagger Codegen: Split configuration classes into types of configurations and providers, with language agnostic under common",100,6119
19,6dfd521b,FAIL,0,NO,0,NO,0,2011-07-30 11:08:28 -0700,added default dirs,100,6119
20,ffe849e7,FAIL,0,NO,0,NO,0,2011-07-30 11:09:09 -0700,removed swp files,100,6119
21,c56db774,FAIL,0,NO,0,NO,0,2011-07-30 11:10:37 -0700,added default dirs,100,6119
22,568ab979,FAIL,0,NO,0,NO,0,2011-07-31 01:43:57 +0530,Swagger Codegen: 'structure' folder created that contains initial seeded framework codea and files like build.xml for the project to be created. 'lang' folder in api-server-lib that contains code custom to the generated Api,107,6313
23,47a35cdd,FAIL,0,NO,0,NO,0,2011-07-31 01:45:39 +0530,Merge branch 'master' of github.com:wordnik/swagr-codegen,107,6313
24,7a29714a,FAIL,0,NO,0,NO,0,2011-08-01 22:20:50 +0530,Swagger codegen: Changing package name from com.wordnik to com.wordnik.swagger,107,6345
25,6861d179,FAIL,0,NO,0,NO,0,2011-08-01 22:25:46 +0530,Swagr codegen: Correcting package name in comments,107,6345
26,7ccf9df9,FAIL,0,NO,0,NO,0,2011-08-01 23:05:30 +0530,Swagr codegen: Included tests for a couple of the invoked apis and moved test package under com.wordnik.swagger,107,6345
27,8bd7111b,FAIL,0,NO,0,NO,0,2011-08-02 09:32:13 +0530,Swagger-codegen: renaming input parameter for output directory and default test runner task,107,6345
28,6379daa3,FAIL,0,NO,0,NO,0,2011-08-01 23:14:25 -0700,Refactored code gen classes to proper directory structure,0,0
29,48e54e8b,FAIL,0,NO,0,NO,0,2011-08-01 23:17:13 -0700,refactored code gen classes,0,0
30,53af2276,FAIL,0,NO,0,NO,0,2011-08-01 23:21:53 -0700,refactored directory structure,34,1731
31,b2f7f69e,FAIL,0,NO,0,NO,0,2011-08-01 23:41:13 -0700,Renamed driver code gen to library code gen,34,1731
32,fe4a29ca,FAIL,0,NO,0,NO,0,2011-08-02 21:08:50 +0530,Swagr codegen: Included tests for a couple of the invoked apis and moved test package under com.wordnik.swagger,34,1748
33,ed6e09c5,FAIL,0,NO,0,NO,0,2011-08-02 22:24:09 +0530,Swagr codegen: Moving configurations to json file at apiConfiguration.json,34,1748
34,f6360041,FAIL,0,NO,0,NO,0,2011-08-02 11:45:09 -0700,Fixed build issues and removed dependency with wordnik ivy settings,34,1731
35,d498f6f9,FAIL,0,NO,0,NO,0,2011-08-02 11:45:32 -0700,Merge branch 'master' of github.com:wordnik/swagger-codegen,34,1748
36,3e0ca55e,FAIL,0,NO,0,NO,0,2011-08-03 00:56:35 +0530,Swagr codegen: Moving file tasks from ant to java after reading api configuration from json,35,1803
37,4985a35f,FAIL,0,NO,0,NO,0,2011-08-03 01:12:41 +0530,Swagr codegen: Merge,35,1803
38,8c4efd8b,FAIL,0,NO,0,NO,0,2011-08-03 01:15:35 +0530,Swagr codegen: Updating condition check in ant task,35,1803
39,976493b6,FAIL,0,NO,0,NO,0,2011-08-03 07:37:24 -0700,Fixed build file and also removed duplicate config property,35,1801
40,cc721636,FAIL,0,NO,0,NO,0,2011-08-03 21:54:34 -0700,Updated code gen to fix some logic issues,35,1814
41,288a58cd,FAIL,0,NO,0,NO,0,2011-08-04 10:45:17 -0700,Added licensing info,35,1814
42,d14c514d,FAIL,0,NO,0,NO,0,2011-08-04 16:57:17 -0400,added resolve task,35,1814
43,2f8262cb,FAIL,0,NO,0,NO,0,2011-08-04 17:10:08 -0700,"Claned un used code, made configuration simple and more reusable. renamed some methods to make it more meaningful.",34,1793
44,10ffad36,FAIL,0,NO,0,NO,0,2011-08-04 17:10:18 -0700,Merge branch 'master' of github.com:wordnik/swagger-codegen,34,1793
45,70529845,FAIL,0,NO,0,NO,0,2011-08-05 21:51:54 +0530,Swagr codegen: Adding checks to confirm folder is present for clearing older generated files,34,1795
46,97e7e0b5,FAIL,0,NO,0,NO,0,2011-08-08 00:43:22 -0700,Fixed codege issues and complete testing framework implementation,51,2728
47,31a2ef5d,FAIL,0,NO,0,NO,0,2011-08-08 00:44:33 -0700,resolved conflicts,51,2728
48,8347fa3a,FAIL,0,NO,0,NO,0,2011-08-09 14:30:13 -0700,Completed changes related running test scripts,51,2732
49,fb87385c,FAIL,0,NO,0,NO,0,2011-08-09 14:56:37 -0700,Fixed issue unmarshalling primitive types and assertion errors in test framework,51,2742
50,8e7cf41f,FAIL,0,NO,0,NO,0,2011-08-09 15:21:46 -0700,Fixed issue with list inputs for query and path parameters,51,2754
51,35cd821e,FAIL,0,NO,0,NO,0,2011-08-09 15:24:19 -0700,Added copyright information,51,2754
52,fd3660b9,FAIL,0,NO,0,NO,0,2011-08-10 01:38:35 -0700,added clean,51,2754
53,a894a007,FAIL,0,NO,0,NO,0,2011-08-10 01:38:43 -0700,removed old file,51,2754
54,a29a10b8,FAIL,0,NO,0,NO,0,2011-08-10 01:38:53 -0700,added readme,51,2754
55,d58564fb,FAIL,0,NO,0,NO,0,2011-08-10 01:40:15 -0700,formatting,51,2754
56,fb99be3c,FAIL,0,NO,0,NO,0,2011-08-10 07:27:02 -0700,"Fixed issue with server URL paths for trailing ""/""",51,2761
57,79db7fc6,FAIL,0,NO,0,NO,0,2011-08-10 07:27:29 -0700,Merge branch 'master' of github.com:wordnik/swagger-codegen,51,2761
58,8107141c,FAIL,0,NO,0,NO,0,2011-08-10 08:07:15 -0700,updated readme for test execution,51,2761
59,2e7778bd,FAIL,0,NO,0,NO,0,2011-08-10 08:08:04 -0700,updated readme for test execution,51,2761
60,fddfe59d,FAIL,0,NO,0,NO,0,2011-08-10 11:26:44 -0700,updated readme,51,2761
61,ff7a4169,FAIL,0,NO,0,NO,0,2011-08-10 11:32:48 -0700,updated readme,51,2761
62,bd6e9403,FAIL,0,NO,0,NO,0,2011-08-10 19:35:39 -0700,Adds the install-ivy.xml build script,51,2761
