error,count
"&quot;{&quot;type&quot;:&quot;string&quot;[,&quot;type&quot;:&quot;string&quot;]}&quot; was not equal to &quot;{&quot;type&quot;:&quot;string&quot;[]}&quot;",1
"&quot;{&quot;type&quot;:&quot;[DateTimeProperty&quot;,&quot;type&quot;:&quot;]string&quot;,&quot;format&quot;:&quot;da...&quot; was not equal to &quot;{&quot;type&quot;:&quot;[]string&quot;,&quot;format&quot;:&quot;da...&quot;",1
"&quot;{&quot;type&quot;:&quot;integer&quot;,&quot;[type&quot;:&quot;integer&quot;,&quot;]format&quot;:&quot;int32&quot;}&quot; was not equal to &quot;{&quot;type&quot;:&quot;integer&quot;,&quot;[]format&quot;:&quot;int32&quot;}&quot;",1
"&quot;{&quot;type&quot;:&quot;boolean&quot;[,&quot;type&quot;:&quot;boolean&quot;]}&quot; was not equal to &quot;{&quot;type&quot;:&quot;boolean&quot;[]}&quot;",1
"&quot;{&quot;type&quot;:&quot;array&quot;,&quot;[type&quot;:&quot;array&quot;,&quot;items&quot;:{&quot;type&quot;:&quot;string&quot;,]&quot;type&quot;:&quot;string&quot;}}&quot; was not equal to &quot;{&quot;type&quot;:&quot;array&quot;,&quot;[items&quot;:{]&quot;type&quot;:&quot;string&quot;}}&quot;",1
"&quot;{&quot;type&quot;:&quot;array&quot;,&quot;[type&quot;:&quot;array&quot;,&quot;items&quot;:{&quot;type&quot;:&quot;integer&quot;,]&quot;type&quot;:&quot;integer&quot;,&quot;fo...&quot; was not equal to &quot;{&quot;type&quot;:&quot;array&quot;,&quot;[items&quot;:{]&quot;type&quot;:&quot;integer&quot;,&quot;fo...&quot;",1
"&quot;...perties&quot; : {       &quot;[type&quot; : {         &quot;type&quot; : &quot;string&quot;       },       &quot;isDomestic&quot; : {         &quot;type&quot; : &quot;boolean&quot;       },       &quot;name&quot; : {         &quot;type&quot; : &quot;string]&quot;       }     }   } ...&quot; did not equal &quot;...perties&quot; : {       &quot;[name&quot; : {         &quot;type&quot; : &quot;string&quot;       },       &quot;type&quot; : {         &quot;type&quot; : &quot;string&quot;       },       &quot;isDomestic&quot; : {         &quot;type&quot; : &quot;boolean]&quot;       }     }   } ...&quot;",12
"&quot;...32&quot;       },       &quot;[type&quot; : {         &quot;type&quot; : &quot;string&quot;       },       &quot;isDomestic&quot; : {         &quot;type&quot; : &quot;boolean&quot;       },       &quot;name&quot; : {         &quot;type&quot; : &quot;string]&quot;       }     }   } ...&quot; did not equal &quot;...32&quot;       },       &quot;[name&quot; : {         &quot;type&quot; : &quot;string&quot;       },       &quot;type&quot; : {         &quot;type&quot; : &quot;string&quot;       },       &quot;isDomestic&quot; : {         &quot;type&quot; : &quot;boolean]&quot;       }     }   } ...&quot;",6
"&quot;{&quot;[ComplexModel&quot;:{&quot;properties&quot;:{&quot;name&quot;:{&quot;type&quot;:&quot;string&quot;},&quot;age&quot;:{&quot;type&quot;:&quot;integer&quot;,&quot;format&quot;:&quot;int32&quot;}}},&quot;NestedModel&quot;:{&quot;properties&quot;:{&quot;complexModel&quot;:{&quot;$ref&quot;:&quot;ComplexModel&quot;},&quot;localtime&quot;:{&quot;type&quot;:&quot;string&quot;,&quot;format&quot;:&quot;date-time]&quot;}}}}&quot; did not equal &quot;{&quot;[NestedModel&quot;:{&quot;properties&quot;:{&quot;complexModel&quot;:{&quot;$ref&quot;:&quot;ComplexModel&quot;},&quot;localtime&quot;:{&quot;type&quot;:&quot;string&quot;,&quot;format&quot;:&quot;date-time&quot;}}},&quot;ComplexModel&quot;:{&quot;properties&quot;:{&quot;name&quot;:{&quot;type&quot;:&quot;string&quot;},&quot;age&quot;:{&quot;type&quot;:&quot;integer&quot;,&quot;format&quot;:&quot;int32]&quot;}}}}&quot;",1
"&quot;...perties&quot; : {       &quot;[type&quot; : {         &quot;type&quot; : &quot;string&quot;       },       &quot;nam]e&quot; : {         &quot;type...&quot; did not equal &quot;...perties&quot; : {       &quot;[name&quot; : {         &quot;type&quot; : &quot;string&quot;       },       &quot;typ]e&quot; : {         &quot;type...&quot;",64
"&quot;...32&quot;       },       &quot;[type&quot; : {         &quot;type&quot; : &quot;string&quot;       },       &quot;nam]e&quot; : {         &quot;type...&quot; did not equal &quot;...32&quot;       },       &quot;[name&quot; : {         &quot;type&quot; : &quot;string&quot;       },       &quot;typ]e&quot; : {         &quot;type...&quot;",2
"&quot;...perties&quot; : {       &quot;[type&quot; : {         &quot;type&quot; : &quot;string&quot;       },       &quot;name&quot; : {         &quot;type&quot; : &quot;string&quot;,         &quot;description&quot; : &quot;The name of the human]&quot;       }     },    ...&quot; did not equal &quot;...perties&quot; : {       &quot;[name&quot; : {         &quot;type&quot; : &quot;string&quot;,         &quot;description&quot; : &quot;The name of the human&quot;       },       &quot;type&quot; : {         &quot;type&quot; : &quot;string]&quot;       }     },    ...&quot;",4
"&quot;...perties&quot; : {       &quot;[isDomestic&quot; : {         &quot;type&quot; : &quot;boolean&quot;       },       &quot;type&quot; : {         &quot;type&quot; : &quot;string&quot;       },       &quot;name&quot; : {         &quot;type&quot; : &quot;string]&quot;       }     }   } ...&quot; did not equal &quot;...perties&quot; : {       &quot;[name&quot; : {         &quot;type&quot; : &quot;string&quot;       },       &quot;type&quot; : {         &quot;type&quot; : &quot;string&quot;       },       &quot;isDomestic&quot; : {         &quot;type&quot; : &quot;boolean]&quot;       }     }   } ...&quot;",2
"&quot;...32&quot;       },       &quot;[isDomestic&quot; : {         &quot;type&quot; : &quot;boolean&quot;       },       &quot;type&quot; : {         &quot;type&quot; : &quot;string&quot;       },       &quot;name&quot; : {         &quot;type&quot; : &quot;string]&quot;       }     }   } ...&quot; did not equal &quot;...32&quot;       },       &quot;[name&quot; : {         &quot;type&quot; : &quot;string&quot;       },       &quot;type&quot; : {         &quot;type&quot; : &quot;string&quot;       },       &quot;isDomestic&quot; : {         &quot;type&quot; : &quot;boolean]&quot;       }     }   } ...&quot;",1
"&quot;...    &quot;required&quot; : [ &quot;[type&quot;, &quot;isDomestic&quot;, &quot;name&quot; ],     &quot;properties&quot; : {       &quot;type&quot; : {         &quot;type&quot; : &quot;string&quot;,         &quot;position&quot; : 1,         &quot;description&quot; : &quot;The pet type&quot;       },       &quot;isDomestic&quot; : {         &quot;type&quot; : &quot;boolean&quot;,         &quot;position&quot; : 3       },       &quot;name&quot; : {         &quot;type&quot; : &quot;string&quot;,         &quot;position&quot; : 2,         &quot;description&quot; : &quot;The name of the pet&quot;]       }     }   } }&quot; did not equal &quot;...    &quot;required&quot; : [ &quot;[name&quot;, &quot;type&quot;, &quot;isDomestic&quot; ],     &quot;properties&quot; : {       &quot;name&quot; : {         &quot;type&quot; : &quot;string&quot;,         &quot;position&quot; : 2,         &quot;description&quot; : &quot;The name of the pet&quot;       },       &quot;type&quot; : {         &quot;type&quot; : &quot;string&quot;,         &quot;position&quot; : 1,         &quot;description&quot; : &quot;The pet type&quot;       },       &quot;isDomestic&quot; : {         &quot;type&quot; : &quot;boolean&quot;,         &quot;position&quot; : 3]       }     }   } }&quot;",4
"&quot;...    &quot;required&quot; : [ &quot;[type&quot;, &quot;isDomestic&quot;, &quot;name&quot; ],     &quot;properties&quot; : {       &quot;clawCount&quot; : {         &quot;type&quot; : &quot;integer&quot;,         &quot;format&quot; : &quot;int32&quot;       },       &quot;type&quot; : {         &quot;type&quot; : &quot;string&quot;,         &quot;position&quot; : 1,         &quot;description&quot; : &quot;The pet type&quot;       },       &quot;isDomestic&quot; : {         &quot;type&quot; : &quot;boolean&quot;,         &quot;position&quot; : 3       },       &quot;name&quot; : {         &quot;type&quot; : &quot;string&quot;,         &quot;position&quot; : 2,         &quot;description&quot; : &quot;The name of the pet&quot;]       }     }   } }&quot; did not equal &quot;...    &quot;required&quot; : [ &quot;[name&quot;, &quot;type&quot;, &quot;isDomestic&quot; ],     &quot;properties&quot; : {       &quot;clawCount&quot; : {         &quot;type&quot; : &quot;integer&quot;,         &quot;format&quot; : &quot;int32&quot;       },       &quot;name&quot; : {         &quot;type&quot; : &quot;string&quot;,         &quot;position&quot; : 2,         &quot;description&quot; : &quot;The name of the pet&quot;       },       &quot;type&quot; : {         &quot;type&quot; : &quot;string&quot;,         &quot;position&quot; : 1,         &quot;description&quot; : &quot;The pet type&quot;       },       &quot;isDomestic&quot; : {         &quot;type&quot; : &quot;boolean&quot;,         &quot;position&quot; : 3]       }     }   } }&quot;",2
