id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,7aac89d7,FAIL,0,NO,0,NO,0,2011-07-28 19:12:15 -0700,first commit,0,0
1,c5bf510d,FAIL,0,NO,0,NO,0,2011-07-28 22:42:50 -0700,checked in first version,12,212
2,78729b7f,FAIL,0,NO,0,NO,0,2011-07-29 12:25:09 -0700,Updated reference to swagr to swagger,12,212
3,ebc64ed0,FAIL,0,NO,0,NO,0,2011-07-29 14:08:10 -0700,some cleanup,12,212
4,f86ff122,FAIL,0,NO,0,NO,0,2011-07-29 14:08:23 -0700,Merge branch 'master' of github.com:wordnik/swagger-core,12,212
5,a1c6f67b,FAIL,0,NO,0,NO,0,2011-07-30 21:14:52 -0700,Excluded HELP API from documentation.,12,212
6,3d72965d,FAIL,0,NO,0,NO,0,2011-07-31 01:08:34 -0700,Fixed issue with listing API,12,212
7,4f5298df,FAIL,0,NO,0,NO,0,2011-08-01 00:11:14 -0700,Added resource level security and also fixed issues with method level security.,12,213
8,5b552e00,FAIL,0,NO,0,NO,0,2011-08-01 12:13:49 -0700,Added rest resurce util class to swagger core,12,213
9,1dd036dc,FAIL,0,NO,0,NO,0,2011-08-01 15:09:48 -0700,Added list resource to core and few other minor fixes,12,212
10,ff0299c3,FAIL,0,NO,0,NO,0,2011-08-01 16:32:23 -0700,Made version numbers fixed instead of incrementing from ivy build number task,12,212
11,9eebef88,FAIL,0,NO,0,NO,0,2011-08-02 11:28:10 -0700,Add resource format to paths,12,212
12,95c90dfa,FAIL,0,NO,0,NO,0,2011-08-02 16:55:18 -0700,Fixed issues when auth filter class is not configured,12,212
13,168738fd,FAIL,0,NO,0,NO,0,2011-08-02 16:58:13 -0700,"updated params from web.xml, add SwaggerSpec.scala to hold static version of swagger spec rather than use web.xml",12,212
14,513d42ce,FAIL,0,NO,0,NO,0,2011-08-02 16:58:30 -0700,"updated params from web.xml, add SwaggerSpec.scala to hold static version of swagger spec rather than use web.xml",12,212
15,2b30ca9e,FAIL,0,NO,0,NO,0,2011-08-02 17:09:17 -0700,Merge branch 'master' of github.com:wordnik/swagger-core,12,212
16,857a2844,FAIL,0,NO,0,NO,0,2011-08-02 17:17:57 -0700,fixed SwaggerSpec version,12,212
17,fea96f3b,FAIL,0,NO,0,NO,0,2011-08-02 17:47:06 -0700,Merge branch 'master' of github.com:wordnik/swagger-core,12,212
18,b1f863c0,FAIL,0,NO,0,NO,0,2011-08-02 17:48:52 -0700,added license info,12,212
19,f0e80554,FAIL,0,NO,0,NO,0,2011-08-02 18:01:37 -0700,fixed comment,12,212
20,41eebf96,FAIL,0,NO,0,NO,0,2011-08-02 19:25:34 -0700,renamed,12,212
21,949ef6a2,FAIL,0,NO,0,NO,0,2011-08-02 19:25:44 -0700,cleaned up ignore file,12,212
22,789e030e,FAIL,0,NO,0,NO,0,2011-08-02 19:25:52 -0700,removed lib folder,12,212
