id,commit,n_test,n_success,n_failures,n_errors,n_skipped,n_days
0,7aac89d7,0,0,0,0,0,3625
1,c5bf510d,0,0,0,0,0,3625
2,78729b7f,0,0,0,0,0,3624
3,ebc64ed0,0,0,0,0,0,3624
4,f86ff122,0,0,0,0,0,3624
5,a1c6f67b,0,0,0,0,0,3623
6,3d72965d,0,0,0,0,0,3622
7,4f5298df,0,0,0,0,0,3621
8,5b552e00,0,0,0,0,0,3621
9,1dd036dc,0,0,0,0,0,3621
10,ff0299c3,0,0,0,0,0,3621
11,9eebef88,0,0,0,0,0,3620
12,95c90dfa,0,0,0,0,0,3620
13,168738fd,0,0,0,0,0,3620
14,513d42ce,0,0,0,0,0,3620
15,2b30ca9e,0,0,0,0,0,3620
16,857a2844,0,0,0,0,0,3620
17,fea96f3b,0,0,0,0,0,3620
18,b1f863c0,0,0,0,0,0,3620
19,f0e80554,0,0,0,0,0,3620
20,41eebf96,0,0,0,0,0,3620
21,949ef6a2,0,0,0,0,0,3620
22,789e030e,0,0,0,0,0,3620
23,3be09e53,0,0,0,0,0,3620
24,6df8fc25,0,0,0,0,0,3620
25,0a214e41,0,0,0,0,0,3620
26,0db09084,0,0,0,0,0,3620
27,d71f8eed,0,0,0,0,0,3620
28,4c95cade,0,0,0,0,0,3620
29,87b186bd,0,0,0,0,0,3619
30,a3c95fa2,0,0,0,0,0,3618
31,dcfa83a2,0,0,0,0,0,3618
32,4a504b78,0,0,0,0,0,3618
33,6c880d87,0,0,0,0,0,3617
34,34a36bdf,0,0,0,0,0,3613
35,1e2e0f04,0,0,0,0,0,3597
36,d271c01a,0,0,0,0,0,3596
37,69c33acc,0,0,0,0,0,3595
38,23b774c6,0,0,0,0,0,3591
39,6b16dbb0,0,0,0,0,0,3591
40,99f6d4e9,0,0,0,0,0,3570
41,7ece32d4,0,0,0,0,0,3570
42,b6618f9b,0,0,0,0,0,3570
43,d6b3cf7d,0,0,0,0,0,3570
44,bc13f8c6,0,0,0,0,0,3560
45,9dcb0e61,0,0,0,0,0,3558
46,0e5bcef2,0,0,0,0,0,3552
47,9d0fcf70,0,0,0,0,0,3552
48,446bf3f5,0,0,0,0,0,3552
49,8ba74ccc,0,0,0,0,0,3545
50,487afeb8,0,0,0,0,0,3545
51,35f97d98,0,0,0,0,0,3545
52,53b4974b,0,0,0,0,0,3545
53,71a56f22,0,0,0,0,0,3545
54,51191407,0,0,0,0,0,3544
55,fdc06296,0,0,0,0,0,3544
56,47bfafc8,0,0,0,0,0,3544
57,355d9559,0,0,0,0,0,3543
58,dd07a51c,0,0,0,0,0,3543
59,ff9b58fa,0,0,0,0,0,3542
60,f93ee923,0,0,0,0,0,3542
61,649e14d2,0,0,0,0,0,3541
62,99315e35,0,0,0,0,0,3541
63,eb47f4c2,0,0,0,0,0,3540
64,fa1982f7,0,0,0,0,0,3535
65,57849878,0,0,0,0,0,3535
66,4ee3d871,0,0,0,0,0,3534
67,2e96428c,0,0,0,0,0,3534
