id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,5779f746,FAIL,0,NO,0,NO,0,2004-12-30 06:56:21 +0000,First cut at extracting Tiles and taglibs into their own subprojects. I'm committing this now to solicit feedback and ensure it doesn't get too far out-of-sync with Struts development.,63,3602
1,4569ae22,FAIL,0,NO,0,NO,0,2005-01-03 14:20:03 +0000,"basic Maven project file; compiles, hasn't received much more thought -- esp. to the 'developers' list -- feel free to add yourself if you want to be included.",63,3602
2,e998de6b,FAIL,0,NO,0,NO,0,2005-01-03 14:21:12 +0000,Add 'target' to svn:ignore property.,63,3602
3,2999d934,FAIL,0,NO,0,NO,0,2005-01-17 04:12:41 +0000,git-svn-id: https://svn.apache.org/repos/asf/struts/tiles/trunk@125390 13f79535-47bb-0310-9956-ffa450edef68,63,3602
4,353262d1,FAIL,0,NO,0,NO,0,2005-01-17 04:14:27 +0000,move tiles docs over to tiles,63,3602
5,9c556f28,FAIL,0,NO,0,NO,0,2005-01-17 04:32:46 +0000,move tiles docs to tiles,95,5192
6,8ebea760,FAIL,0,NO,0,NO,0,2005-01-17 04:48:50 +0000,move test to version we are keeping,95,5192
7,599b3a76,FAIL,0,NO,0,NO,0,2005-01-17 04:55:26 +0000,remove duplicates,95,5192
8,b9b410ad,FAIL,0,NO,0,NO,0,2005-01-19 22:21:34 +0000,fix taglib imports and pom,95,5192
9,aa1872be,FAIL,0,NO,0,NO,0,2005-01-20 02:05:26 +0000,fix tiles-documentation reference to the removed digester package and clean up build,95,5158
10,bfa09e22,FAIL,0,NO,0,NO,0,2005-01-20 02:19:51 +0000,add clean target,95,5158
11,5b5a2243,FAIL,0,NO,0,NO,0,2005-01-20 02:57:21 +0000,fix reference to struts jar,95,5158
12,d8d5d77e,FAIL,0,NO,0,NO,0,2005-01-31 03:29:49 +0000,touch up the tiles build,95,5158
13,60830b04,FAIL,0,NO,0,NO,0,2005-02-03 13:07:52 +0000,increase visibility of a few methods in I18nFactorySet - reported by Cris Daniluk - bugzilla ticket 33380,95,5158
14,08abff65,FAIL,0,NO,0,NO,0,2005-02-04 14:41:35 +0000,correct order of test to see if configured RequestProcessor class is same as or a subclass of ComposableRequestProcessor.,95,5158
15,6b74b8a7,FAIL,0,NO,0,NO,0,2005-02-04 14:45:56 +0000,do an include (instead of forward) in the case where the response is already committed. Thanks to Wolfgang Gehner for the suggestion.,95,5158
16,bc8d19b1,FAIL,0,NO,0,NO,0,2005-02-05 14:18:21 +0000,initial project.properties -- copied from core,95,5158
17,92e97a68,FAIL,0,NO,0,NO,0,2005-02-05 14:47:15 +0000,"update maven.xml, copy base files so that TLD is generated and included in jar output",95,5158
18,5371aed2,FAIL,0,NO,0,NO,0,2005-02-07 00:48:08 +0000,bring TLD generation to tiles subproject; correct class names for tag classes in XML file,95,5158
19,d6f2e769,FAIL,0,NO,0,NO,0,2005-02-11 03:53:29 +0000,"Adjust to coordinate with changes in struts-core where the context passed into the chain is an ActionContext, not a ServletWebContext.",95,5159
20,fd5653f6,FAIL,0,NO,0,NO,0,2005-02-17 03:55:25 +0000,remove copied items that don't apply to tiles,95,5159
21,53d2b751,FAIL,0,NO,0,NO,0,2005-02-17 04:09:40 +0000,"correct logo location, install the newly build jar",95,5159
22,32234510,FAIL,0,NO,0,NO,0,2005-02-19 19:14:20 +0000,Remove command properties which are not used now that ActionContext is used.,95,5145
23,17e03288,FAIL,0,NO,0,NO,0,2005-02-21 21:51:02 +0000,Adding 'build' to subprojects.,95,5145
24,c7dbaa84,FAIL,0,NO,0,NO,0,2005-02-23 22:24:21 +0000,move duplicates to core/build-legacy/tiles,95,5145
25,1fae848d,FAIL,0,NO,0,NO,0,2005-02-24 01:48:01 +0000,bring tiles pom inline with the current build,95,5145
26,40712124,FAIL,0,NO,0,NO,0,2005-02-24 01:54:06 +0000,add xdocs for tiles specific documentation,95,5145
27,20b8612f,FAIL,0,NO,0,NO,0,2005-02-24 04:17:50 +0000,"add license, add new reference to mock objects jar",95,5145
28,9852206e,FAIL,0,NO,0,NO,0,2005-02-24 17:57:48 +0000,update struts url for required dependencies,95,5145
29,3e71d096,FAIL,0,NO,0,NO,0,2005-02-26 13:55:27 +0000,this doesn't need to be part of any .war,95,5145
30,41311c3d,FAIL,0,NO,0,NO,0,2005-02-28 21:21:34 +0000,mock is now inside struts-core,95,5145
31,5b71d155,FAIL,0,NO,0,NO,0,2005-03-02 03:04:28 +0000,restore TLD transform,95,5145
