error,count
"(JE 4.0.92) Lock expired. Locker 1693686046 263_main_Txn: waited for lock on database=_jeNameMap LockAddr:904300960 node=10 type=WRITE grant=WAIT_PROMOTION timeoutMillis=500 startTime=1626821429216 endTime=1626821429717 Owners: [&lt;LockInfo locker=&quot;1005949213 -1_main_BasicLocker&quot; type=&quot;READ&quot;/&gt;, &lt;LockInfo locker=&quot;1693686046 263_main_Txn&quot; type=&quot;READ&quot;/&gt;] Waiters: [] Transaction 1693686046 263_main_Txn owns LockAddr:904300960 &lt;LockInfo locker=&quot;1693686046 263_main_Txn&quot; type=&quot;READ&quot;/&gt; Transaction 1693686046 263_main_Txn waits for LockAddr:904300960 ",1
"(JE 4.0.92) Lock expired. Locker 1492291772 263_main_Txn: waited for lock on database=_jeNameMap LockAddr:1793335880 node=10 type=WRITE grant=WAIT_PROMOTION timeoutMillis=500 startTime=1626825328122 endTime=1626825328622 Owners: [&lt;LockInfo locker=&quot;1492291772 263_main_Txn&quot; type=&quot;READ&quot;/&gt;, &lt;LockInfo locker=&quot;217679065 -1_main_BasicLocker&quot; type=&quot;READ&quot;/&gt;] Waiters: [] Transaction 1492291772 263_main_Txn owns LockAddr:1793335880 &lt;LockInfo locker=&quot;1492291772 263_main_Txn&quot; type=&quot;READ&quot;/&gt; Transaction 1492291772 263_main_Txn waits for LockAddr:1793335880 ",1
"(JE 4.0.92) Lock expired. Locker 651431031 9_main_Txn: waited for lock on database=_jeNameMap LockAddr:1686232293 node=10 type=WRITE grant=WAIT_PROMOTION timeoutMillis=500 startTime=1626826852282 endTime=1626826852782 Owners: [&lt;LockInfo locker=&quot;651431031 9_main_Txn&quot; type=&quot;READ&quot;/&gt;, &lt;LockInfo locker=&quot;344410717 -1_main_BasicLocker&quot; type=&quot;READ&quot;/&gt;] Waiters: [] Transaction 651431031 9_main_Txn owns LockAddr:1686232293 &lt;LockInfo locker=&quot;651431031 9_main_Txn&quot; type=&quot;READ&quot;/&gt; Transaction 651431031 9_main_Txn waits for LockAddr:1686232293 ",1
"(JE 4.0.92) Lock expired. Locker 600296216 10_main_Txn: waited for lock on database=_jeNameMap LockAddr:1686232293 node=10 type=WRITE grant=WAIT_PROMOTION timeoutMillis=500 startTime=1626826852786 endTime=1626826853286 Owners: [&lt;LockInfo locker=&quot;600296216 10_main_Txn&quot; type=&quot;READ&quot;/&gt;, &lt;LockInfo locker=&quot;344410717 -1_main_BasicLocker&quot; type=&quot;READ&quot;/&gt;] Waiters: [] Transaction 600296216 10_main_Txn owns LockAddr:1686232293 &lt;LockInfo locker=&quot;600296216 10_main_Txn&quot; type=&quot;READ&quot;/&gt; Transaction 600296216 10_main_Txn waits for LockAddr:1686232293 ",1
"(JE 4.0.92) Lock expired. Locker 1043154163 11_main_Txn: waited for lock on database=_jeNameMap LockAddr:1686232293 node=10 type=WRITE grant=WAIT_PROMOTION timeoutMillis=500 startTime=1626826853288 endTime=1626826853788 Owners: [&lt;LockInfo locker=&quot;1043154163 11_main_Txn&quot; type=&quot;READ&quot;/&gt;, &lt;LockInfo locker=&quot;344410717 -1_main_BasicLocker&quot; type=&quot;READ&quot;/&gt;] Waiters: [] Transaction 1043154163 11_main_Txn owns LockAddr:1686232293 &lt;LockInfo locker=&quot;1043154163 11_main_Txn&quot; type=&quot;READ&quot;/&gt; Transaction 1043154163 11_main_Txn waits for LockAddr:1686232293 ",1
"(JE 4.0.92) Lock expired. Locker 1444776174 12_main_Txn: waited for lock on database=_jeNameMap LockAddr:1686232293 node=10 type=WRITE grant=WAIT_PROMOTION timeoutMillis=500 startTime=1626826853790 endTime=1626826854290 Owners: [&lt;LockInfo locker=&quot;1444776174 12_main_Txn&quot; type=&quot;READ&quot;/&gt;, &lt;LockInfo locker=&quot;344410717 -1_main_BasicLocker&quot; type=&quot;READ&quot;/&gt;] Waiters: [] Transaction 1444776174 12_main_Txn owns LockAddr:1686232293 &lt;LockInfo locker=&quot;1444776174 12_main_Txn&quot; type=&quot;READ&quot;/&gt; Transaction 1444776174 12_main_Txn waits for LockAddr:1686232293 ",1
"(JE 4.0.92) Lock expired. Locker 2119759511 13_main_Txn: waited for lock on database=_jeNameMap LockAddr:1686232293 node=10 type=WRITE grant=WAIT_PROMOTION timeoutMillis=500 startTime=1626826854293 endTime=1626826854793 Owners: [&lt;LockInfo locker=&quot;2119759511 13_main_Txn&quot; type=&quot;READ&quot;/&gt;, &lt;LockInfo locker=&quot;344410717 -1_main_BasicLocker&quot; type=&quot;READ&quot;/&gt;] Waiters: [] Transaction 2119759511 13_main_Txn owns LockAddr:1686232293 &lt;LockInfo locker=&quot;2119759511 13_main_Txn&quot; type=&quot;READ&quot;/&gt; Transaction 2119759511 13_main_Txn waits for LockAddr:1686232293 ",1
java.lang.reflect.InvocationTargetException,1
"(JE 4.0.92) Lock expired. Locker 625088521 263_main_Txn: waited for lock on database=_jeNameMap LockAddr:1791604331 node=10 type=WRITE grant=WAIT_PROMOTION timeoutMillis=500 startTime=1626828151157 endTime=1626828151657 Owners: [&lt;LockInfo locker=&quot;1898324000 -1_main_BasicLocker&quot; type=&quot;READ&quot;/&gt;, &lt;LockInfo locker=&quot;625088521 263_main_Txn&quot; type=&quot;READ&quot;/&gt;] Waiters: [] Transaction 625088521 263_main_Txn owns LockAddr:1791604331 &lt;LockInfo locker=&quot;625088521 263_main_Txn&quot; type=&quot;READ&quot;/&gt; Transaction 625088521 263_main_Txn waits for LockAddr:1791604331 ",1
"(JE 5.0.73) Lock expired. Locker 1999583807 270_main_Txn: waited for lock on database=_jeNameMap LockAddr:1017793925 LSN=0x0/0x4f9 type=WRITE grant=WAIT_PROMOTION timeoutMillis=500 startTime=1626839692198 endTime=1626839692698 Owners: [&lt;LockInfo locker=&quot;1364230185 -1_main_HandleLocker&quot; type=&quot;READ&quot;/&gt;, &lt;LockInfo locker=&quot;1999583807 270_main_Txn&quot; type=&quot;READ&quot;/&gt;] Waiters: [] Transaction 1999583807 270_main_Txn owns LockAddr:1017793925 &lt;LockInfo locker=&quot;1999583807 270_main_Txn&quot; type=&quot;READ&quot;/&gt; Transaction 1999583807 270_main_Txn waits for LockAddr:1017793925 ",1
"(JE 5.0.73) Lock expired. Locker 728451196 279_main_Txn: waited for lock on database=_jeNameMap LockAddr:1017793925 LSN=0x0/0x4f9 type=WRITE grant=WAIT_PROMOTION timeoutMillis=500 startTime=1626839692713 endTime=1626839693213 Owners: [&lt;LockInfo locker=&quot;728451196 279_main_Txn&quot; type=&quot;READ&quot;/&gt;, &lt;LockInfo locker=&quot;1364230185 -1_main_HandleLocker&quot; type=&quot;READ&quot;/&gt;] Waiters: [] Transaction 728451196 279_main_Txn owns LockAddr:1017793925 &lt;LockInfo locker=&quot;728451196 279_main_Txn&quot; type=&quot;READ&quot;/&gt; Transaction 728451196 279_main_Txn waits for LockAddr:1017793925 ",1
"(JE 5.0.73) Lock expired. Locker 519879168 290_main_Txn: waited for lock on database=_jeNameMap LockAddr:1017793925 LSN=0x0/0x4f9 type=WRITE grant=WAIT_PROMOTION timeoutMillis=500 startTime=1626839693263 endTime=1626839693763 Owners: [&lt;LockInfo locker=&quot;1452943019 -1_main_HandleLocker&quot; type=&quot;READ&quot;/&gt;, &lt;LockInfo locker=&quot;519879168 290_main_Txn&quot; type=&quot;READ&quot;/&gt;, &lt;LockInfo locker=&quot;1364230185 -1_main_HandleLocker&quot; type=&quot;READ&quot;/&gt;] Waiters: [] Transaction 519879168 290_main_Txn owns LockAddr:1017793925 &lt;LockInfo locker=&quot;519879168 290_main_Txn&quot; type=&quot;READ&quot;/&gt; Transaction 519879168 290_main_Txn waits for LockAddr:1017793925 ",1
