id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,39dbfe17,FAIL,0,NO,0,NO,0,2012-02-26 13:55:58 -0700,first commit.,0,0
1,aee77b8a,FAIL,0,NO,0,NO,0,2012-03-01 12:59:05 -0700,added gitignore.,0,0
2,767742e2,FAIL,20,NO,0,NO,0,2012-03-13 21:39:26 -0700,Initial import,356,17271
3,fefc3b28,FAIL,3,NO,0,NO,0,2012-03-15 11:22:54 -0600,updated naming conventions in blueprints implementation to be 'standard' as well as finalized appropriate variables.,356,17270
4,70a25a97,FAIL,0,NO,0,NO,0,2012-03-15 14:50:24 -0600,first commit,0,0
5,ebe524fd,SUCCESS,19,SUCCESS,5,SUCCESS,10,2012-03-15 15:01:54 -0600,first push with DegreeDistribution implemented.,2,52
6,461aacec,SUCCESS,5,SUCCESS,4,SUCCESS,4,2012-03-15 15:02:46 -0600,first push with DegreeDistribution implemented.,2,52
7,840a91cd,SUCCESS,5,SUCCESS,4,SUCCESS,5,2012-03-15 15:03:12 -0600,first push with DegreeDistribution implemented.,2,52
8,6ed77761,SUCCESS,5,SUCCESS,4,SUCCESS,5,2012-03-15 15:04:07 -0600,first push with DegreeDistribution implemented.,2,52
9,1fac4887,SUCCESS,4,SUCCESS,5,SUCCESS,4,2012-03-15 17:04:58 -0600,degree distribution as the runner of vertex and graph degrees.,4,156
10,533d6718,FAIL,3,NO,0,NO,0,2012-03-15 17:06:34 -0700,Complete re-write of Blueprints indexing scheme. Passing most blueprints tests.,359,17630
11,9e5ca960,FAIL,3,NO,0,NO,0,2012-03-15 17:15:14 -0700,Merge remote-tracking branch 'origin/master',359,17635
12,7f5e8fb8,FAIL,3,NO,0,NO,0,2012-03-15 17:17:14 -0700,Merging changes,359,17635
13,d4b68687,SUCCESS,8,SUCCESS,6,SUCCESS,4,2012-03-16 16:57:36 -0600,work on Faunus Writeables.,8,323
14,b1d1358b,FAIL,3,NO,0,NO,0,2012-03-17 01:24:19 -0700,Reworked transaction management and id handling to allow of id assignment on the fly and implement rolling commit correctly.,359,17713
15,42fa7699,SUCCESS,6,SUCCESS,5,SUCCESS,4,2012-03-21 02:08:08 -0600,more play.,10,454
16,e6fe1d8f,SUCCESS,6,SUCCESS,4,SUCCESS,5,2012-03-21 02:41:15 -0600,stubs.,12,458
17,c349a2ff,SUCCESS,6,SUCCESS,5,SUCCESS,5,2012-03-24 01:26:45 -0600,Added a reader and input format based on JSON. Playing around to get the reader working smoothly.,13,567
18,cdecf221,SUCCESS,6,SUCCESS,4,SUCCESS,4,2012-03-24 06:33:46 -0600,Added a reader and input format based on JSON. Playing around to get the reader working smoothly.,13,567
19,87f120d2,SUCCESS,6,SUCCESS,4,SUCCESS,4,2012-03-24 14:06:40 -0600,big push on input and output formats and first push on intial algebraic operations.,18,776
20,4b4641d2,FAIL,3,NO,0,NO,0,2012-03-27 00:24:39 -0600,more work on algebra -- traverse and transpose implemented. learning about job configurations.,19,797
21,92deed50,FAIL,3,NO,0,NO,0,2012-03-27 00:47:55 -0600,found out about WritableUtils.clone(). Remove self-created cloning code.,19,788
22,59cd3b8e,FAIL,3,NO,0,NO,0,2012-03-27 15:25:33 -0600,"updated Traverse to support dynamic label declarations and impelmented a cleaner, more efficient reduce-side join as learned from Ricky Ho.",19,815
23,ca3b6c37,FAIL,2,NO,0,NO,0,2012-03-27 21:31:03 -0600,added a TaggedHolder to allow for tag based reduce-side joins. Added RemoveProperties operation to remove properties from a vertex.,21,909
24,99e32dd7,SUCCESS,6,SUCCESS,5,SUCCESS,4,2012-03-27 21:31:48 -0600,added a TaggedHolder to allow for tag based reduce-side joins. Added RemoveProperties operation to remove properties from a vertex.,21,909
25,74a81cfc,SUCCESS,6,SUCCESS,4,SUCCESS,4,2012-03-28 10:50:35 -0600,started the test suite and added some features to holder.,24,1062
26,803c117f,SUCCESS,7,SUCCESS,7,SUCCESS,4,2012-03-28 13:45:10 -0600,making use of MRUnit now.,28,1157
27,408c3a16,SUCCESS,6,SUCCESS,4,SUCCESS,5,2012-03-28 14:25:11 -0600,added more MRUnit test cases.,30,1244
28,1978bbd7,SUCCESS,5,SUCCESS,5,SUCCESS,5,2012-03-28 16:57:58 -0600,Added RawComparator work for byte level comparison of objects.,32,1304
29,edf564db,SUCCESS,5,SUCCESS,5,SUCCESS,5,2012-03-28 17:22:54 -0600,more work on RawComparator,32,1344
30,8e8c233b,SUCCESS,5,SUCCESS,5,SUCCESS,5,2012-03-28 22:54:56 -0600,updated to support the proper usage of RawComparator.,32,1377
31,0eaa6ffa,SUCCESS,6,SUCCESS,4,SUCCESS,5,2012-03-28 23:39:53 -0600,smart use of byte buffers.,33,1442
32,c23bc63c,SUCCESS,6,SUCCESS,4,SUCCESS,5,2012-03-29 10:43:22 -0600,Added Counters and used them in the MRUnit test suite.,34,1501
33,ef6251f1,SUCCESS,4,SUCCESS,5,SUCCESS,4,2012-03-30 10:16:21 -0600,removed old drivers.,30,1297
