id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,6d866082,FAIL,14,NO,0,NO,0,2007-06-20 16:38:46 +0000,git-svn-id: http://yusuke.homeip.net/svn/twitter4j/trunk@2 117b7e0d-5933-0410-9d29-ab41bb01d86b,25,1442
1,653d7cb3,FAIL,4,NO,0,NO,0,2007-06-21 02:33:26 +0000,fix for TFJ-2:Twitter#getUserDetail() throws NullPointerException http://yusuke.homeip.net/jira/browse/TFJ-2,25,1541
2,d931dec6,FAIL,3,NO,0,NO,0,2007-06-21 02:39:14 +0000,TestCase should be located test directory,25,1541
3,cc91513d,FAIL,3,NO,0,NO,0,2007-06-21 02:55:50 +0000,some cosmetic fix,25,1541
4,63596523,FAIL,3,NO,0,NO,0,2007-06-21 14:43:50 +0000,http://yusuke.homeip.net/jira/browse/TFJ-3,25,1551
5,4580b03c,FAIL,3,NO,0,NO,0,2007-06-21 14:58:43 +0000,adding Twitter response samples,25,1551
6,ca99c76c,FAIL,3,NO,0,NO,0,2007-06-21 15:18:38 +0000,fix for TFJ-4 http://yusuke.homeip.net/jira/browse/TFJ-4,25,1565
7,a6cbf76e,FAIL,4,NO,0,NO,0,2007-06-22 07:29:24 +0000,fix for TFJ-6 http://yusuke.homeip.net/jira/browse/TFJ-6,25,1563
8,25f8a7f5,FAIL,3,NO,0,NO,0,2007-06-22 08:18:39 +0000,fix for TFJ-6 http://yusuke.homeip.net/jira/browse/TFJ-6,25,1576
9,14614fe2,FAIL,3,NO,0,NO,0,2007-06-22 15:02:49 +0000,fix for TFJ-5 http://yusuke.homeip.net/jira/browse/TFJ-5,25,1580
10,af64430c,FAIL,3,NO,0,NO,0,2007-06-22 15:03:34 +0000,git-svn-id: http://yusuke.homeip.net/svn/twitter4j/trunk@18 117b7e0d-5933-0410-9d29-ab41bb01d86b,25,1580
11,a7316ebc,FAIL,3,NO,0,NO,0,2007-06-22 15:04:36 +0000,fix for TFJ-5 http://yusuke.homeip.net/jira/browse/TFJ-5,25,1580
12,8c915f60,FAIL,3,NO,0,NO,0,2007-06-22 15:46:02 +0000,fix for TFJ-1 http://yusuke.homeip.net/jira/browse/TFJ-1,25,1597
13,4c5f91df,FAIL,2,NO,0,NO,0,2007-06-22 15:59:03 +0000,git-svn-id: http://yusuke.homeip.net/svn/twitter4j/trunk@21 117b7e0d-5933-0410-9d29-ab41bb01d86b,25,1597
14,8543aa21,FAIL,3,NO,0,NO,0,2007-06-22 15:59:47 +0000,git-svn-id: http://yusuke.homeip.net/svn/twitter4j/trunk@22 117b7e0d-5933-0410-9d29-ab41bb01d86b,25,1597
15,8409335b,FAIL,3,NO,0,NO,0,2007-06-22 16:00:36 +0000,git-svn-id: http://yusuke.homeip.net/svn/twitter4j/trunk@23 117b7e0d-5933-0410-9d29-ab41bb01d86b,25,1597
16,681a591f,FAIL,3,NO,0,NO,0,2007-06-23 14:32:43 +0000,git-svn-id: http://yusuke.homeip.net/svn/twitter4j/trunk@24 117b7e0d-5933-0410-9d29-ab41bb01d86b,25,1597
17,05ede772,FAIL,4,NO,0,NO,0,2007-06-23 15:23:29 +0000,"added ""release"" target",25,1597
18,e95511b2,FAIL,3,NO,0,NO,0,2007-06-23 15:28:23 +0000,"added ""clean"" target",25,1597
19,16738021,FAIL,4,NO,0,NO,0,2007-06-24 14:23:24 +0000,changed the version from 1.0.0 to 1.0.1,25,1597
20,5ac79eef,FAIL,3,NO,0,NO,0,2007-06-24 14:38:31 +0000,comitting initial version,25,1597
21,16a28ab9,FAIL,3,NO,0,NO,0,2007-06-24 15:02:54 +0000,now release target copies the doc directory,25,1597
22,1c118a7a,FAIL,3,NO,0,NO,0,2007-06-24 15:24:41 +0000,explicitly declaring the Locale of JavaDoc task as en_US,25,1597
23,80973ad5,FAIL,4,NO,0,NO,0,2007-06-25 07:43:28 +0000,git-svn-id: http://yusuke.homeip.net/svn/twitter4j/trunk@35 117b7e0d-5933-0410-9d29-ab41bb01d86b,25,1597
24,7bdc47c5,FAIL,4,NO,0,NO,0,2007-06-25 08:00:35 +0000,comitting htmls for version 1.0.1,25,1597
25,48b5da23,FAIL,4,NO,0,NO,0,2007-06-25 15:12:15 +0000,some cosmetic fixes and added the section for the svn repository,25,1597
26,ef63d234,FAIL,3,NO,0,NO,0,2007-07-10 01:09:53 +0000,fix for TFJ-9 removed Commons-Codec dependency.,25,1596
27,dc309287,FAIL,3,NO,0,NO,0,2007-07-16 02:55:03 +0000,"fix for TFJ-10 code for supporting ""sender"" and ""recipient"" elements in direct messages.",25,1620
28,0d239f5a,FAIL,3,NO,0,NO,0,2007-07-16 03:16:20 +0000,"fix for TFJ-11 supported ""sent"" API",25,1660
29,88a1216d,FAIL,4,NO,0,NO,0,2007-07-16 04:02:57 +0000,fix for TFJ-14 deprecated getPublicTimeline(java.lang.String sinceID) added getPublicTimeline(int sinceID),25,1670
30,0331ba11,FAIL,3,NO,0,NO,0,2007-07-16 05:08:42 +0000,"fix for TFJ-12 -added following methods to Twitter class     public final synchronized List<Status> getFriendsTimelineByPage(int page)     public final synchronized List<Status> getFriendsTimelineByPage(String id,int page)     public final synchronized List<Status> getRepliesByPage(int page)     public final synchronized List<DirectMessage> getDirectMessagesByPage(int page)",25,1720
31,3702f19a,FAIL,3,NO,0,NO,0,2007-07-16 05:22:23 +0000,"code for TFJ-8 : ability to set ""source"" parameter and request headers",25,1730
32,66f5829a,FAIL,4,NO,0,NO,0,2007-07-16 05:24:27 +0000,changed version string for release 1.0.2,25,1730
33,0371cb0d,FAIL,4,NO,0,NO,0,2007-07-16 06:01:52 +0000,changed version string for release 1.0.2,25,1730
34,acc02304,FAIL,3,NO,0,NO,0,2008-01-19 06:59:46 +0000,fixed TFJ-16 support for follow / leave methods,25,1789
35,10d6e27a,FAIL,4,NO,0,NO,0,2008-01-19 12:24:40 +0000,"fixed TFJ-17 ability to specify ""page"" to getFriends() method",25,1806
36,022945bd,FAIL,3,NO,0,NO,0,2008-01-19 13:16:49 +0000,fixed TFJ-18 support for Account Methods,25,1834
37,d0cdca66,FAIL,3,NO,0,NO,0,2008-01-19 14:46:47 +0000,fixed TFJ-19 support for favorite methods,25,1904
38,31eaf60b,FAIL,3,NO,0,NO,0,2008-01-19 15:16:34 +0000,releasing Twitter4j 1.0.3,25,1904
39,ef63ca8d,FAIL,3,NO,0,NO,0,2008-05-01 17:52:01 +0000,fix for TFJ-23,25,1904
40,1d948784,FAIL,5,NO,0,NO,0,2008-05-07 01:50:29 +0000,fix for TFJ-22,25,1904
41,b26007a8,FAIL,3,NO,0,NO,0,2008-05-07 02:59:31 +0000,fix for TFJ-25,25,1928
42,7c1a65a3,FAIL,4,NO,0,NO,0,2008-05-07 15:56:32 +0000,fix for TFJ-21,25,1949
43,0f5ea235,FAIL,3,NO,0,NO,0,2008-05-07 16:09:09 +0000,fix for TFJ-21,25,1946
44,decfad92,FAIL,4,NO,0,NO,0,2008-05-30 15:11:38 +0000,TFJ-21,25,1928
45,59f1dc46,FAIL,3,NO,0,NO,0,2008-05-30 16:32:31 +0000,some refactor and javadoc updates,25,1932
46,d0f9b847,FAIL,4,NO,0,NO,0,2008-05-30 17:08:32 +0000,TFJ-26 : added debugging feature now user can add -Dtwitter4j.debug=true to dump request and response to the standard output,25,1946
47,dc5dd0bc,FAIL,3,NO,0,NO,0,2008-05-30 17:10:02 +0000,TFJ-21 post method was wrongly used.,25,1951
48,3cf55dc0,FAIL,4,NO,0,NO,0,2008-05-31 13:54:10 +0000,"some javadoc updates fix for TFJ-27 add ""source"", ""truncated"", ""in_reply_to_status_id"", ""in_reply_to_user_id"", ""favorited"" to Status, ""followers_count"" to User",25,1972
49,9fe21b8f,FAIL,3,NO,0,NO,0,2008-05-31 15:29:36 +0000,fix for TFJ-24 added updateLocation and updateDeliverlyDevice,25,2000
50,8ff9df01,FAIL,2,NO,0,NO,0,2008-05-31 16:45:18 +0000,"fix for TFJ-24 : support new APIs introduced on April 29th, 2008 block() / unblock() / test() / getDowntimeSchedule()",24,2057
51,9cce2502,FAIL,3,NO,0,NO,0,2008-05-31 17:27:05 +0000,git-svn-id: http://yusuke.homeip.net/svn/twitter4j/trunk@88 117b7e0d-5933-0410-9d29-ab41bb01d86b,24,2057
52,5f03599a,FAIL,3,NO,0,NO,0,2008-05-31 17:32:19 +0000,javadoc updates,24,2057
53,42bb1215,FAIL,3,NO,0,NO,0,2008-06-03 02:05:08 +0000,"TFJ-29 groupid must be ""net.homeip.yusuke"" instead of ""yusuke.homeip.net""",24,2057
