id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,ab2e33a1,FAIL,0,NO,0,NO,0,2000-09-30 17:03:07 +0000,New repository initialized by cvs2svn.,0,0
1,79f425eb,FAIL,0,NO,0,NO,0,2000-09-30 17:03:07 +0000,Initial revision,26,1155
2,34c600be,FAIL,0,NO,0,NO,0,2000-09-30 17:07:59 +0000,- WebContext not used. PR: Obtained from: Submitted by: Reviewed by:,25,1147
3,e533cc38,FAIL,0,NO,0,NO,0,2000-09-30 17:36:10 +0000,- routine edits. PR: Obtained from: Submitted by: Reviewed by:,25,1147
4,7e8ffdab,FAIL,0,NO,0,NO,0,2000-09-30 17:51:47 +0000,- placeholder for user's guide. PR: Obtained from: Submitted by: Reviewed by:,25,1147
5,105b9485,FAIL,0,NO,0,NO,0,2000-09-30 17:55:27 +0000,- placeholder for developer's guide. PR: Obtained from: Submitted by: Reviewed by:,25,1147
6,21427d20,FAIL,0,NO,0,NO,0,2000-09-30 19:49:51 +0000,- finally cleaned up the set directive. PR: Obtained from: Submitted by: Reviewed by:,25,1091
7,d44e00cd,FAIL,0,NO,0,NO,0,2000-09-30 19:50:33 +0000,- cleaned up the ASTReference node so that the set directive could   use it's features instead of duplicating the code itself. PR: Obtained from: Submitted by: Reviewed by:,25,1091
8,c6650672,FAIL,0,NO,0,NO,0,2000-09-30 20:11:47 +0000,Edits. PR from: Submitted by: Reviewed by:,25,1091
9,25d166f3,FAIL,0,NO,0,NO,0,2000-09-30 22:21:05 +0000,- cleaning out old processor code. PR: Obtained from: Submitted by: Reviewed by:,25,1091
10,a160a928,FAIL,0,NO,0,NO,0,2000-09-30 22:34:00 +0000,- optionally defer the initialization of the template loader so   that an external system can set the template.path. In this   case so that turbine can set the template.path as specified   in the TR.props. PR: Obtained from: Submitted by: Reviewed by:,25,1095
11,6c5fb998,FAIL,0,NO,0,NO,0,2000-09-30 22:34:49 +0000,"- don't init() the template loader when instantiating, because   the template.path might need to be set by an external mechanism. PR: Obtained from: Submitted by: Reviewed by:",25,1094
12,f4f9c881,FAIL,0,NO,0,NO,0,2000-09-30 22:35:11 +0000,- added some logging to the init(). PR: Obtained from: Submitted by: Reviewed by:,25,1095
13,f45ddf4f,FAIL,0,NO,0,NO,0,2000-09-30 22:58:14 +0000,- update for velocity service in turbine. PR: Obtained from: Submitted by: Reviewed by:,25,1095
14,3c37ac3f,FAIL,0,NO,0,NO,0,2000-10-01 23:33:07 +0000,- use xml-fop package to create a PDF of the velocity documentation.,25,1095
15,3a631ada,FAIL,0,NO,0,NO,0,2000-10-02 00:42:59 +0000,- changed title of PDF to Velocity.,25,1095
16,1dc40883,FAIL,0,NO,0,NO,0,2000-10-02 00:43:19 +0000,- added build target for pdf file. PR: Obtained from: Submitted by: Reviewed by:,25,1095
17,2f0c35cc,FAIL,0,NO,0,NO,0,2000-10-02 00:43:40 +0000,- added jars required for pdf build. PR: Obtained from: Submitted by: Reviewed by:,25,1095
18,422ca43b,FAIL,0,NO,0,NO,0,2000-10-02 00:45:08 +0000,"- add jars, and classes from xml-fop required for pdf build. PR: Obtained from: Submitted by: Reviewed by:",25,1095
19,f9ec6a86,FAIL,0,NO,0,NO,0,2000-10-02 00:45:43 +0000,- pdf created by xml-fop! PR: Obtained from: Submitted by: Reviewed by:,25,1095
20,dfa3626d,FAIL,0,NO,0,NO,0,2000-10-02 03:48:01 +0000,- using the JavaClass package to create a template compiler. there   is a trivial compiler that generates a valid class file. it only   _says_ it wants to be a template compiler :-) if you run the   resultant class that is. PR: Obtained from: Submitted by: Reviewed by:,26,1166
21,a2d5e3b2,FAIL,0,NO,0,NO,0,2000-10-02 17:37:42 +0000,- update .bat file to reflect the .sh script. should work for   windows now. PR: Obtained from: Submitted by: Reviewed by:,26,1166
22,a6cee96a,FAIL,0,NO,0,NO,0,2000-10-03 01:10:18 +0000,Edits.,26,1166
23,d7be04e9,FAIL,0,NO,0,NO,0,2000-10-03 17:01:53 +0000,- change all testbed templates to match new syntax. PR: Obtained from: Submitted by: Reviewed by:,26,1166
24,92f5caa2,FAIL,0,NO,0,NO,0,2000-10-03 17:03:17 +0000,- grammar modified for new directive syntax. place the set   directive back in the core. PR: Obtained from: Submitted by: Reviewed by:,26,1166
25,6e96cf8b,FAIL,0,NO,0,NO,0,2000-10-03 17:03:49 +0000,- update for new syntax. PR: Obtained from: Submitted by: Reviewed by:,26,1168
26,784cc005,FAIL,0,NO,0,NO,0,2000-10-03 17:05:45 +0000,- modified for new syntax. PR: Obtained from: Submitted by: Reviewed by:,25,1139
27,719f32f1,FAIL,0,NO,0,NO,0,2000-10-03 17:06:14 +0000,- added for new syntax. PR: Obtained from: Submitted by: Reviewed by:,25,1139
28,db047fb5,FAIL,0,NO,0,NO,0,2000-10-03 17:06:38 +0000,- added dummy directive for testing. PR: Obtained from: Submitted by: Reviewed by:,26,1150
29,6ac7bffb,FAIL,0,NO,0,NO,0,2000-10-03 17:08:01 +0000,- no longer need the number of args for a directive. PR: Obtained from: Submitted by: Reviewed by:,26,1147
30,f3bd390d,FAIL,0,NO,0,NO,0,2000-10-05 01:52:39 +0000,Edits. PR: Obtained from: Submitted by: Reviewed by:,26,1147
31,33643be3,FAIL,0,NO,0,NO,0,2000-10-05 02:07:24 +0000,edits PR: Obtained from: Submitted by: Reviewed by:,26,1147
