id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,647d1834,FAIL,0,NO,0,NO,0,2002-01-03 20:11:54 +0000,New repository initialized by cvs2svn.,0,0
1,ca5946f8,FAIL,0,NO,0,NO,0,2002-01-03 20:11:54 +0000,initial commit (test before the import) PR: Obtained from: Submitted by: Reviewed by:,0,0
2,c6950861,FAIL,0,NO,0,NO,0,2002-01-03 20:21:05 +0000,Initial revision,25,1132
3,74d9b49e,FAIL,0,NO,0,NO,0,2002-01-04 03:29:39 +0000,Removed te extra whitespace,25,1132
4,593a2cb7,FAIL,0,NO,0,NO,0,2002-01-06 14:22:55 +0000,Take care of most of the issues mentioned by Tim Colson.,25,1132
5,a8afac60,FAIL,0,NO,0,NO,0,2002-01-07 16:28:31 +0000,properly format code according to:,25,1134
6,cc3c597b,FAIL,0,NO,0,NO,0,2002-01-08 10:19:00 +0000,remove,25,1134
7,d4afe230,FAIL,0,NO,0,NO,0,2002-01-08 10:19:56 +0000,remove - working towards an upper leve lib for all to tshare,25,1134
8,d22aa35f,FAIL,0,NO,0,NO,0,2002-01-08 10:22:31 +0000,A little experimentation,25,1134
9,f89c0708,FAIL,0,NO,0,NO,0,2002-01-08 10:23:29 +0000,Making common library so we don't have to repeat,25,1134
10,838b6d51,FAIL,0,NO,0,NO,0,2002-01-08 10:24:33 +0000,Removing - will be in common upper level -tools project lib,25,1134
11,09fe5b11,FAIL,0,NO,0,NO,0,2002-01-08 10:31:02 +0000,One in a  common place,25,1134
12,25e1d9be,FAIL,0,NO,0,NO,0,2002-01-08 10:31:50 +0000,remove to keep one copy project-wide in common place,25,1134
13,3ad3582f,FAIL,0,NO,0,NO,0,2002-01-08 10:32:59 +0000,Moved site.dvsl to common one above,25,1134
14,0db30463,FAIL,0,NO,0,NO,0,2002-01-08 10:34:46 +0000,Moving to common central,25,1134
15,2709c469,FAIL,0,NO,0,NO,0,2002-01-08 10:35:17 +0000,for central use,25,1134
16,cd6d6080,FAIL,0,NO,0,NO,0,2002-01-08 10:36:18 +0000,Move to be central dvsl toolbox,25,1134
17,780a42e3,FAIL,0,NO,0,NO,0,2002-01-08 10:37:06 +0000,central dvsl toolbox,25,1134
18,b9c684a0,FAIL,0,NO,0,NO,0,2002-01-08 10:38:33 +0000,Update to bring into line.,25,1134
19,03c66120,FAIL,0,NO,0,NO,0,2002-01-09 11:12:41 +0000,Fixed line termination problems.,25,1134
20,8d199214,FAIL,0,NO,0,NO,0,2002-01-09 11:26:40 +0000,Fixed line termination problems and aligned source with coding conventions.,25,1132
21,5fd426b7,FAIL,0,NO,0,NO,0,2002-01-10 10:45:40 +0000,Updated and corrected the documentation.,25,1132
22,83f4b7e0,FAIL,0,NO,0,NO,0,2002-01-10 10:53:40 +0000,Updated build and run instructions.,25,1132
23,f8bf0f29,FAIL,0,NO,0,NO,0,2002-01-10 10:56:10 +0000,Updated doc,25,1132
24,985c9781,FAIL,0,NO,0,NO,0,2002-01-11 11:08:46 +0000,Fixed bug with pow() reported by Stephane Bailliey,25,1134
25,19fa471d,FAIL,0,NO,0,NO,0,2002-01-11 11:20:21 +0000,Updated example to reflect bug fix in MathTool.,25,1134
26,9955dbfc,FAIL,0,NO,0,NO,0,2002-01-12 07:28:30 +0000,Adjusted to coding conventions.,25,1151
27,a1929679,FAIL,0,NO,0,NO,0,2002-01-16 11:10:02 +0000,Updated struts application examples to latest Struts 1.0.1,25,1151
28,9fc62489,FAIL,0,NO,0,NO,0,2002-01-16 11:25:24 +0000,Removed outdated Struts from 'simple' example. It's not used here.,25,1151
29,78780ab4,FAIL,0,NO,0,NO,0,2002-01-16 12:03:48 +0000,Moved jakarta-servlet-api-4.jar from WEB-INF/lib to WEB-INF/build-lib so that it is not in the classpath during run time. Adjusted build.xml. This fixes the problem reported by Mark Whelan.,25,1151
30,5cffc27c,FAIL,0,NO,0,NO,0,2002-01-16 12:13:20 +0000,"Removed jakarta-servlet-api-4.jar. It's not needed here and may lead to problems with some servlet containers, as reported by Mark Whelan.",25,1151
31,d5686ca0,FAIL,0,NO,0,NO,0,2002-03-12 11:36:49 +0000,Checked in version 0.6 of velstruts tools. API was completely redesigned. Added reference documentation for the tools.,28,1169
32,f8ea01f3,FAIL,0,NO,0,NO,0,2002-03-12 11:40:05 +0000,Upgraded to DVSL 0.42.,28,1169
33,a2ac7f0d,FAIL,0,NO,0,NO,0,2002-03-12 11:41:14 +0000,Added site.dvsl for print version.,28,1169
34,e09153fa,FAIL,0,NO,0,NO,0,2002-03-12 11:41:44 +0000,Adapted README to latest changes.,28,1169
35,93f9d47d,FAIL,0,NO,0,NO,0,2002-03-12 11:50:28 +0000,Moved .tlds to the place where they belong.,28,1169
36,aa818e0d,FAIL,0,NO,0,NO,0,2002-03-12 12:07:18 +0000,Added documentation menu file.,28,1169
37,44f11d6b,FAIL,0,NO,0,NO,0,2002-03-12 12:15:05 +0000,Adapted example build.xml to latest changes.,28,1169
38,3191bd33,FAIL,0,NO,0,NO,0,2002-03-13 22:08:54 +0000,Patched several typos and little inefficiencies per feedback of Nathan Bubna.,28,1164
39,f1e9e53e,FAIL,0,NO,0,NO,0,2002-04-02 16:46:31 +0000,Redesigned view and struts packages. Added a lot of documentation. Upgraded to latest version of various third party software packages.,31,1264
40,39122fc9,FAIL,0,NO,0,NO,0,2002-04-02 17:48:05 +0000,Corrected @author tags in class header JavaDoc.,31,1264
41,61a3903e,FAIL,0,NO,0,NO,0,2002-04-02 18:37:59 +0000,Bumped the version number for addition of I18N view functionality.,31,1264
42,e7c0dc00,FAIL,0,NO,0,NO,0,2002-04-02 18:39:30 +0000,Noted addition of I18N support.,31,1264
43,e86b08bd,FAIL,0,NO,0,NO,0,2002-04-02 18:51:46 +0000,Allows for transparent content negotiation in a manner mimicking Apache httpd's MultiViews.  Example usage from a template would be something like the following:,32,1300
44,93e71e6f,FAIL,0,NO,0,NO,0,2002-04-03 09:10:03 +0000,"Added package tools. This is intended to host various reusable context tools. Currently hosted tools are DateTool, MathTool, RequestParser and ToolLoader. All tools are optimized to be used with an auto-loading toolbox manager and come with documentation for the template designers. A documentation snapshot is online at: http://www.teamup.com/jakarta-velocity-tools/docs/vellibrary.html",36,1545
45,d0472671,FAIL,0,NO,0,NO,0,2002-04-03 15:30:51 +0000,"Broadened interface of get(String key, ArrayList args) to get(String key, List args) to handle a wider variety of List implementations (it's not only Velocity code which may be calling this method).",36,1545
46,ef2a1ed0,FAIL,0,NO,0,NO,0,2002-04-03 15:47:25 +0000,"Updated documentation for get(String, List) interface change.",36,1545
47,7123ab8a,FAIL,0,NO,0,NO,0,2002-04-03 20:58:19 +0000,o Improve JavaDoc.,36,1547
48,aa601fc7,FAIL,0,NO,0,NO,0,2002-04-03 21:29:17 +0000,"o Renamed getInstance() back to init() to denote what the method does, and added a getInstance() method (temporarily) which does naught but call init() and return a reference to itself.",36,1551
49,ecce6d57,FAIL,0,NO,0,NO,0,2002-04-04 01:53:24 +0000,"Following suggestion from Gabriel Sidler <sidler@teamup.ch>, made this context tool thread-safe (and as a side effect, immutible).  Removed destroy() and renamd init() to a new ctor overload which takes a ViewContext parameter.",36,1548
50,82b81997,FAIL,0,NO,0,NO,0,2002-04-04 09:18:56 +0000,Change project names are discussed on list: VelTools => Velocity Tools VelServlet => VelocityServlet VelLibrary => VelocityLibrary VelStruts => VelocityStruts,36,1548
51,706e7698,FAIL,0,NO,0,NO,0,2002-04-04 13:05:56 +0000,Modified VelocityViewServlet to load configuration using method loadConfiguration of VelocityServlet. Adjusted examples.,36,1539
52,8bf7a478,FAIL,0,NO,0,NO,0,2002-04-09 10:54:32 +0000,"Fix to get rid of gump error ""cannot find docs dir""",36,1539
53,5719d5a4,FAIL,0,NO,0,NO,0,2002-04-15 09:43:12 +0000,Fixed clean target  (file not found error),36,1539
54,adbe5d10,FAIL,0,NO,0,NO,0,2002-04-15 10:40:57 +0000,Modified clean target to clean JAR as well,36,1539
55,3cae32a7,FAIL,0,NO,0,NO,0,2002-04-15 10:41:36 +0000,Modified clean target to clean clean.l,36,1539
56,7fb1c839,FAIL,0,NO,0,NO,0,2002-04-15 10:45:32 +0000,Modified VelStruts LinkTool such that it encodes the session ID into the returned URL if cookies are not supported by the web client.,36,1549
57,65438273,FAIL,0,NO,0,NO,0,2002-04-15 12:49:05 +0000,Updated documentation of LinkTool to reflect the added URI encoding support.,36,1549
58,de91b997,FAIL,0,NO,0,NO,0,2002-04-15 18:30:30 +0000,"Replaced the term ""context tool"" by ""view tool"" in the documentation and source.",36,1549
59,44b81d6b,FAIL,0,NO,0,NO,0,2002-04-16 13:56:49 +0000,Updated to latest DVSL 0.43,36,1549
60,485f8e97,FAIL,0,NO,0,NO,0,2002-04-16 14:09:07 +0000,"Created new 'all' target to build entire project, including all subprojects. See README in root dir for the new very simple build process. It is still possible to build subprojects individually. Super 'all' target calls 'all' targets of subprojects to do its job.",36,1549
61,2568ba71,FAIL,0,NO,0,NO,0,2002-04-18 14:33:07 +0000,Reorganized and simplified documentation and generation thereof: - Simplified navigation and organization of documentation - Removed absolute links - Added printer-friendly versions of docs that are automatically generated and linked - Draft at: http://www.teamup.com/jakarta-velocity-tools/docs/index.html,36,1549
62,d5b885ee,FAIL,0,NO,0,NO,0,2002-04-20 16:57:15 +0000,Modified build scripts such that they work properly if source is checked out with the 'prune' option. (feedback from Tim Colsen),36,1549
63,8038c72f,FAIL,0,NO,0,NO,0,2002-04-26 14:32:38 +0000,Added some new sections to the VelocityStruts user guide. Structured content.,36,1549
64,f2a5cbdf,FAIL,0,NO,0,NO,0,2002-04-26 16:27:33 +0000,Fixed some non-critical error messages when generating the docs.,36,1549
65,3d325631,FAIL,0,NO,0,NO,0,2002-04-29 05:20:51 +0000,"Fixed some formatting problems (Thanks, Dan)",36,1549
66,1d758959,FAIL,0,NO,0,NO,0,2002-05-02 12:09:08 +0000,"Fixed bug: If session was null, application scope attributes could not be accessed. (Thanks to Tom Dunstan for the report)",36,1550
67,fd744ccc,FAIL,0,NO,0,NO,0,2002-05-07 08:58:35 +0000,Fixed constructor of DateTool. (Thanks to claude@savoirweb.com for the bug report),36,1550
68,3238b1ac,FAIL,0,NO,0,NO,0,2002-05-07 09:02:06 +0000,Fixed the use of deprecated 'contextkey' element. (Thanks to claude@savoirweb.com for the bug report),36,1550
69,e8e7af0e,FAIL,0,NO,0,NO,0,2002-05-07 10:23:33 +0000,Modified VelocityViewServlet.handleRequest() method so that it now can handle being called from RequestDispatcher.include() (Thanks to Jeff Schnitzer for the patch),36,1553
70,f1bdd96e,FAIL,0,NO,0,NO,0,2002-05-10 05:42:18 +0000,Redesigned handling of view tools (contribution by Nathan Bubna),36,1516
71,b70d0d6f,FAIL,0,NO,0,NO,0,2002-05-22 08:18:39 +0000,"Fixed application example in view package: - Updated toolbox.xml to latest version - Removed velocity-tools-view-*.jar from CVS. This library is now   automatically added when the package is build. This way, the   example will alway be up to date. - Revised instructions to build the package and get the example   running.",36,1516
72,3e78c384,FAIL,0,NO,0,NO,0,2002-05-22 08:23:17 +0000,Minor fixes/cleanups.,36,1516
73,1515a463,FAIL,0,NO,0,NO,0,2002-06-03 10:24:37 +0000,Updated DateTool with latest version contributed by Nathan Bubna.,36,1534
74,ddd708df,FAIL,0,NO,0,NO,0,2002-06-23 09:38:01 +0000,"Moved all shared libraries from the subprojects up to the central project repository. This prevents having multiple copies of the same library in CVS. (makes downloads smaller, eases maintenance)",36,1534
75,433975f9,FAIL,0,NO,0,NO,0,2002-06-23 09:39:37 +0000,Fixed minor JavaDoc problem.,36,1534
76,76fbe859,FAIL,0,NO,0,NO,0,2002-06-23 09:40:14 +0000,Fixed minor JavaDoc problems.,36,1534
77,23464a50,FAIL,0,NO,0,NO,0,2002-06-23 09:45:16 +0000,"Improved build process. There is now a ""master"" build script in the root dir that builds everything, including all subprojects, documentation, example applications, etc. The ""master"" build script calls build scripts of each sub- project to do it job. Tested build with JDK1.3.1 and JDK 1.4.0. Tested examples with Tomcat and Resin. This should make it easier for people to get up and started. Adapted README files to the changes.",36,1534
78,77f68a79,FAIL,0,NO,0,NO,0,2002-06-23 10:53:27 +0000,Fixed build process such that it works also if the project is checked out with the prune option.,36,1534
79,1d20d6cf,FAIL,0,NO,0,NO,0,2002-06-23 12:30:41 +0000,Fixed build process such that it works also if the project is checked out with the prune option.,36,1534
80,8d9ecf7c,FAIL,0,NO,0,NO,0,2002-07-29 09:06:15 +0000,Improved version contributed by Nathan Bubna. Changes are: -de-staticized the parsing methods -implemented ViewTool so it can be conveniently used as a view tool -added an alternate constructor for convenience in non-template situations -changed getNumber (and thereby it's dependents) to catch NFE's and return null instead,36,1556
81,e14379ed,FAIL,0,NO,0,NO,0,2002-07-31 13:24:48 +0000,Commited lasted version of ParameterParser contributed by Nathan Bubna. Changes are: - adds a get(String) convenience method per Claude's suggestion - factors all number parsing into one protected method to allow subclasses to easily override it and provide more advanced parsing as needed (this is a need i have),36,1557
82,831aab38,FAIL,0,NO,0,NO,0,2002-09-03 11:14:27 +0000,"Expanded Velocity/Struts example application ""Address Editor"" by an example that shows how to deals with indexed form properties (i.e. multiple form parameters that are submitted with the same name).",36,1576
83,bee93822,FAIL,0,NO,0,NO,0,2003-01-24 04:05:25 +0000,Initial revision,37,1668
84,9da3a9b8,FAIL,0,NO,0,NO,0,2003-01-24 04:15:43 +0000,reorganize context search pattern to allow developers to override req/res/sess/app references and be more rigorous in maintaining a current session reference,37,1670
85,b8a2a306,FAIL,0,NO,0,NO,0,2003-01-24 05:04:51 +0000,allow developers to configure whether or not the toolbox manager creates a session on its own to store session tools,37,1711
86,5b73548a,FAIL,0,NO,0,NO,0,2003-01-27 17:17:20 +0000,move toolbox loading into manager (patch from Claude Brisson),37,1729
87,17188dc8,FAIL,0,NO,0,NO,0,2003-02-05 03:03:13 +0000,add access to ActionErrors.GLOBAL_ERRORS key - per bug 16740,37,1731
88,c3a1568b,FAIL,0,NO,0,NO,0,2003-02-10 18:31:34 +0000,initial revision,37,1731
89,bd11f9ec,FAIL,0,NO,0,NO,0,2003-02-10 19:18:20 +0000,fix javadoc on internal search order,37,1731
90,672aa825,FAIL,0,NO,0,NO,0,2003-02-12 03:11:31 +0000,update w/recent stuff,37,1731
91,3217d453,FAIL,0,NO,0,NO,0,2003-02-12 06:54:09 +0000,use Velocity's log system where possible instead of logging directly to the servlet context,37,1732
92,a2c4e003,FAIL,0,NO,0,NO,0,2003-02-13 00:22:55 +0000,use Velocity's log system instead of logging directly to the servlet context,37,1730
93,9beb5104,FAIL,0,NO,0,NO,0,2003-02-13 00:24:30 +0000,use Velocity's log system and drop unnecessary members,37,1726
94,4e5d29de,FAIL,0,NO,0,NO,0,2003-02-13 00:26:49 +0000,add 'jars' target to build and install jars w/o docs (for dev convenience),37,1726
95,e230c271,FAIL,0,NO,0,NO,0,2003-02-13 04:16:25 +0000,logging is now more consistent,37,1726
96,0912cfac,FAIL,0,NO,0,NO,0,2003-02-13 04:42:16 +0000,remove obsolete and unused constant,37,1725
97,123adb2b,FAIL,0,NO,0,NO,0,2003-02-18 04:36:10 +0000,be more resilient about $layout type (bug #17151 - Tim Vernum),37,1726
98,9872d95e,FAIL,0,NO,0,NO,0,2003-02-19 19:59:02 +0000,-Allow logger and resource loader defaults to be overridden by velocity.properties -Remove wrapper around servlet context and place it directly in application attributes  under an appropriate key -Convert ServletLogger and WebappResourceLoader to retrieve servlet context from  application attributes during initialization,36,1721
99,d292c469,FAIL,0,NO,0,NO,0,2003-02-19 20:06:19 +0000,config issues have been resolved,36,1721
100,a87ba72c,FAIL,0,NO,0,NO,0,2003-03-01 22:59:55 +0000,add access to global error name and convenience method for retrieving global errors,36,1725
101,90a73de9,FAIL,0,NO,0,NO,0,2003-03-03 19:50:31 +0000,move ParameterParser where it belongs,36,1725
102,1f4bb8e2,FAIL,0,NO,0,NO,0,2003-03-03 23:02:17 +0000,Refactoring of LinkTool  - drastically improve extensibility  - push struts dependencies out to org.apache.velocity.tools.struts.StrutsLinkTool  - move base class to org.apache.velocity.tools.view.tools.LinkTool  - rename setAbsolute() to setRelative() to avoid confusion with setURI()    (setAbsolute() was never a great name and doesn't make sense w/o juxtaposition to setAction() and setForward(),37,1754
103,ef53d41f,FAIL,0,NO,0,NO,0,2003-03-03 23:04:05 +0000,sync to LinkTool refactoring,37,1754
104,ffc20881,FAIL,0,NO,0,NO,0,2003-03-05 06:13:03 +0000,Initial import of files from old three-tree structure into a single directory tree,63,3161
105,7dabfdae,FAIL,0,NO,0,NO,0,2003-03-05 06:36:36 +0000,Initial import of current examples from old three-tree file structure to new 'single-tree' structure,64,3164
106,23838155,FAIL,0,NO,0,NO,0,2003-03-05 06:42:14 +0000,Refactor build file to fit new file structure (includes requested targets for creating jars minus struts and/or view classes,64,3164
107,d19a5d80,FAIL,0,NO,0,NO,0,2003-03-05 06:46:29 +0000,fix struts jar name,64,3164
108,bff94eeb,FAIL,0,NO,0,NO,0,2003-03-05 06:47:42 +0000,update to latest velocity 'release',64,3164
109,c1b83a78,FAIL,0,NO,0,NO,0,2003-03-05 06:51:35 +0000,make a paltry attempt at bringing the documentation up-to-date (placeholder until Anthony's docs replace/supplement these),64,3164
110,6e849eae,FAIL,0,NO,0,NO,0,2003-03-05 06:57:13 +0000,update,64,3164
111,c50a672b,FAIL,0,NO,0,NO,0,2003-03-05 21:20:54 +0000,remove example files from old location (now found in jakarta-velocity-tools/examples),53,2817
112,b5407ff9,FAIL,0,NO,0,NO,0,2003-03-05 21:28:13 +0000,remove doc files from old location (see jakarta-velocity-tools/xdocs for new location),53,2817
113,9ff3bf3b,FAIL,0,NO,0,NO,0,2003-03-05 21:30:10 +0000,remove src files from old location (see jakarta-velocity-tools/src now),27,1410
114,e525bceb,FAIL,0,NO,0,NO,0,2003-03-05 21:31:16 +0000,remove build files and READMEs from old location,27,1410
115,4ef49ffc,FAIL,0,NO,0,NO,0,2003-03-05 21:39:57 +0000,"oops, missed one somehow",27,1410
116,66d361a2,FAIL,0,NO,0,NO,0,2003-03-06 00:05:18 +0000,add example src files from old directory structure,37,1754
117,7c881d41,FAIL,0,NO,0,NO,0,2003-03-06 00:05:40 +0000,fix typo,37,1754
118,f998ba46,FAIL,0,NO,0,NO,0,2003-03-06 00:11:39 +0000,remove refs to obsolete build-lib,37,1754
119,186bef0e,FAIL,0,NO,0,NO,0,2003-03-07 03:24:39 +0000,"Pull all relevant VelocityServlet code up into VVS and make it extend HttpServlet directly pull toolbox setup out of init() into its own initToolbox() remove support for deprecated OLD_INIT_PROPS_KEY   (in other words, the only accepted param-name for your velocity.properties is 'org.apache.velocity.properties') oh, and i pulled up the relevant javadoc from VelocityServlet as well",37,1863
120,042adabd,FAIL,0,NO,0,NO,0,2003-03-07 03:28:20 +0000,"for symmetry and namespace protection, make the toolbox param-name key 'org.apache.velocity.toolbox'",37,1863
121,af0e0a87,FAIL,0,NO,0,NO,0,2003-03-07 03:44:38 +0000,Add support for optional <name>.resource.loader.path property (let people specify a base path for templates relative to webapp root),37,1871
122,6aa9349c,FAIL,0,NO,0,NO,0,2003-03-08 01:05:38 +0000,use ExtendedProperties directly to load the velocity.properties use getResourceAsStream() to get velocity.properties' InputStream,37,1866
123,a0991b3d,FAIL,0,NO,0,NO,0,2003-03-08 19:59:55 +0000,bring this pretty much up to date,37,1866
124,5748a8e0,FAIL,0,NO,0,NO,0,2003-03-08 20:00:56 +0000,sync toolbox and properties keys to recent VVS changes,37,1866
125,b8c608dd,FAIL,0,NO,0,NO,0,2003-03-10 19:05:08 +0000,don't alienate people still using java 1.3 (where jdbc is not included by defautlt),37,1866
126,0d08e2a9,FAIL,0,NO,0,NO,0,2003-03-10 21:37:04 +0000,Initial revision (contribution of Denis Bredelet formerly called FisherMill),38,1958
127,37b8f71c,FAIL,0,NO,0,NO,0,2003-03-10 21:37:41 +0000,Initial revision,40,1992
128,a68512ef,FAIL,0,NO,0,NO,0,2003-03-10 21:43:05 +0000,add ActionMessages (Struts 1.1 feature) support here for now,41,2073
129,7f118c50,FAIL,0,NO,0,NO,0,2003-03-10 21:47:08 +0000,"iterator and render tools are in now, pooling falls under VelocityView",41,2073
130,5423a6e0,FAIL,0,NO,0,NO,0,2003-03-20 05:55:09 +0000,add exists(String) method for convenience,41,2075
131,fca3162b,FAIL,0,NO,0,NO,0,2003-03-20 05:56:43 +0000,misc minor javadoc & formatting cleanup,41,2075
132,96c13c61,FAIL,0,NO,0,NO,0,2003-03-20 06:07:27 +0000,make WebappLoader and ServletLogger not explicitly dependent on the VelocityViewServlet,41,2073
133,e1c2ddb8,FAIL,0,NO,0,NO,0,2003-03-22 20:33:09 +0000,misc. repair and improvements to javadocs,41,2073
134,c3a18e50,FAIL,0,NO,0,NO,0,2003-03-31 19:21:34 +0000,per bug 18491 - fix some bad links,41,2073
135,1aa29a33,FAIL,0,NO,0,NO,0,2003-04-05 21:40:28 +0000,some minor log message improvements,41,2075
136,d86e23bf,FAIL,0,NO,0,NO,0,2003-04-08 02:16:00 +0000,log message tweaks,41,2075
137,9775f734,FAIL,0,NO,0,NO,0,2003-04-15 00:13:28 +0000,Initial revision,42,2216
138,d7d31be0,FAIL,0,NO,0,NO,0,2003-04-15 01:44:38 +0000,add general access to getPageNumber logic,42,2218
139,0d3a34aa,FAIL,0,NO,0,NO,0,2003-04-15 01:49:09 +0000,trivial logic nit,42,2217
140,362d9512,FAIL,0,NO,0,NO,0,2003-04-19 20:08:11 +0000,add code adapted from Struts' RequestUtils to support java 1.4's new URLEncoder.encode method but maintain full compile-time and runtime compatibility with java 1.3,42,2235
141,10de1cfe,FAIL,0,NO,0,NO,0,2003-04-21 15:09:06 +0000,"fix some typos (thanks, Otis) and bring some things up to speed",42,2235
142,d1d7fcf1,FAIL,0,NO,0,NO,0,2003-04-21 16:49:03 +0000,re-introduce the VLS_README for help with the VelocityLayoutServlet until we get some better documentation out there,42,2235
