id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,75f5f084,FAIL,0,NO,0,NO,0,2013-08-01 11:10:56 -0400,New initial contribution commit,310,25204
1,5ed172ec,FAIL,0,NO,0,NO,0,2013-07-24 20:46:43 +0200,Only try to adjust trafficClass if the user asks for.,310,25205
2,71ccf6ad,FAIL,0,NO,0,NO,0,2013-07-25 08:09:56 +0200,Use relaxed parser to parse path and query parts out of an uri to prevent IllegalArgumentException when possible.,311,25216
3,c6a493aa,FAIL,0,NO,0,NO,0,2013-07-29 17:49:03 -0400,Fix and add test for UriParser path logic.,311,25217
4,fb88cf42,FAIL,0,NO,0,NO,0,2013-08-01 13:52:50 +0200,Update to netty 4.0.6.Final,311,25217
5,20797c7e,FAIL,0,NO,0,NO,0,2013-07-31 14:57:21 +0200,Minimize scope of synchronization,311,25219
6,b34b72fe,FAIL,0,NO,0,NO,0,2013-08-08 20:16:34 +0200,Update to netty 4.0.7.Final,311,25219
7,9067c1d4,FAIL,0,NO,0,NO,0,2013-08-09 11:13:06 +0200,Echo back the close frame that is received and directly close the connection was the send was successful.,311,25218
8,f682631c,FAIL,0,NO,0,NO,0,2013-08-09 11:21:03 +0200,cleanup,311,25218
9,db60f43d,FAIL,0,NO,0,NO,0,2013-08-09 13:39:20 +0200,Correct handle PING frames by echo back the payload as PONG frames.,311,25223
10,49d3fac3,FAIL,0,NO,0,NO,0,2013-08-09 13:58:09 +0200,Make sure close frame is only sent once,311,25226
11,e63d72b7,FAIL,0,NO,0,NO,0,2013-08-09 14:01:21 +0200,Correctly handle PING and CLOSE frames in the DefaultHttpClient.,311,25240
12,e59ee33f,FAIL,0,NO,0,NO,0,2013-08-12 12:11:00 +0100,Expose encodePrettily on JsonObject and JsonArray,311,25244
13,ec7df30e,FAIL,0,NO,0,NO,0,2013-08-12 12:20:10 +0100,don't produce a test suite jar,311,25244
14,304c0a10,FAIL,0,NO,0,NO,0,2013-08-07 16:28:18 +0200,Squashed commit of the following:,311,25257
