id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,359e965,SUCCESS,18,SUCCESS,5,FAIL,300,2013-04-23 20:58:03 +0800,init,0,0
1,546f455,SUCCESS,6,SUCCESS,5,FAIL,300,2013-04-23 20:59:13 +0800,readme,0,0
2,1d870f3,SUCCESS,6,SUCCESS,4,FAIL,301,2013-04-24 07:54:16 +0800,修复一个编码错误,0,0
3,413b97c,SUCCESS,5,SUCCESS,5,FAIL,300,2013-05-20 18:31:19 +0800,add meican,0,0
4,d1fc1cf,SUCCESS,6,SUCCESS,5,FAIL,300,2013-06-08 20:20:30 +0800,add diaoyuwen,0,0
5,3c3f001,SUCCESS,6,SUCCESS,5,FAIL,300,2013-06-08 20:29:53 +0800,fix charset bug,0,0
6,6dc88fa,SUCCESS,4,SUCCESS,4,SUCCESS,4,2013-06-08 20:48:27 +0800,split modules,0,0
7,9d04fe3,SUCCESS,4,SUCCESS,3,SUCCESS,4,2013-06-08 20:49:43 +0800,split modules,0,0
8,755b9aa,SUCCESS,3,SUCCESS,4,SUCCESS,3,2013-06-08 20:59:27 +0800,remove samples in test,0,0
9,ecb61d1,SUCCESS,4,SUCCESS,4,SUCCESS,4,2013-06-09 12:56:16 +0800,update pipeline,0,0
10,c2e691a,SUCCESS,4,SUCCESS,4,SUCCESS,4,2013-06-09 17:16:16 +0800,add wp scripts,0,0
11,412abeb,SUCCESS,3,SUCCESS,4,SUCCESS,4,2013-06-09 18:06:29 +0800,add comments,0,0
12,e6d415c,SUCCESS,4,SUCCESS,4,SUCCESS,4,2013-06-09 22:55:49 +0900,update samples,0,0
13,906e68c,SUCCESS,4,SUCCESS,5,SUCCESS,3,2013-06-09 22:00:39 +0800,update comment,0,0
14,3d4ad02,SUCCESS,4,SUCCESS,4,SUCCESS,3,2013-06-10 12:15:29 +0800,fix freemarker dir error,0,0
15,8774cce,SUCCESS,4,SUCCESS,4,SUCCESS,4,2013-06-10 12:17:53 +0800,files,0,0
16,1c1bf89,SUCCESS,4,SUCCESS,3,SUCCESS,4,2013-06-10 12:18:04 +0800,Merge branch 'master' of github.com:code4craft/webmagic,0,0
17,42a2ec0,FAIL,2,NO,0,NO,0,2013-06-13 15:51:05 +0800,update pom,0,0
18,f57ada8,FAIL,3,NO,0,NO,0,2013-06-13 15:58:42 +0800,update readme,0,0
19,01f49aa,SUCCESS,8,FAIL,4,NO,0,2013-06-16 14:47:02 +0800,fix a pom error,0,0
20,f0fa1da,SUCCESS,7,SUCCESS,5,SUCCESS,7,2013-06-17 11:12:22 +0800,clean some code,0,0
21,0efbf19,SUCCESS,6,SUCCESS,5,SUCCESS,6,2013-06-17 11:14:44 +0800,invite travis,0,0
22,e9200a5,SUCCESS,6,SUCCESS,5,SUCCESS,7,2013-06-17 11:23:29 +0800,fix pom,0,0
23,328f174,SUCCESS,7,SUCCESS,5,SUCCESS,7,2013-06-17 11:27:44 +0800,fix pom,0,0
24,67b0c58,SUCCESS,6,SUCCESS,5,SUCCESS,7,2013-06-17 13:21:47 +0800,add thanks,0,0
25,672db58,SUCCESS,6,SUCCESS,6,SUCCESS,7,2013-06-17 13:29:17 +0800,format,0,0
26,8cef877,SUCCESS,6,SUCCESS,5,SUCCESS,7,2013-06-18 07:24:19 +0800,change author info,0,0
27,0ae7adf,SUCCESS,6,SUCCESS,4,FAIL,22,2013-06-18 08:32:11 +0800,add cookie support & add docs,0,0
28,f6ccb9c,SUCCESS,6,SUCCESS,5,FAIL,22,2013-06-18 10:02:11 +0800,add warning,0,0
29,632ca0e,SUCCESS,7,SUCCESS,5,FAIL,21,2013-06-18 11:21:53 +0800,update readme,0,0
30,6428e20,SUCCESS,5,SUCCESS,5,FAIL,22,2013-06-18 14:34:09 +0800,add id,0,0
31,49a4ad6,FAIL,6,NO,0,NO,0,2013-06-18 17:42:31 +0800,add uuid to spider,0,0
32,019353b,FAIL,6,NO,0,NO,0,2013-06-18 17:46:00 +0800,"update readme, markdown syntax **",0,0
33,312e1bc,SUCCESS,6,SUCCESS,5,FAIL,6,2013-06-18 18:02:30 +0800,fix compile error,0,0
34,8f954c7,SUCCESS,6,SUCCESS,5,FAIL,6,2013-06-18 18:30:45 +0800,fix samples,0,0
35,fb0797b,SUCCESS,6,SUCCESS,5,FAIL,7,2013-06-18 22:13:40 +0800,update docs,0,0
36,956d5cb,SUCCESS,7,SUCCESS,5,FAIL,6,2013-06-18 22:39:37 +0800,docs,0,0
37,586d23e,SUCCESS,7,SUCCESS,5,FAIL,5,2013-06-19 08:20:21 +0800,add package infos,0,0
38,986ae0b,SUCCESS,6,SUCCESS,4,FAIL,6,2013-06-19 09:57:41 +0800,update Select api: remove x() s() etc.,0,0
39,69ff524,SUCCESS,6,SUCCESS,5,FAIL,5,2013-06-19 10:14:17 +0800,update api in READEME,0,0
40,7bed01c,SUCCESS,6,SUCCESS,5,FAIL,6,2013-06-20 07:53:48 +0800,update Spider api,0,0
41,b1f023e,SUCCESS,7,SUCCESS,5,FAIL,7,2013-06-20 07:54:55 +0800,fix spell error=.=,0,0
42,e1e25cb,SUCCESS,7,SUCCESS,5,FAIL,6,2013-06-20 08:21:48 +0800,update javadoc,0,0
43,d2020d8,SUCCESS,6,SUCCESS,4,FAIL,71,2013-06-20 08:22:53 +0800,update readme,0,0
44,5cfdb10,SUCCESS,8,SUCCESS,5,FAIL,6,2013-06-20 17:39:06 +0800,update api to support jdk 1.6,0,0
