error,count
"The signature or decryption was invalid (The provided certificate is invalid); nested exception is: 
 java.security.cert.CertificateExpiredException: NotAfter: Sun Apr 04 19:32:18 UTC 2010",370
"The signature or decryption was invalid (The provided certificate is invalid); nested exception is: 
 java.security.cert.CertificateExpiredException: NotAfter: Sun Apr 04 19:32:28 UTC 2010",174
"The signature or decryption was invalid (The provided certificate is invalid); nested exception is: 
 java.security.cert.CertificateExpiredException: NotAfter: Fri Sep 18 16:54:32 UTC 2009",29
com.sun.xml.internal.messaging.saaj.soap.ver1_1.Message1_1Impl cannot be cast to org.apache.axis.Message,48
"The signature or decryption was invalid (The provided certificate is invalid); nested exception is: 
 java.security.cert.CertificateExpiredException: NotAfter: Sun Mar 22 15:49:00 UTC 2009",36
"The signature or decryption was invalid (The provided certificate is invalid); nested exception is: 
 java.security.cert.CertificateExpiredException: NotAfter: Thu Mar 21 14:44:51 UTC 2019",83
Failure expected on a bad derived encryption,1
"The signature or decryption was invalid (The provided certificate is invalid); nested exception is: 
 java.security.cert.CertificateExpiredException: NotAfter: Mon Apr 08 09:41:09 UTC 2019",11
"The signature or decryption was invalid (The provided certificate is invalid); nested exception is: 
 java.security.cert.CertificateExpiredException: NotAfter: Mon Apr 22 11:29:21 UTC 2019",369
"The signature or decryption was invalid (The provided certificate is invalid); nested exception is: 
 java.security.cert.CertificateExpiredException: NotAfter: Mon Apr 22 13:41:19 UTC 2019",110
"Signature creation failed; nested exception is: 
 javax.xml.crypto.dsig.XMLSignatureException: javax.xml.crypto.URIReferenceException: com.sun.org.apache.xml.internal.security.utils.resolver.ResourceResolverException: Cannot resolve element with ID id-1",29
"Signature creation failed; nested exception is: 
 javax.xml.crypto.dsig.XMLSignatureException: javax.xml.crypto.URIReferenceException: com.sun.org.apache.xml.internal.security.utils.resolver.ResourceResolverException: Cannot resolve element with ID id-3",29
"Signature creation failed; nested exception is: 
 javax.xml.crypto.dsig.XMLSignatureException: javax.xml.crypto.URIReferenceException: com.sun.org.apache.xml.internal.security.utils.resolver.ResourceResolverException: Cannot resolve element with ID TS-8",2
"Signature creation failed; nested exception is: 
 javax.xml.crypto.dsig.XMLSignatureException: javax.xml.crypto.URIReferenceException: com.sun.org.apache.xml.internal.security.utils.resolver.ResourceResolverException: Cannot resolve element with ID id-10",29
"Signature creation failed; nested exception is: 
 javax.xml.crypto.dsig.XMLSignatureException: javax.xml.crypto.URIReferenceException: com.sun.org.apache.xml.internal.security.utils.resolver.ResourceResolverException: Cannot resolve element with ID id-12",29
"Signature creation failed; nested exception is: 
 javax.xml.crypto.dsig.XMLSignatureException: javax.xml.crypto.URIReferenceException: com.sun.org.apache.xml.internal.security.utils.resolver.ResourceResolverException: Cannot resolve element with ID id-14",27
"Signature creation failed; nested exception is: 
 javax.xml.crypto.dsig.XMLSignatureException: javax.xml.crypto.URIReferenceException: com.sun.org.apache.xml.internal.security.utils.resolver.ResourceResolverException: Cannot resolve element with ID id-16",24
"Signature creation failed; nested exception is: 
 javax.xml.crypto.dsig.XMLSignatureException: javax.xml.crypto.URIReferenceException: com.sun.org.apache.xml.internal.security.utils.resolver.ResourceResolverException: Cannot resolve element with ID id-18",9
"Signature creation failed; nested exception is: 
 javax.xml.crypto.dsig.XMLSignatureException: javax.xml.crypto.URIReferenceException: com.sun.org.apache.xml.internal.security.utils.resolver.ResourceResolverException: Cannot resolve element with ID id-33",7
"Signature creation failed; nested exception is: 
 javax.xml.crypto.dsig.XMLSignatureException: javax.xml.crypto.URIReferenceException: com.sun.org.apache.xml.internal.security.utils.resolver.ResourceResolverException: Cannot resolve element with ID id-36",13
