id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,9de2c166,FAIL,0,NO,0,NO,0,2004-02-13 20:43:09 +0000,New repository initialized by cvs2svn.,0,0
1,3616b10a,FAIL,0,NO,0,NO,0,2004-02-13 20:43:09 +0000,Initial check-in,84,6066
2,6fccaf0a,FAIL,0,NO,0,NO,0,2004-02-24 12:45:52 +0000,New testcase to test SKI function. Not yet included in package run because of missing cert that support SKI data,85,6135
3,47ac4301,FAIL,0,NO,0,NO,0,2004-02-24 12:47:30 +0000,"Move check-for-header code, need to check for SOAP Fault here (todo)",85,6135
4,f2c198a3,FAIL,0,NO,0,NO,0,2004-02-24 12:49:03 +0000,Add code to handle SKI. Code was copied from Apache xmlsec library and modified (additonal checks for Null etc). Not yet fully tested because our certificate does not contain SKI data.,85,6162
5,f5add4d1,FAIL,0,NO,0,NO,0,2004-02-24 12:50:28 +0000,"Add the missing build files. Copied from SF, tested. Works ok, all testcases and interop tests ok.",85,6162
6,9faefbe4,FAIL,0,NO,0,NO,0,2004-02-24 13:24:54 +0000,Remove trim() to check for unwanted space or \n characters.,85,6165
7,962616b0,FAIL,0,NO,0,NO,0,2004-02-24 18:59:44 +0000,"Set new version ""1.0Beta""",85,6165
8,2ec2424a,FAIL,0,NO,0,NO,0,2004-02-26 12:59:43 +0000,"New functions to support STRTransform, IssuerSerial with embedded BinarySecurityToken, some code cleanup. All tests work without failure.",85,6285
9,fbcd9088,FAIL,0,NO,0,NO,0,2004-02-29 12:28:29 +0000,"New crypto property files used to run the SKI (SubjectKeyIdentifier) tests. Refer to ""keys"" directory for more scripts etc.",85,6285
10,e606da7d,FAIL,0,NO,0,NO,0,2004-02-29 12:30:35 +0000,"Finish the SKI functions. Upgrade the identifiers, encoding types, etc to conform to current OASIS WSS specifications.",85,6370
11,67b8fe31,FAIL,0,NO,0,NO,0,2004-02-29 12:32:22 +0000,"Finish SKI stuff (refer to test4 and  test11), modify the package to exclude the MSFT test (fails because we updated to latest OASIS WSS specifications).",85,6509
12,198646a7,FAIL,0,NO,0,NO,0,2004-02-29 12:33:15 +0000,Adapt to current OASIS WSS specifications.,85,6509
13,9e038719,FAIL,0,NO,0,NO,0,2004-02-29 12:37:39 +0000,Some scripts to generate certificates that contain SKI info and put them in a keystore. Refer to new cryptoSKI.properties file in src directory to see how to use. Refer also to test4 and test11 to see how to use the new property file.,85,6509
14,b17cf4d1,FAIL,0,NO,0,NO,0,2004-02-29 12:48:02 +0000,Add to new tests for SKI and the STRTransform.,85,6511
15,316f6801,FAIL,0,NO,0,NO,0,2004-02-29 13:38:18 +0000,Adapt UserNameToken to current OASIS WSS specifications.,85,6509
16,12352108,FAIL,0,NO,0,NO,0,2004-02-29 13:51:47 +0000,Enhanced the UserNameToken test to include a password type Text.,85,6529
17,3a197952,FAIL,0,NO,0,NO,0,2004-02-29 15:28:46 +0000,Update list of developers :-),85,6529
18,1700c2e4,FAIL,0,NO,0,NO,0,2004-03-03 20:42:34 +0000,Fix typo,85,6529
19,db8ddac2,FAIL,0,NO,0,NO,0,2004-03-03 20:44:51 +0000,"Fix problem with UsernameToken (password type, setting of Nonce, timestamp)",85,6539
20,dcf8288b,FAIL,0,NO,0,NO,0,2004-03-06 04:21:59 +0000,"Patch from ""Rami Jaamour"" <rjaamour@parasoft.com> for ""setting the sig algorithm and canonicalization""",85,6556
21,0905fd1e,FAIL,0,NO,0,NO,0,2004-03-06 11:53:11 +0000,Re-enable support for JDK1.3,85,6558
22,9b6261f7,FAIL,0,NO,0,NO,0,2004-03-06 11:54:09 +0000,oops forgot a file.,86,6605
23,6c28922c,FAIL,0,NO,0,NO,0,2004-03-07 10:34:59 +0000,Added a certificate into keystore to test DSA/SHA1 signature algo,86,6605
24,1d4d76a9,FAIL,0,NO,0,NO,0,2004-03-07 10:36:44 +0000,Added test for manual selecting DSA/SHA signature and test for automatic signtaure algo detection.,87,6707
25,28b3c42d,FAIL,0,NO,0,NO,0,2004-03-07 10:47:50 +0000,"Added function to manually select the signature algo, function to autodetect signature algo according to certificate public key algo. Support for RSA-OAEP keytransport.",87,6733
26,ceb7ea21,FAIL,0,NO,0,NO,0,2004-03-08 14:13:49 +0000,"Updated to latest Axis, XML-Security and BC jar's.",87,6733
27,8018487b,FAIL,0,NO,0,NO,0,2004-03-08 15:07:54 +0000,Username token profile has its own namespace.,87,6734
28,d16604d5,FAIL,0,NO,0,NO,0,2004-03-08 16:05:06 +0000,Fix and test interop problem for Scenario1 (with MSFT endpoint),88,6760
29,5e0b05b3,FAIL,0,NO,0,NO,0,2004-03-08 20:13:08 +0000,"Fixing problems in header and mustUnderstand handling (setProcessed header). Also fix Mustunderstand flag according to specs (""1"" in SOAP 1.1, ""true"" in SOAP 1.2)  to be inline with Axis.",88,6784
30,dbb617aa,FAIL,0,NO,0,NO,0,2004-03-09 16:45:42 +0000,Fix Scenario1 interop with MSFT and SUN endpoints.,88,6768
31,4353e3d9,FAIL,0,NO,0,NO,0,2004-03-09 16:55:36 +0000,custom maven css,88,6768
32,f665cfc7,FAIL,0,NO,0,NO,0,2004-03-09 16:58:35 +0000,WSETEST.cer is the Root Certificate Client.PFX is to be used on the client Server.PFX is to be used on the server,88,6768
33,44cc1b69,FAIL,0,NO,0,NO,0,2004-03-09 19:56:19 +0000,Simple change to show the result data (modified String).,88,6761
34,950c4e3d,FAIL,0,NO,0,NO,0,2004-03-09 19:57:37 +0000,"Changes to avoid double check of empty security header, fix code sequence to set the processed flag correctly.",88,6749
35,122411ba,FAIL,0,NO,0,NO,0,2004-03-10 14:26:25 +0000,Trying to get Scenario2 working against MSFT endpoint...,88,6765
36,20bf5fb3,FAIL,0,NO,0,NO,0,2004-03-10 14:41:31 +0000,Trying to get Scenario2 working against MSFT endpoint...,88,6765
