id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,588c8cd6,FAIL,0,NO,0,NO,0,2016-10-04 18:07:13 +0800,Create README.md,0,0
1,dfffff4c,FAIL,0,NO,0,NO,0,2016-10-04 23:17:59 +0800,add gitignore,0,0
2,22ede2ab,FAIL,0,NO,0,NO,0,2016-10-04 23:18:29 +0800,add common,0,0
3,7d780727,FAIL,0,NO,0,NO,0,2016-10-04 23:19:41 +0800,create cms,0,0
4,71470697,FAIL,0,NO,0,NO,0,2016-10-05 00:31:49 +0800,add cms-dao,6,665
5,814aae98,FAIL,0,NO,0,NO,0,2016-10-05 00:32:12 +0800,add cms-service,6,665
6,f7221b23,FAIL,0,NO,0,NO,0,2016-10-05 00:32:47 +0800,add database sql,6,665
7,8c6cf75b,FAIL,0,NO,0,NO,0,2016-10-05 19:33:23 +0800,add cms-web,6,665
8,bbade2d2,FAIL,0,NO,0,NO,0,2016-10-05 19:34:10 +0800,update cms-dao,24,1940
9,d3795b45,FAIL,0,NO,0,NO,0,2016-10-05 19:34:22 +0800,update cms-service,24,1940
10,e4ddfd75,FAIL,0,NO,0,NO,0,2016-10-11 20:46:34 +0800,配置动态资源,24,1940
11,18e4c2c7,FAIL,0,NO,0,NO,0,2016-10-12 09:13:03 +0800,Update pom.xml,24,1940
12,848567ed,FAIL,0,NO,0,NO,0,2016-10-13 14:06:44 +0800,udpate mapper,24,1940
13,8008fa75,FAIL,0,NO,0,NO,0,2016-10-13 14:27:08 +0800,cms-web add maven-jetty-plugin,24,1940
14,d69274d8,FAIL,0,NO,0,NO,0,2016-10-14 18:10:56 +0800,add ehcache,24,1940
15,d6e9bf72,FAIL,0,NO,0,NO,0,2016-10-14 22:28:33 +0800,udpate jetty-maven-plugin,24,1940
16,373b4fc9,FAIL,0,NO,0,NO,0,2016-10-14 22:29:54 +0800,add Ehcache,24,1940
17,0a4b5ba7,FAIL,0,NO,0,NO,0,2016-10-15 23:18:16 +0800,example for ehcache,24,1940
18,961be1c5,FAIL,0,NO,0,NO,0,2016-10-15 23:18:40 +0800,add PropertiesFileUtil,24,1940
19,d4a36c57,FAIL,0,NO,0,NO,0,2016-10-16 20:47:00 +0800,controller扫描已controller为后缀的类,24,1940
20,560a34e4,FAIL,0,NO,0,NO,0,2016-10-16 20:48:29 +0800,update cms-dao,27,3792
21,4e48fc4a,FAIL,0,NO,0,NO,0,2016-10-16 20:48:44 +0800,update service,28,3829
22,8743d01b,FAIL,0,NO,0,NO,0,2016-10-17 14:36:55 +0800,增加mybatis生成分页的插件,28,3829
23,7f934f06,FAIL,0,NO,0,NO,0,2016-10-17 14:37:40 +0800,使用分页插件生成dao代码,28,4072
24,de057c6b,FAIL,0,NO,0,NO,0,2016-10-17 14:37:53 +0800,使用新的分页操作方法,28,4060
25,f821cfe6,FAIL,0,NO,0,NO,0,2016-10-17 15:16:16 +0800,mybatis generator生成的插入方法执行后，返回自增主键,28,4060
26,6b3044fa,FAIL,0,NO,0,NO,0,2016-10-17 16:08:42 +0800,自动生成代码移到dao包,28,4060
27,5cd689a9,FAIL,0,NO,0,NO,0,2016-10-17 16:08:57 +0800,增加开发环境配置,28,4060
28,7d68ba38,FAIL,0,NO,0,NO,0,2016-10-17 16:14:22 +0800,移动到controller包,28,4059
29,449f2871,FAIL,0,NO,0,NO,0,2016-10-17 16:30:49 +0800,提取mybatis generator配置参数,28,4059
30,19b9d794,FAIL,0,NO,0,NO,0,2016-10-17 16:40:18 +0800,增加开发环境配置,28,4059
31,334ec465,FAIL,0,NO,0,NO,0,2016-10-17 17:24:31 +0800,删除外键，增加必要索引,28,4059
32,25c9891b,FAIL,0,NO,0,NO,0,2016-10-17 18:05:22 +0800,统一log使用规则,28,4059
33,038e018e,FAIL,0,NO,0,NO,0,2016-10-17 18:11:53 +0800,增加拦截器,28,4059
34,4faea5d5,FAIL,0,NO,0,NO,0,2016-10-18 17:30:45 +0800,修改ehcache配置文件,28,4059
35,15ad1b8d,FAIL,0,NO,0,NO,0,2016-10-18 17:31:30 +0800,完善资源文件工具类,28,4059
36,2de8d5e2,FAIL,0,NO,0,NO,0,2016-10-18 17:32:15 +0800,mybatis增加cache,28,4311
37,58e1b057,FAIL,0,NO,0,NO,0,2016-10-18 17:32:46 +0800,service test去掉ehcache测试,28,4311
38,011b475c,FAIL,0,NO,0,NO,0,2016-10-18 17:33:11 +0800,完善ehcache例子,28,4311
39,59963010,FAIL,0,NO,0,NO,0,2016-10-18 17:33:31 +0800,增加拦截器例子,28,4311
40,f3328185,FAIL,0,NO,0,NO,0,2016-10-18 17:52:25 +0800,启动时初始化Spring上下文环境工具类,28,4311
41,739eb6d4,FAIL,0,NO,0,NO,0,2016-10-18 21:09:58 +0800,完善拦截器例子,28,4311
42,a672de4a,FAIL,0,NO,0,NO,0,2016-10-18 22:05:58 +0800,add spring security,28,4311
43,cccdac47,FAIL,0,NO,0,NO,0,2016-10-19 16:55:13 +0800,集成 mybatis-ehcache,28,4311
44,3606bed7,FAIL,0,NO,0,NO,0,2016-10-19 16:57:14 +0800,修改配置,28,4311
45,34233e79,FAIL,0,NO,0,NO,0,2016-10-19 16:57:34 +0800,dao层使用ehcache,28,4311
46,4314a355,FAIL,0,NO,0,NO,0,2016-10-19 16:58:46 +0800,service层使用ehcache,28,4311
47,c6a361de,FAIL,0,NO,0,NO,0,2016-10-22 21:07:44 +0800,Update README.md,28,4311
48,9e9dcbcc,FAIL,0,NO,0,NO,0,2016-10-22 21:12:19 +0800,Update README.md,28,4311
49,734956a0,FAIL,0,NO,0,NO,0,2016-10-22 21:12:51 +0800,Update README.md,28,4311
50,ce7574b6,FAIL,0,NO,0,NO,0,2016-10-22 21:19:37 +0800,Update README.md,28,4311
51,282556a2,FAIL,0,NO,0,NO,0,2016-10-22 21:20:32 +0800,Update README.md,28,4311
52,64241da9,FAIL,0,NO,0,NO,0,2016-10-22 23:09:16 +0800,增加spring security,28,4311
53,e303cf6d,FAIL,0,NO,0,NO,0,2016-10-23 21:27:01 +0800,Update README.md,28,4311
54,395d2c22,FAIL,0,NO,0,NO,0,2016-10-24 11:10:56 +0800,maven 跳过单元测试,28,4311
55,ccb869f6,FAIL,0,NO,0,NO,0,2016-10-24 17:50:03 +0800,mybatis配置提到common中,28,4311
56,a9e3f00b,FAIL,0,NO,0,NO,0,2016-10-24 18:05:42 +0800,暂时屏蔽spring sucurity,28,4311
57,a3b984f7,FAIL,0,NO,0,NO,0,2016-10-25 21:27:56 +0800,Update applicationContext-jdbc.xml,28,4311
58,c689cf3e,FAIL,0,NO,0,NO,0,2016-11-01 10:19:08 +0800,启动任务注解,30,4324
59,d1794871,FAIL,0,NO,0,NO,0,2016-11-02 22:43:04 +0800,使用PowerdDesigner建模,30,4324
60,4211e1f6,FAIL,0,NO,0,NO,0,2016-11-03 14:13:38 +0800,完成同表外键symbol显示,30,4324
