id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,3df68d71,FAIL,0,NO,0,NO,0,2007-10-22 21:45:03 +0000,Initial directory structure.,0,0
1,6eee8860,FAIL,0,NO,0,NO,0,2007-10-23 19:08:10 +0000,git-svn-id: https://zxing.googlecode.com/svn/trunk@2 59b500cc-1b3d-0410-9834-0bbf25fbcc57,40,2447
2,a5496d25,FAIL,0,NO,0,NO,0,2007-10-23 19:09:32 +0000,git-svn-id: https://zxing.googlecode.com/svn/trunk@3 59b500cc-1b3d-0410-9834-0bbf25fbcc57,40,2447
3,47b9748d,FAIL,0,NO,0,NO,0,2007-10-23 19:09:44 +0000,git-svn-id: https://zxing.googlecode.com/svn/trunk@4 59b500cc-1b3d-0410-9834-0bbf25fbcc57,38,2367
4,43eb621f,FAIL,0,NO,0,NO,0,2007-10-23 19:09:51 +0000,git-svn-id: https://zxing.googlecode.com/svn/trunk@5 59b500cc-1b3d-0410-9834-0bbf25fbcc57,0,0
5,7726e8fc,FAIL,0,NO,0,NO,0,2007-10-23 19:12:27 +0000,git-svn-id: https://zxing.googlecode.com/svn/trunk@6 59b500cc-1b3d-0410-9834-0bbf25fbcc57,52,2884
6,265036c1,FAIL,0,NO,0,NO,0,2007-10-26 17:52:37 +0000,Fixed dumb bug that caused grid sampling to sample 2x too wide in the horizontal direction.,52,2884
7,abf5a2ca,FAIL,0,NO,0,NO,0,2007-11-06 16:35:39 +0000,Initial revision,53,2947
8,f4462791,FAIL,0,NO,0,NO,0,2007-11-06 18:56:30 +0000,Added more javadoc,53,2947
9,4a399812,FAIL,0,NO,0,NO,0,2007-11-06 19:07:08 +0000,More javadoc,53,2948
10,424c19f5,FAIL,0,NO,0,NO,0,2007-11-06 19:41:49 +0000,More javadoc,53,2949
11,cc66a80d,FAIL,0,NO,0,NO,0,2007-11-07 06:39:29 +0000,More javadoc,53,2948
12,d6cfb083,FAIL,0,NO,0,NO,0,2007-11-07 06:40:04 +0000,More javadoc,53,2936
13,0aeb2f67,FAIL,0,NO,0,NO,0,2007-11-07 06:42:22 +0000,More javadoc,53,2903
14,9b296c7e,FAIL,0,NO,0,NO,0,2007-11-07 06:52:45 +0000,Added more test cases,57,2985
15,e73dd9a0,FAIL,0,NO,0,NO,0,2007-11-07 18:42:40 +0000,Fix compile problem for JDK 1.4,57,2986
16,149c7f1b,FAIL,0,NO,0,NO,0,2007-11-07 18:44:18 +0000,"Oops, bug fix for MaskPattern100",57,2986
17,f0a299ec,FAIL,0,NO,0,NO,0,2007-11-07 19:18:50 +0000,Adjust tolerance of method that decides whether a finder/alignment pattern has been crossed so that it passes on low resolution images more correctly -- just a matter of resorting to some floating point math.,57,2988
18,a583462c,FAIL,0,NO,0,NO,0,2007-11-07 21:56:22 +0000,Should fix up remaining problems in J2ME build and enable build of deployable .jar file,57,2985
19,2a113d92,FAIL,0,NO,0,NO,0,2007-11-07 23:02:50 +0000,Added icon,57,2985
20,033ae101,FAIL,0,NO,0,NO,0,2007-11-08 03:58:13 +0000,Replace JAIPerspectiveTransform with PerspectiveTransform,57,2947
21,703852e8,FAIL,0,NO,0,NO,0,2007-11-09 19:13:28 +0000,"Better, still some bugs",57,2958
22,96ea7e29,FAIL,0,NO,0,NO,0,2007-11-09 22:19:46 +0000,Fixed the rest of my typos and added basic unit test,58,2986
23,db56b856,FAIL,0,NO,0,NO,0,2007-11-09 22:51:09 +0000,Tiny tweak,58,2986
24,fbb9d110,FAIL,0,NO,0,NO,0,2007-11-12 20:22:22 +0000,Break out properties that user should customize into a build.properties file,58,2986
25,89c77875,FAIL,0,NO,0,NO,0,2007-11-12 23:13:15 +0000,Added the initial version of my UPC reader and modified some common files as necessary to get it building and used by the J2SE command line test.,60,3181
