Project,Dataset,Age,LoC,Total Commits,Source buildable commits,Source buildability,Test buildable commits,Test buildability,Testable commits,Testability_C,Testability_B,Testability_T
assertj-core,GitHub,3922,117818.0,3325,2902,0.872781954887218,2343,0.8073742246726395,2302,0.6923308270676691,0.7932460372157133,0.9825010670081092
aws-sdk-java,GitHub,4090,494910.0,2874,1128,0.3924843423799583,661,0.5859929078014184,0,0.0,0.0,0.0
commons-lang,GitHub,6893,70757.0,6356,4678,0.735997482693518,3541,0.7569474134245404,2434,0.38294524858401513,0.5203078238563489,0.6873764473312624
fastjson,GitHub,3536,114992.0,3863,3641,0.9425317111053585,3413,0.9373798407031035,0,0.0,0.0,0.0
httpcomponents-client,GitHub,5633,61270.0,3263,1296,0.3971805087342936,1254,0.9675925925925926,646,0.19797732148329758,0.4984567901234568,0.5151515151515151
java-driver,GitHub,1518,143211.0,1637,778,0.4752596212583995,767,0.9858611825192802,463,0.28283445326817347,0.5951156812339332,0.6036505867014341
javaparser,GitHub,3504,104251.0,7649,6719,0.878415479147601,6644,0.9888376246465248,4613,0.6030853706366845,0.6865605000744158,0.694310656231186
jgit,GitHub,4329,167478.0,8356,6525,0.7808760172331259,6523,0.9996934865900383,0,0.0,0.0,0.0
json-schema-validator,GitHub,3369,8131.0,2791,2517,0.9018273020422788,2471,0.9817242749304728,1992,0.7137226800429953,0.7914183551847438,0.8061513557264266
jsprit,GitHub,2840,35643.0,2122,1950,0.9189443920829407,1927,0.9882051282051282,1735,0.8176248821866164,0.8897435897435897,0.9003632589517384
mina,GitHub,4178,19118.0,2401,1311,0.5460224906289046,1170,0.8924485125858124,226,0.0941274468971262,0.17238749046529367,0.19316239316239317
opengrok,GitHub,5311,29813.0,6462,3103,0.48019189105540083,2,0.0006445375443119562,0,0.0,0.0,0.0
