Project,Dataset,Age,LoC,Total Commits,Source buildable commits,Source buildability,Test buildable commits,Test buildability,Testable commits,Testability_C,Testability_B,Testability_T
Activiti,ManySStub4J,4017,150104.0,10758,8169,0.7593418851087562,7242,0.8865222181417555,928,0.08626138687488381,0.11360019586240666,0.12814139740403205
openhab,ManySStub4J,3855,313470.0,9691,0,0.0,0,0.0,0,0.0,0.0,0.0
okio,ManySStub4J,3680,5573.0,1195,438,0.36652719665271966,431,0.9840182648401826,314,0.26276150627615064,0.7168949771689498,0.728538283062645
okhttp,ManySStub4J,3673,31833.0,4861,2374,0.4883768771857642,2372,0.9991575400168492,45,0.009257354453816088,0.018955349620893007,0.01897133220910624
netty,ManySStub4J,4703,249459.0,10424,1379,0.13229086722947045,0,0.0,0,0.0,0.0,0.0
neo4j,ManySStub4J,5138,474197.0,71543,0,0.0,0,0.0,0,0.0,0.0,0.0
nanohttpd,ManySStub4J,5935,6004.0,599,531,0.8864774624373957,492,0.9265536723163842,331,0.5525876460767947,0.623352165725047,0.6727642276422764
mybatis-3,ManySStub4J,4054,48946.0,3781,2093,0.5535572599841312,2090,0.9985666507405638,1392,0.36815657233536103,0.6650740563784042,0.6660287081339713
metrics,ManySStub4J,4139,24342.0,3018,1590,0.5268389662027833,1585,0.9968553459119497,1312,0.4347249834327369,0.8251572327044026,0.8277602523659306
libgdx,ManySStub4J,4127,172435.0,14695,1479,0.10064647839401157,150,0.10141987829614604,150,0.010207553589656346,0.10141987829614604,1.0
learning-spark,ManySStub4J,707,1769.0,416,15,0.036057692307692304,0,0.0,0,0.0,0.0,0.0
junit,ManySStub4J,7495,24366.0,2475,1168,0.4719191919191919,1166,0.9982876712328768,528,0.21333333333333335,0.4520547945205479,0.4528301886792453
jstorm,ManySStub4J,1714,163537.0,333,0,0.0,0,0.0,0,0.0,0.0,0.0
jsoup,ManySStub4J,4059,17831.0,1442,1410,0.9778085991678225,1403,0.9950354609929078,1349,0.9355062413314841,0.9567375886524823,0.9615110477548111
jsonschema2pojo,ManySStub4J,3795,14450.0,1188,248,0.20875420875420875,245,0.9879032258064516,174,0.14646464646464646,0.7016129032258065,0.710204081632653
jfinal,ManySStub4J,3203,4977.0,473,360,0.7610993657505285,79,0.21944444444444444,79,0.16701902748414377,0.21944444444444444,1.0
jedis,ManySStub4J,1444,15226.0,814,777,0.9545454545454546,766,0.9858429858429858,2,0.002457002457002457,0.002574002574002574,0.0026109660574412533
javapoet,ManySStub4J,3240,8306.0,846,398,0.47044917257683216,396,0.9949748743718593,396,0.46808510638297873,0.9949748743718593,1.0
openmrs-core,ManySStub4J,5529,103299.0,11442,578,0.05051564411816116,576,0.9965397923875432,0,0.0,0.0,0.0
javaee7-samples,ManySStub4J,2575,26893.0,1537,438,0.2849707221860768,352,0.8036529680365296,0,0.0,0.0,0.0
otto,ManySStub4J,2136,1344.0,205,18,0.08780487804878048,18,1.0,18,0.08780487804878048,1.0,1.0
presto,ManySStub4J,3240,668076.0,18991,346,0.018219156442525405,332,0.9595375722543352,168,0.008846295613711759,0.48554913294797686,0.5060240963855421
wildfly,ManySStub4J,4042,523700.0,31970,4,0.00012511729746637472,0,0.0,0,0.0,0.0,0.0
webmagic,ManySStub4J,2982,7233.0,1122,989,0.8814616755793226,955,0.9656218402426694,405,0.3609625668449198,0.40950455005055614,0.42408376963350786
vert.x,ManySStub4J,2891,102722.0,5031,304,0.060425362750944143,303,0.9967105263157895,0,0.0,0.0,0.0
twitter4j,ManySStub4J,4077,23967.0,2318,851,0.3671268334771355,849,0.9976498237367802,0,0.0,0.0,0.0
titan,ManySStub4J,1376,62150.0,4434,1206,0.2719891745602165,684,0.5671641791044776,153,0.03450608930987822,0.12686567164179105,0.2236842105263158
swagger-core,ManySStub4J,3616,42316.0,3975,2739,0.6890566037735849,2701,0.986126323475721,2487,0.6256603773584906,0.9079956188389924,0.9207700851536468
swagger-codegen,ManySStub4J,3635,145376.0,11344,3577,0.31532087447108603,3480,0.9728823036063741,3367,0.2968088857545839,0.9412915851272016,0.9675287356321839
storm,ManySStub4J,3567,239208.0,10440,1636,0.15670498084291187,888,0.5427872860635696,53,0.005076628352490421,0.0323960880195599,0.059684684684684686
springside4,ManySStub4J,2357,2879.0,1074,459,0.4273743016759777,260,0.5664488017429193,34,0.03165735567970205,0.07407407407407407,0.13076923076923078
spring-security-oauth,ManySStub4J,3962,38810.0,1406,769,0.5469416785206259,611,0.7945383615084526,170,0.12091038406827881,0.22106631989596878,0.27823240589198034
spring-petclinic,ManySStub4J,4392,1230.0,739,531,0.7185385656292287,531,1.0,519,0.7023004059539919,0.9774011299435028,0.9774011299435028
spring-mvc-showcase,ManySStub4J,2847,1868.0,76,16,0.21052631578947367,16,1.0,15,0.19736842105263158,0.9375,0.9375
spring-cloud-microservice-example,ManySStub4J,1388,936.0,31,0,0.0,0,0.0,0,0.0,0.0,0.0
spring-boot,ManySStub4J,3168,285468.0,32979,0,0.0,0,0.0,0,0.0,0.0,0.0
spark,ManySStub4J,3485,8655.0,1062,1051,0.9896421845574388,986,0.9381541389153187,921,0.867231638418079,0.8763082778306375,0.934077079107505
scribejava,ManySStub4J,3901,12916.0,1234,642,0.520259319286872,635,0.9890965732087228,364,0.29497568881685576,0.5669781931464174,0.573228346456693
retrofit,ManySStub4J,3824,22003.0,1865,1431,0.7672922252010724,1431,1.0,1411,0.7565683646112601,0.9860237596086653,0.9860237596086653
pinpoint,ManySStub4J,3292,246397.0,11863,400,0.03371828373935767,357,0.8925,54,0.004551968304813285,0.135,0.15126050420168066
java-design-patterns,ManySStub4J,2511,31891.0,3112,733,0.23553984575835477,565,0.7708049113233287,350,0.11246786632390746,0.47748976807639837,0.6194690265486725
